"","公司代號","year","ROE","本益比法","K值法","負債比例","權益總額","基本每股盈餘元","現金股利元股","產業類別"
"1","2801",102,0.0732356505808146,15.96,13.2831161240953,0.933882554252385,112403330,1.14,0.6,"金融保險業"
"2","2809",102,0.189311787152644,49.42,47.8958821496189,0.886410078997557,24307974,3.53,1.5,"金融保險業"
"3","2812",102,0.0929337619319026,17.22,14.2304822958226,0.937451041033842,31037590,1.23,0.1906595,"金融保險業"
"4","2820",102,0.0588057967018462,14.56,11.46713035686,0.88877318724116,20948326,1.04,0.7,"金融保險業"
"5","2834",102,0.0630322812370401,9.94,8.85603551380414,0.956834328995114,57253568,0.71,0,"金融保險業"
"6","2836",102,0.0192918587535522,8.12,3.59552017519329,0.954148838448391,10749042,0.58,0.02,"金融保險業"
"7","2838",102,0.124637844680826,18.2,19.9732146101024,0.934840281663341,28680374,1.3,0,"金融保險業"
"8","2845",102,0.101143698543478,18.2,15.500271801788,0.941174887026874,28953084,1.3,0.25,"金融保險業"
"9","2849",102,0.0809257360786951,21.98,15.193806948775,0.927543424602633,25232764,1.57,0.6,"金融保險業"
"10","2897",102,0.0455830940281062,6.58,6.3930289374419,0.890858822560797,42895706,0.47,0.2,"金融保險業"
"11","5876",102,0.116005009163415,38.36,38.6006667991263,0.907951981440352,132176163,2.74,1.5,"金融保險業"
"12","2801",103,0.0963359605342792,19.32,18.1713705557784,0.934334007297329,119241101,1.38,0.2,"金融保險業"
"13","2809",103,0.170949103048854,60.62,48.2931216113014,0.884622643818933,27146852,4.33,1.5,"金融保險業"
"14","2812",103,0.104987995442082,18.48,16.5224857826977,0.932284144359338,35890951,1.32,0.25,"金融保險業"
"15","2820",103,0.0679542969868539,14.42,13.5738708231241,0.87366167835136,21467031,1.03,0.72,"金融保險業"
"16","2834",103,0.0874168168509643,14,12.9376888939427,0.95494229960551,62737917,1,0,"金融保險業"
"17","2836",103,0.0521610185123243,9.66,9.97579479048202,0.957881953351418,11330722,0.69,0.03,"金融保險業"
"18","2838",103,0.111234279874255,17.64,18.1729004744565,0.933590345877294,32307073,1.26,0.26,"金融保險業"
"19","2845",103,0.104552106002383,18.34,16.5584397881274,0.9305231762472,36262732,1.31,0.4,"金融保險業"
"20","2849",103,0.134091576131569,26.74,27.9245707293993,0.916507558698873,27976351,1.91,0.6,"金融保險業"
"21","2897",103,0.0771252188917454,10.36,11.6073454432077,0.89489412386197,44991989,0.74,0.4,"金融保險業"
"22","5876",103,0.138610038113231,40.18,49.1892372754327,0.905766374895362,145329323,2.87,1.5,"金融保險業"
"23","2801",104,0.0912505869185099,19.32,17.4630810715298,0.932078967250851,129474959,1.38,0.35,"金融保險業"
"24","2809",104,0.143436350920322,43.26,43.9632415570786,0.880216043041067,28455109,3.09,0.5,"金融保險業"
"25","2812",104,0.085165096300407,15.96,13.3602744821264,0.930604834038434,39945989,1.14,0.5,"金融保險業"
"26","2820",104,0.0842174946930663,16.8,17.5488204566677,0.892161554060367,22385337,1.2,0.83,"金融保險業"
"27","2834",104,0.0727353732265752,12.6,10.8193867674531,0.954157114771021,67659129,0.9,0.1,"金融保險業"
"28","2836",104,0.0479076888149912,10.64,9.15036856366332,0.954754942179867,11901743,0.76,0.03,"金融保險業"
"29","2838",104,0.0978022821180187,16.8,16.3696569695034,0.930872834256103,35150417,1.2,0.4,"金融保險業"
"30","2845",104,0.0992873146168286,18.2,15.9480249103281,0.92868484144047,38977648,1.3,0.4,"金融保險業"
"31","2849",104,0.115267565789655,27.44,26.151328988528,0.905483119856152,30482148,1.96,0.6,"金融保險業"
"32","2897",104,0.0721079079688574,10.08,11.2037662006612,0.904768292755146,46281290,0.72,0.5,"金融保險業"
"33","5876",104,0.114573007497499,41.72,41.3894989584716,0.904056025123701,155896379,2.98,1.5,"金融保險業"
"34","2801",105,0.0800490606970698,18.9,15.3494073886631,0.931414895719521,137523525,1.35,0.42,"金融保險業"
