"","公司代號","year","本期綜合損益總額","權益總額","基本每股盈餘元","ROE","負債比例","每股參考淨值","現金股利元股","產業類別","公司簡稱"
"1","2801",102,8231931,112403330,1.14,0.0732356505808146,0.933882554252385,14.51,0.6,"金融保險業","彰銀"
"2","2809",102,4601786,24307974,3.53,0.189311787152644,0.886410078997557,20.24,1.5,"金融保險業","京城銀"
"3","2812",102,2884440,31037590,1.23,0.0929337619319026,0.937451041033842,12.25,0.1906595,"金融保險業","台中銀"
"4","2820",102,1231883,20948326,1.04,0.0588057967018462,0.88877318724116,15.6,0.7,"金融保險業","華票"
"5","2834",102,3608823,57253568,0.71,0.0630322812370401,0.956834328995114,11.24,0,"金融保險業","臺企銀"
"6","2836",102,207369,10749042,0.58,0.0192918587535522,0.954148838448391,14.91,0.02,"金融保險業","高雄銀"
"7","2838",102,3574660,28680374,1.3,0.124637844680826,0.934840281663341,12.82,0,"金融保險業","聯邦銀"
"8","2845",102,2928422,28953084,1.3,0.101143698543478,0.941174887026874,12.26,0.25,"金融保險業","遠東銀"
"9","2849",102,2041980,25232764,1.57,0.0809257360786951,0.927543424602633,15.02,0.6,"金融保險業","安泰銀"
"10","2897",102,1955319,42895706,0.47,0.0455830940281062,0.890858822560797,11.22,0.2,"金融保險業","王道銀行"
"11","5876",102,15333097,132176163,2.74,0.116005009163415,0.907951981440352,26.62,1.5,"金融保險業","上海商銀"
"12","2801",103,11487206,119241101,1.38,0.0963359605342792,0.934334007297329,15.09,0.2,"金融保險業","彰銀"
"13","2809",103,4640730,27146852,4.33,0.170949103048854,0.884622643818933,22.6,1.5,"金融保險業","京城銀"
"14","2812",103,3768119,35890951,1.32,0.104987995442082,0.932284144359338,12.59,0.25,"金融保險業","台中銀"
"15","2820",103,1458777,21467031,1.03,0.0679542969868539,0.87366167835136,15.98,0.72,"金融保險業","華票"
"16","2834",103,5484349,62737917,1,0.0874168168509643,0.95494229960551,11.84,0,"金融保險業","臺企銀"
"17","2836",103,591022,11330722,0.69,0.0521610185123243,0.957881953351418,15.3,0.03,"金融保險業","高雄銀"
"18","2838",103,3593654,32307073,1.26,0.111234279874255,0.933590345877294,13.07,0.26,"金融保險業","聯邦銀"
"19","2845",103,3791345,36262732,1.31,0.104552106002383,0.9305231762472,12.67,0.4,"金融保險業","遠東銀"
"20","2849",103,3751393,27976351,1.91,0.134091576131569,0.916507558698873,16.66,0.6,"金融保險業","安泰銀"
"21","2897",103,3470017,44991989,0.74,0.0771252188917454,0.89489412386197,12.04,0.4,"金融保險業","王道銀行"
"22","5876",103,20144103,145329323,2.87,0.138610038113231,0.905766374895362,28.39,1.5,"金融保險業","上海商銀"
"23","2801",104,11814666,129474959,1.38,0.0912505869185099,0.932078967250851,15.31,0.35,"金融保險業","彰銀"
"24","2809",104,4081497,28455109,3.09,0.143436350920322,0.880216043041067,24.52,0.5,"金融保險業","京城銀"
"25","2812",104,3402004,39945989,1.14,0.085165096300407,0.930604834038434,12.55,0.5,"金融保險業","台中銀"
"26","2820",104,1885237,22385337,1.2,0.0842174946930663,0.892161554060367,16.67,0.83,"金融保險業","華票"
"27","2834",104,4921212,67659129,0.9,0.0727353732265752,0.954157114771021,11.9,0.1,"金融保險業","臺企銀"
"28","2836",104,570185,11901743,0.76,0.0479076888149912,0.954754942179867,15.28,0.03,"金融保險業","高雄銀"
"29","2838",104,3437791,35150417,1.2,0.0978022821180187,0.930872834256103,13.39,0.4,"金融保險業","聯邦銀"
"30","2845",104,3869986,38977648,1.3,0.0992873146168286,0.92868484144047,12.85,0.4,"金融保險業","遠東銀"
"31","2849",104,3513603,30482148,1.96,0.115267565789655,0.905483119856152,18.15,0.6,"金融保險業","安泰銀"
"32","2897",104,3337247,46281290,0.72,0.0721079079688574,0.904768292755146,12.43,0.5,"金融保險業","王道銀行"
"33","5876",104,17861517,155896379,2.98,0.114573007497499,0.904056025123701,28.9,1.5,"金融保險業","上海商銀"
"34","2801",105,11008629,137523525,1.35,0.0800490606970698,0.931414895719521,15.34,0.42,"金融保險業","彰銀"
"35","2809",105,5205092,32800496,4.17,0.15868942957448,0.865617979439387,28.62,1.5,"金融保險業","京城銀"
"36","2812",105,3028047,41382035,1.09,0.0731729843638671,0.934010753048885,12.78,0.55,"金融保險業","台中銀"
"37","2820",105,1166378,22437058,1.22,0.0519844446629322,0.889656937632322,16.71,0.84,"金融保險業","華票"
"38","2834",105,3779677,70870340,0.87,0.0533322825881744,0.952713038280326,11.87,0.102,"金融保險業","臺企銀"
"39","2836",105,552398,12465034,0.79,0.0443158037114058,0.951341594270651,15.14,0.386,"金融保險業","高雄銀"
"40","2838",105,2126285,36218456,1.01,0.058707223742503,0.932010495008537,13.8,0.45,"金融保險業","聯邦銀"
"41","2845",105,3015425,40950877,1.04,0.0736351751392284,0.92705778014953,13.16,0.42,"金融保險業","遠東銀"
"42","2849",105,1023176,30497518,0.63,0.033549484256391,0.89988891656447,18.16,0.6,"金融保險業","安泰銀"
"43","2897",105,1735681,45871109,0.69,0.0378382175150812,0.907682598429515,12.29,0.45,"金融保險業","王道銀行"
"44","5876",105,14768423,163022430,2.89,0.0905913560483671,0.901007078081514,29.56,1.5,"金融保險業","上海商銀"
"45","2801",106,11189241,144947564,1.28,0.077195095186284,0.928816714028043,15.4,0.45,"金融保險業","彰銀"
"46","2809",106,5879736,36960880,4.89,0.159079978615228,0.863701638691744,32.25,1.5,"金融保險業","京城銀"
"47","2812",106,3800877,43401940,1.1,0.0875738964663792,0.934539421549187,13.18,0.45,"金融保險業","台中銀"
"48","2820",106,1715960,23024932,1.01,0.074526170153293,0.895537040646769,17.14,0.71,"金融保險業","華票"
"49","2834",106,5556160,75817673,0.82,0.0732831776570088,0.952138146859976,12.33,0.268,"金融保險業","臺企銀"
"50","2836",106,524074,14187046,0.47,0.0369403186540736,0.946131452915665,14.14,0.13,"金融保險業","高雄銀"
"51","2838",106,3162854,48186565,1.05,0.0656376730733971,0.914806970542558,17.08,0.4,"金融保險業","聯邦銀"
"52","2845",106,3142569,42786672,0.9,0.0734473809975218,0.925643262741711,13.44,0.439,"金融保險業","遠東銀"
"53","2849",106,2109731,31850363,1.24,0.0662388369011681,0.896175314624899,18.35,0.6,"金融保險業","安泰銀"
"54","2897",106,2016977,46174643,0.45,0.0436814855287566,0.914581885102781,12.14,0.3,"金融保險業","王道銀行"
"55","5876",106,7664396,163033094,3.04,0.0470112896219709,0.905951477881829,30.09,1.8,"金融保險業","上海商銀"
"56","2801",107,12756069,156561631,1.29,0.0814763420547145,0.924795487864664,15.99,0.64,"金融保險業","彰銀"
"57","2809",107,-425734,35184061,2.51,-0.0121001950286523,0.874832009917625,30.83,1.5,"金融保險業","京城銀"
"58","2812",107,4041522,47823653,1.18,0.0845088517182073,0.930773841006633,13.57,0.28,"金融保險業","台中銀"
"59","2820",107,1098912,23298493,0.99,0.0471666558004417,0.883233736210184,17.35,0.79,"金融保險業","華票"
"60","2834",107,8223830,84853019,1.19,0.0969185315610279,0.947590550478246,13.27,0.3,"金融保險業","臺企銀"
"61","2836",107,221027,14445012,0.46,0.0153012680086386,0.946100520687941,13.88,0.11,"金融保險業","高雄銀"
"62","2838",107,2542051,50058755,1.07,0.0507813468393291,0.922699459633548,17.24,0,"金融保險業","聯邦銀"
"63","2845",107,3194506,44744740,1.08,0.0713940007250014,0.928676722757263,13.69,0.45,"金融保險業","遠東銀"
"64","2849",107,2178418,33309677,1.26,0.0653989529829425,0.893063813476673,18.31,1,"金融保險業","安泰銀"
"65","2897",107,1560566,49118712,0.4,0.0317713135474725,0.912575511900442,11.79,0,"金融保險業","王道銀行"
"66","5876",107,22135907,178021926,3.37,0.124343711459452,0.905928446341233,32.07,2,"金融保險業","上海商銀"
