"","公司代號","year","本期綜合損益總額","權益總額","基本每股盈餘元","ROE","負債比例","每股參考淨值","現金股利元股","產業類別","公司簡稱"
"1","5864",102,-179896,2894185,-0.77,-0.0621577404346992,0.291914270832085,13.63,0,"金融業","致和證"
"2","6015",102,175498,4955279,0.61,0.0354163711064503,0.585900778053225,11.61,0.3,"金融業","宏遠證"
"3","6016",102,17781,7790186,0.03,0.00228248722174284,0.766636901349948,11.26,0,"金融業","康和證"
"4","6020",102,314704,3627573,1.35,0.0867533196437398,0.208351910228586,15.59,0.115,"金融業","大展證"
"5","6021",102,403613,4617716,0.93,0.0874053319866358,0.53543090427628,15.05,0.7,"金融業","大慶證"
"6","6023",102,794480,7005065,2.82,0.113415078946448,0.811522171029195,30.16,2.07,"金融業","元大期貨"
"7","6026",102,201016,1867982,1,0.10761131531246,0.576796919921865,9.34,0,"金融業","福邦證"
"8","5864",103,-54006,2840179,-0.15,-0.0190149987025466,0.236111006516316,13.38,0,"金融業","致和證"
"9","6015",103,185589,5012817,0.4,0.0370228955096506,0.631234320633491,11.74,0.3,"金融業","宏遠證"
"10","6016",103,88788,7706410,0.1,0.0115213179677697,0.800448782503257,11.47,0,"金融業","康和證"
"11","6020",103,149257,3770083,0.56,0.0395898445737136,0.208087704141358,14.86,0.4219,"金融業","大展證"
"12","6021",103,37979,4440966,0.34,0.00855196819791009,0.532971703505326,14.48,0,"金融業","大慶證"
"13","6023",103,928180,7452433,3.75,0.124547245174831,0.802458909692202,32.08,2.64,"金融業","元大期貨"
"14","6026",103,390200,2562581,1.87,0.152268357566063,0.582348426607533,11.14,0.5,"金融業","福邦證"
"15","5864",104,-2832,2837347,0.13,-0.000998115493099716,0.30752231179699,13.37,0,"金融業","致和證"
"16","6015",104,-85883,4790591,-0.6,-0.0179274331705629,0.573756099696381,11.22,0,"金融業","宏遠證"
"17","6016",104,149698,7759514,0.35,0.0192921876292768,0.771432444527878,11.79,0.2,"金融業","康和證"
"18","6020",104,3837,3667214,-0.01,0.00104629836164456,0.186199079107175,14.45,0,"金融業","大展證"
"19","6021",104,-87819,4353147,-0.17,-0.0201736812471529,0.479472377633206,14.19,0,"金融業","大慶證"
"20","6023",104,942288,6777107,3.35,0.139039858747988,0.880793557965359,29.18,2.28,"金融業","元大期貨"
"21","6026",104,136413,2583994,0.58,0.0527915312496856,0.274642696134656,11.23,0.3,"金融業","福邦證"
"22","5864",105,244511,3081858,0.91,0.0793388274216398,0.295905715557934,14.52,0.62,"金融業","致和證"
"23","6015",105,-160900,4381918,-0.4,-0.036719080548746,0.543819544877046,11.32,0,"金融業","宏遠證"
"24","6016",105,-344090,6885101,-0.57,-0.0499760279478834,0.759527890845356,11.49,0,"金融業","康和證"
"25","6020",105,21874,3669408,0.08,0.0059611795690204,0.162258185738375,14.54,0.079,"金融業","大展證"
"26","6021",105,-22328,4330819,-0.18,-0.00515560682633008,0.387981783112085,14.12,0,"金融業","大慶證"
"27","6023",105,936379,7183896,3.6,0.130344175361113,0.88445097244423,30.93,2.47,"金融業","元大期貨"
"28","6026",105,129816,3116795,0.5,0.0416504774937075,0.234440082706542,11.38,0.35,"金融業","福邦證"
"29","5864",106,147268,3097510,0.59,0.047543995015351,0.396666375794898,14.59,0.5,"金融業","致和證"
"30","6015",106,168295,4420004,0.57,0.0380757573975046,0.616076578929242,12,0.36,"金融業","宏遠證"
"31","6016",106,671444,7555646,1.15,0.088866524450722,0.780115887499503,12.61,0.25,"金融業","康和證"
"32","6020",106,240314,3889786,0.95,0.0617807766288428,0.1785463355977,15.41,0.663,"金融業","大展證"
"33","6021",106,346851,4677670,0.55,0.0741503782866256,0.480424171732925,15.25,0.35,"金融業","大慶證"
"34","6023",106,857411,7467585,3.76,0.114817708804118,0.870060416216067,32.15,2,"金融業","元大期貨"
"35","6026",106,509628,3551705,2,0.143488268310572,0.251957036189584,13.07,1.38,"金融業","福邦證"
"36","5864",107,425912,3575487,2.01,0.119119996800436,0.231730350231674,15.96,0.6,"金融業","致和證"
"37","6015",107,-422909,3850870,-1.2,-0.109821676660079,0.667338749735443,10.69,0,"金融業","宏遠證"
"38","6016",107,-266343,7081662,-0.45,-0.0376102389523815,0.657551849859542,11.74,0,"金融業","康和證"
"39","6020",107,25248,3850046,0.01,0.00655784372446459,0.1862477083107,15.25,0.02663921,"金融業","大展證"
"40","6021",107,205514,4957549,0.64,0.0414547591965304,0.286866446617572,16.16,1,"金融業","大慶證"
"41","6023",107,1217976,8220550,4.31,0.14816234923454,0.887838149107266,35.39,2.8,"金融業","元大期貨"
"42","6026",107,57997,3287986,0.15,0.0176390653731494,0.318871019765047,11.92,0.2,"金融業","福邦證"
"43","5864",108,95813,3536722,0.57,0.0270909050810327,0.290189291712986,14.89,0.55,"金融業","致和證"
"44","6015",108,136551,3899668,0.4,0.0350160577772262,0.662526991485264,11.25,0.15,"金融業","宏遠證"
"45","6016",108,414417,7296992,0.47,0.0567928538225066,0.715549761986577,12.23,0.33,"金融業","康和證"
"46","6020",108,152668,3995991,0.46,0.0382052912531585,0.337983967777838,15.83,0.32474527,"金融業","大展證"
"47","6021",108,-8502,4642013,0.09,-0.00183153300087699,0.366748812657349,15.13,0,"金融業","大慶證"
"48","6023",108,1285960,8856137,4.89,0.145205522452961,0.880779841776997,38.13,3.2,"金融業","元大期貨"
"49","6026",108,268951,3443672,1,0.0781000629560539,0.359192490747507,12.7,0.7,"金融業","福邦證"
"50","5864",109,567628,3973730,1.98,0.142845135426916,0.385313976781419,16.73,NA,"金融業","致和證"
"51","6015",109,408192,4159366,1.24,0.0981380335368419,0.753508607920276,12.57,NA,"金融業","宏遠證"
"52","6016",109,1185242,8267374,1.83,0.143363781534499,0.76779843355433,13.82,NA,"金融業","康和證"
"53","6020",109,256798,4170838,1.03,0.0615698811605725,0.404075504608771,16.53,NA,"金融業","大展證"
"54","6021",109,334617,4976630,0.34,0.0672376688642716,0.636313504258963,16.22,NA,"金融業","大慶證"
"55","6023",109,1095841,11858562,4.23,0.092409265136869,0.877673896063616,40.89,NA,"金融業","元大期貨"
"56","6026",109,300799,3565380,1.05,0.0843666032793138,0.512600697378345,13.01,NA,"金融業","福邦證"
"57","1258",102,45164,589584,1.7,0.0766031642649733,0.276329210409064,17.34,0.6,"食品工業","其祥-KY"
"58","1259",102,28305,1618156,2.45,0.0174921330205493,0.329288451112412,47.13,2,"觀光事業","安心"
"59","1264",102,288297,1264555,12.02,0.227982966339938,0.16210632471225,48.83,7,"食品工業","德麥"
"60","1336",102,50364,1534525,0.1,0.0328205796582004,0.4172667006668,24.78,0.08,"電子零組件業","台翰"
"61","1565",102,1596463,3885212,31.7,0.410907564374866,0.372239843968507,77.06,22.5,"生技醫療業","精華"
"62","1569",102,70258,2065809,-0.49,0.0340099205686489,0.593666872015654,24.66,0,"電腦及週邊設備業","濱川"
"63","1570",102,82451,446698,1.59,0.184578842976687,0.238157448165652,8.67,0,"電機機械","力肯"
"64","1580",102,566966,1565703,11.05,0.362115931310089,0.46042745973374,33.7,7.5,"電機機械","新麥"
"65","1584",102,-175494,1218689,-2.16,-0.144002284422031,0.615479829468009,14.78,0,"其他","精剛"
"66","1586",102,75858,1020170,0.8,0.0743581952027603,0.460444477353022,22.7,1,"電機機械","和勤"
"67","1591",102,31520,340923,2.02,0.0924548945069708,0.316768406328033,14.56,0,"電機機械","駿吉-KY"
"68","1593",102,51848,680544,1.83,0.0761861099355809,0.242660232940648,25.4,2.2,"生技醫療業","祺驊"
"69","1595",102,247653,1669044,6.22,0.148380150553251,0.214384897006645,43.14,3.5,"電子零組件業","川寶"
"70","1599",102,98684,1108570,3.03,0.0890191868803955,0.278309978353922,28.34,0.5,"電機機械","宏佳騰"
"71","1742",102,-27569,828093,-0.43,-0.033292154383626,0.259050778848812,12.58,0,"化學工業","台蠟"
"72","1752",102,-7594,1425594,-0.1,-0.00532690232983584,0.453093853725008,17.11,0,"生技醫療業","南光"
"73","1777",102,79103,524708,3.1,0.150756230131807,0.252392961459001,21.02,2,"生技醫療業","生泰"
"74","1781",102,39544,682930,0.59,0.057903445448289,0.344312504080465,14.41,0.5,"生技醫療業","合世"
"75","1784",102,11349,1453010,1.07,0.00781068265187438,0.26930372617333,23.66,1.02644128,"生技醫療業","訊聯"
"76","1785",102,209630,6602885,0.13,0.0317482433814916,0.663257963274436,15.75,0.97,"其他電子業","光洋科"
"77","1788",102,220567,1481268,6.26,0.14890418209264,0.369663535271179,41.38,5,"生技醫療業","杏昌"
"78","1799",102,-162071,204360,-6.4,-0.793066157760814,0.297045914225567,5.59,0,"生技醫療業","易威"
"79","1813",102,99487,968356,2.13,0.102738042620689,0.0818850844108685,20.76,2,"生技醫療業","寶利徠"
"80","1815",102,59485,6486574,0.08,0.00917048044160138,0.50261620965747,15.92,0.15,"電子零組件業","富喬"
"81","2035",102,-912895,7005926,-2.76,-0.130303260411258,0.747195604289175,17.84,0,"鋼鐵工業","唐榮公司"
"82","2061",102,-55697,434629,-1.34,-0.128148374820824,0.656578578285931,10.31,0,"電器電纜","風青"
"83","2063",102,45772,579136,1.08,0.0790349762404686,0.41957254892135,14.05,1,"鋼鐵工業","世鎧"
"84","2064",102,133953,1230820,2.22,0.108832323166669,0.514084721118455,19.98,1.5,"鋼鐵工業","晉椿"
"85","2065",102,82144,783354,26.1,0.10486191428141,0.225514631949546,26.11,2,"鋼鐵工業","世豐"
"86","2066",102,172159,913389,5.51,0.188483767595187,0.20738148978322,26.85,4.5,"電機機械","世德"
"87","2067",102,44842,438262,1.23,0.102317791640617,0.604262381530282,16.2,1.1,"電機機械","嘉鋼"
"88","2221",102,15988,557736,0.15,0.0286658921066598,0.494041285090286,12.92,0.31,"其他","大甲"
"89","2230",102,23494,457988,0.42,0.0512982872913701,0.317206256820662,13.23,0.6,"電機機械","泰茂"
"90","2235",102,105708,600891,3.83,0.175918760640449,0.564643352144249,21.55,2,"電機機械","謚源"
"91","2596",102,230617,1315928,3.05,0.175250469630557,0.362366621458119,16.68,1.6,"建材營造","綠意"
