"","公司代號","產業類別","公司簡稱","AverageROE","StdROE","count","RateROE","本期綜合損益總額mean","權益總額mean","基本每股盈餘元mean","ROEmean","負債比例mean","每股參考淨值mean","現金股利元股mean","本期綜合損益總額last","權益總額last","基本每股盈餘元last","ROElast","負債比例last","每股參考淨值last","現金股利元股last","K值法mean","K值法last","股利法mean","股利法last","本益比法mean","本益比法last","weight","Open","High","Low","ClosePrice","Volume","Adjusted","day"
"1","2801","金融保險業","彰銀",0.0768009447795419,0.0165133019391476,8,-0.00440064856794807,10741103,153264741,1.152,0.0707170720405463,0.92754301222123,15.774,0.462,6810719,165053790,0.68,0.0412636329041581,0.928654395888671,15.89,0.4,13.9436386795947,8.1959890855884,7.7,6.66666666666667,16.128,9.52,-0.00033797396766115,16.450001,16.5,16.4,16.450001,2637769,16.450001,"2021-09-24"
"2","2809","金融保險業","京城銀",0.145607976769576,0.0657576134593555,8,-0.00645452531355437,5226540.4,38492007.2,3.892,0.132233314606958,0.863250980156912,33.928,1.5,7604228,46583090,4.9,0.163240094205859,0.85686909299822,41.66,1.5,56.0801487248108,85.007279057701,25,25,54.488,68.6,-0.000939830371914666,41.450001,41.849998,41.450001,41.75,2758558,41.75,"2021-09-24"
"3","2812","金融保險業","台中銀",0.0866964421188306,0.00955529325851541,8,-0.0021521936287309,3963507.4,48247717.4,1.112,0.0820969366552506,0.929273015441448,13.434,0.368,4474396,57321753,1.03,0.0780575569627119,0.922198581149924,13.81,0.28,13.786128087833,13.4746857706881,6.13333333333333,4.66666666666667,15.568,14.42,-0.000186587530361784,11.55,11.6,11.5,11.55,3332735,11.55,"2021-09-24"
"4","2820","金融保險業","華票",0.0691138470690518,0.0174501191573541,8,0.00240945183533507,1631075.4,23613077.4,1.066,0.0683866376341297,0.886215216170641,17.582,0.756,2559415,25449442,1.18,0.100568609716472,0.883411327062857,18.95,0.72,15.0296732860408,23.8221894265894,12.6,12,14.924,16.52,0.000166526485667594,16.200001,16.200001,16.1,16.1,368797,16.1,"2021-09-24"
"5","2834","金融保險業","臺企銀",0.0715501412768272,0.0169147248115408,8,-0.000771269267352425,5941991.6,85143309.4,0.898,0.0698433317800076,0.948534830347856,12.806,0.214,4568380,98658749,0.63,0.046304864457586,0.94493368008468,13.17,0.2,11.1801713346847,7.6229383113301,3.56666666666667,3.33333333333333,12.572,8.82,-5.5184425041541e-05,9.6,9.64,9.54,9.59,20653640,9.59,"2021-09-24"
"6","2836","金融保險業","高雄銀",0.0431897830928553,0.0189307223126027,8,0.00313931622402523,668600.8,14548265.2,0.624,0.0452315397323949,0.945570131836305,14.486,0.1852,946479,16214624,0.68,0.0583719363458567,0.941285306431958,15,0.15,8.19030105704341,10.9447380648481,3.08666666666667,2.5,8.736,9.52,0.000135586386775531,11.05,11.15,11.05,11.15,545597,11.15,"2021-09-24"
"7","2838","金融保險業","聯邦銀",0.0884981181929193,0.0292943255864286,8,-0.00491429522395665,3867789.8,50181213.4,1.018,0.0748621077740509,0.921828953565031,16.928,0.21,4636212,60192412,0.96,0.0770231968773738,0.920544153924731,18.28,0.1,15.8408220049892,17.5998004864799,3.5,1.66666666666667,14.252,13.44,-0.000434905879564614,11.85,11.85,11.75,11.75,956983,11.75,"2021-09-24"
"8","2845","金融保險業","遠東銀",0.0838504056680579,0.0160623384670845,8,-0.00540000134186067,3282052.2,44902081.4,0.966,0.0731640252363548,0.927499702146171,13.704,0.449,3029816,48743705,0.73,0.0621580981585212,0.928323084247294,14.14,0.468,12.5329975229876,10.9864438495186,7.48333333333333,7.8,13.524,10.22,-0.000452792303123074,10.5,10.55,10.45,10.5,3868869,10.5,"2021-09-24"
"9","2849","金融保險業","安泰銀",0.0782804847056224,0.0319245980982676,8,-0.00677623719829865,1954333.6,32774627.8,1.074,0.059191799929012,0.893641015548211,17.932,0.732,2257597,34521952,1.11,0.0653959834020973,0.889161242574255,17.63,0.73,13.267841954088,14.4116398422372,12.2,12.1666666666667,15.036,15.54,-0.000530447132363087,15.9,16.15,15.9,16.15,177159,16.15,"2021-09-24"
"10","2897","金融保險業","王道銀行",0.0519880487841889,0.0161282242210346,8,-0.0019325097982556,2198957,49246701.2,0.48,0.0442176338769604,0.909985024684825,12.046,0.31,3216041,54252765,0.41,0.0592788404425102,0.905715189610646,11.75,0.4,6.65807022102331,8.70657968999368,5.16666666666667,6.66666666666667,6.72,5.74,-0.000100467413667635,7.59,7.6,7.52,7.53,2533366,7.53,"2021-09-24"
"11","5876","金融保險業","上海商銀",0.0996747864796827,0.0318897208154965,8,-0.006770501168294,15715252,182680597.4,3.162,0.0856420474126634,0.903491946138585,32.154,1.88,12235369,205099212,3.01,0.0596558557231317,0.902968653517514,34.7,2.05,34.4216799063348,25.8757274199084,31.3333333333333,34.1666666666667,44.268,42.14,-0.000674848258310147,45,45.299999,44.299999,44.599998,1862708,44.599998,"2021-09-24"
"12","2855","金融保險業","統一證",0.0725070704042143,0.0330580581771364,8,0.0079340548836208,2151471.6,26104458.4,1.534,0.0797632397134012,0.706487132274991,18.888,0.778,4089942,29479482,2.58,0.138738597917019,0.740752577360839,21.01,1,18.832100896334,36.4362242779571,12.9666666666667,16.6666666666667,21.476,36.12,0.000575275076037594,23.450001,23.549999,23.4,23.4,1017560,23.4,"2021-09-24"
"13","6005","金融保險業","群益證",0.069999213474441,0.025969471306658,8,0.0059185124850274,2703055.6,34883574.6,1.044,0.0762198327022583,0.733775801086223,14.884,0.514,3916654,38674730,1.64,0.101271657229411,0.762822854928248,16.53,0.8,14.1806998742552,20.925256175027,8.56666666666667,13.3333333333333,14.616,22.96,0.000414291218890577,15.25,15.4,15.25,15.3,1302184,15.3,"2021-09-24"
"14","6024","金融保險業","群益期",0.134032448388423,0.0258171174687062,8,-0.00359232014392034,630145,4869107.2,4.012,0.133867791326974,0.871226493451483,28.388,2.456,578848,6386959,3.07,0.0906296721178263,0.862389747614886,30.22,1.9,47.5029857523768,34.2353586425089,40.9333333333333,31.6666666666667,56.168,42.98,-0.000481487464284695,38.349998,38.599998,38.349998,38.5,190700,38.5,"2021-09-24"
"15","1101","水泥工業","台泥",0.0956072974516392,0.058212393027355,8,0.00474748288388219,19567414.4,184943052.6,3.374,0.101626527107157,0.437030648615378,32.774,2.25,25495895,218830053,4.32,0.116510025247766,0.438186008914117,34.41,2.5,41.6338474926246,50.1138746096954,37.5,41.6666666666667,47.236,60.48,0.00045389400822589,51.400002,51.700001,51.200001,51.299999,13525660,51.299999,"2021-09-24"
"16","1102","水泥工業","亞泥",0.0659518286861831,0.0665920546625173,8,0.00704013223451033,10863295.2,156968784.2,3.36,0.0645816011166123,0.421700868741758,40.566,2.18,17584476,169886952,4.7,0.103506925005047,0.428157290904035,43.96,3,32.7477153862062,56.8770552902733,36.3333333333333,50,47.04,65.8,0.000464309595058501,46.400002,46.650002,46.299999,46.450001,7977620,46.450001,"2021-09-24"
"17","1103","水泥工業","嘉泥",0.0617669742530936,0.190652254383326,8,0.0175713692374504,2743572.8,20937498.2,1.456,0.131485217910423,0.36672898272454,30.364,0.74,2138223,25017349,2.74,0.0854696075111716,0.384509932496318,37.61,1,49.9052144579011,40.1813992311895,12.3333333333333,16.6666666666667,20.384,38.36,0.0010853303112812,20.85,21,20.799999,20.799999,360252,20.799999,"2021-09-24"
"18","1104","水泥工業","環泥",0.074914985299995,0.0299755520333829,8,-0.00777322722422811,1110115.2,17653711.2,2.022,0.0630092581831886,0.208686392679165,26.97,1.06,1339025,18785353,1.91,0.0712802681961845,0.22061972035274,28.54,1,21.2419961650075,25.4292356789888,17.6666666666667,16.6666666666667,28.308,26.74,-0.00058233120323657,21.35,21.5,21.1,21.15,337688,21.15,"2021-09-24"
"19","1108","水泥工業","幸福",0.0383564173021805,0.053493819425746,8,-0.00555453128730519,93778,4487046.4,0.234,0.0189135281335144,0.403881539792925,11.06,0.18,396695,4656919,0.97,0.0851840025561965,0.41986534213778,11.51,0.15,2.61479526445836,12.2558483677728,3,2.5,3.276,13.58,-0.000213051919973896,11.8,11.95,11.7,11.75,291197,11.75,"2021-09-24"
"20","1109","水泥工業","信大",0.0832323789560272,0.0697081571140184,8,0.0212027366209603,942243.6,7797024.4,1.976,0.11364071194058,0.228127431683015,18.024,0.64,1529166,9541016,2.94,0.160272868214454,0.192195987944513,21.93,1.1,25.6032524002127,43.9347999992873,10.6666666666667,18.3333333333333,27.664,41.16,0.0017647542093406,24.1,24.1,23.1,23.15,1032687,23.15,"2021-09-24"
"21","1110","水泥工業","東泥",0.0127708615479257,0.0164231039375014,8,-0.00373377424447276,74490,8570500,0.104,0.00867721294858666,0.0957092095332929,14.934,0.1,17638,8548719,0.04,0.00206323309960241,0.133457505686587,14.9,0.1,1.61981872717742,0.384277164800949,1.66666666666667,1.66666666666667,1.456,0.56,-4.76835139273725e-05,20.35,20.35,19.799999,20.1,479000,20.1,"2021-09-24"
"22","1201","食品工業","味全",0.00630036048610611,0.162742757036457,8,0.0309598245477424,377086.6,6979465.4,1.09,0.0560805401923466,0.703475662586566,11.79,0.69356,587863,6855788,1.06,0.0857469630041069,0.619788702239817,13.53,1.3339,8.26486961084708,14.5019551180696,11.5593333333333,22.2316666666667,15.26,14.84,0.000195058055237374,21.549999,21.6,21.299999,21.549999,1417085,21.549999,"2021-09-24"
"23","1203","食品工業","味王",0.102595958085237,0.028402706482732,8,0.00480620048983516,678636.4,5859909.8,1.838,0.116219362864469,0.357629181421136,20.032,1.06,487235,6312382,1.81,0.0771871854396645,0.32354787527372,21.69,1,29.1013284612631,20.927375652329,17.6666666666667,16.6666666666667,25.732,25.34,0.000493096744004373,32.099998,32.200001,31.950001,32.150002,21333,32.150002,"2021-09-24"
"24","1210","食品工業","大成",0.103617561604508,0.0454340733336986,8,0.0072895825466967,2776494.8,23267971,3.192,0.11608081959387,0.47151502063128,23.332,1.88,4701938,27886752,3.99,0.168608305477813,0.460531743579541,25.81,2.2,33.8549710345522,54.3972545547793,31.3333333333333,36.6666666666667,44.688,55.86,0.000755328768603491,54.5,54.700001,54.200001,54.400002,836231,54.400002,"2021-09-24"
"25","1213","食品工業","大飲",-0.0228732970691124,0.0633360336920679,8,-0.0183091789575125,-28526.8,619217,-0.502,-0.0500214286564787,0.413005113419715,10.936,0,-27261,536146,-0.48,-0.0508462247223704,0.572887664196303,9.47,0,-6.83792929734063,-6.0189218515106,0,0,-7.028,-6.72,0.000418791289386724,8.66,8.66,8.66,8.66,0,8.66,"2021-09-24"
"26","1215","食品工業","卜蜂",0.152395825960587,0.0888761351730838,8,0.019184843547514,1542364,7636683.2,5.05,0.202909402342364,0.507854720210335,27.048,3.4,1435445,8733486,6.18,0.164361058115854,0.553190930950839,30.99,4,68.6036689319533,63.6693648876291,56.6666666666667,66.6666666666667,70.7,86.52,0.00292369007834804,79.400002,79.699997,79.400002,79.5,308791,79.5,"2021-09-24"
"27","1216","食品工業","統一",0.16138783831436,0.0618937293883403,8,0.00385748730051907,31023106.4,173781038.4,3.956,0.174221320609241,0.597598722806121,19.136,3.02,30351339,180598593,3.79,0.168059664783767,0.635403676643809,20.14,2.5,41.6737398897304,42.3090206093134,50.3333333333333,41.6666666666667,55.384,53.06,0.000622551536755869,69.300003,69.800003,68.900002,69.099998,3565562,69.099998,"2021-09-24"
"28","1217","食品工業","愛之味",0.00429000664128601,0.0371269043117354,8,0.0131286807421363,154526.2,6346974.8,0.23,0.023374347588785,0.492946257739094,11.35,0,430830,6858474,0.47,0.0628171806148131,0.485904618285824,12.31,0,3.31623556415887,9.66599366710437,0,0,3.22,6.58,5.63221275750883e-05,10.35,10.4,10.25,10.25,1256103,10.25,"2021-09-24"
"29","1218","食品工業","泰山",0.0477389556247397,0.0516722943351918,8,0.0200222558149097,454737.4,5467528,1.044,0.0764646774285847,0.36891017086287,12.516,0.6,864520,7031602,1.75,0.122947800515444,0.239025937026698,14.45,0.9,11.9628987837021,22.2074464681021,10,15,14.616,24.5,0.000955841581855162,27.35,27.450001,27.25,27.299999,259776,27.299999,"2021-09-24"
"30","1219","食品工業","福壽",0.0256735154181517,0.0450021202048279,8,0.00928890819331555,139746,4008771.2,0.688,0.0320310267461374,0.527946931282898,12.38,0.3,567581,4443414,1.91,0.127735340438681,0.480306285462458,13.72,0.4,4.95680138896476,21.9066108852337,5,6.66666666666667,9.632,26.74,0.000238478927718882,20.15,20.15,19.950001,20,305395,20,"2021-09-24"
"31","1220","食品工業","台榮",0.0475793565123934,0.0221824238149893,8,0.00583874504787677,146077.2,2447242.4,0.726,0.0595670511948692,0.205407700293713,12.828,0.542,184428,2548594,1.02,0.0723646057394783,0.178216461763082,13.38,0.6,9.55157665909727,12.1029803099277,9.03333333333333,10,10.164,14.28,0.0002778037322179,15.15,15.15,15.05,15.05,157100,15.05,"2021-09-24"
"32","1225","食品工業","福懋油",0.0897672004442325,0.0462512103934869,8,0.00695872607175509,356002,3659624.8,1.466,0.0971336630090228,0.482497338946087,14.728,1.25,417082,3733141,1.72,0.111724148645872,0.514760195565182,15.08,1.3,17.8823073599611,21.0600020197469,20.8333333333333,21.6666666666667,20.524,24.08,0.000624665358119746,44.299999,45.950001,44.299999,45.700001,428350,45.700001,"2021-09-24"
"33","1227","食品工業","佳格",0.176487067404047,0.0221296704857023,8,-0.000226674052828043,2743870.2,16089602.4,3.184,0.168909398409885,0.339343469284074,17.558,2.28,3496181,18015627,3.54,0.194063798057098,0.352511631922269,19.47,2.65,37.0713902160095,47.2302768521462,38,44.1666666666667,44.576,49.56,-4.00050388402114e-05,51.700001,51.799999,51.5,51.599998,315366,51.599998,"2021-09-24"
"34","1229","食品工業","聯華",0.102648390839729,0.0730900972595699,8,0.0140916122198349,4370287.2,30820272.4,2.554,0.133805286631238,0.178430072249391,24.684,1.64,8788080,44450094,2.43,0.197706668516831,0.206085540610309,24.95,1.6,41.2856211900686,61.6597672436868,27.3333333333333,26.6666666666667,35.756,34.02,0.00144648131870351,55.5,57.799999,55.400002,56,7419100,56,"2021-09-24"
"35","1231","食品工業","聯華食",0.132340373121895,0.0259117716092843,8,0.00734282368814951,503552,3461742.2,3.122,0.143868733154095,0.520425769218647,20.514,1.63,690836,4065573,3.74,0.169923403170968,0.539185215200778,22.07,1.6,36.8915398990389,46.8776188497907,27.1666666666667,26.6666666666667,43.708,52.36,0.000971752026657994,67.300003,68.300003,67.300003,68.300003,128533,68.300003,"2021-09-24"
