出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","102","4","1258","其祥-KY","545068.00","269645.00","814713.00","168379.00","56750.00","225129.00","340000.00","113106.00","156345.00","-19867.00","0.00","589584.00","--","--","0.00","589584.00","0.00","0.00","17.34"
"110/05/29","102","4","1259","安心","1664628.00","747968.00","2412596.00","765960.00","28480.00","794440.00","323895.00","809816.00","399495.00","-6795.00","--","1526411.00","--","--","91745.00","1618156.00","0.00","0.00","47.13"
"110/05/29","102","4","1264","德麥","1128208.00","380999.00","1509207.00","222118.00","22534.00","244652.00","254670.00","263393.00","726221.00","-798.00","--","1243486.00","--","--","21069.00","1264555.00","0.00","0.00","48.83"
"110/05/29","102","4","1336","台翰","1092667.00","1540656.00","2633323.00","917770.00","181028.00","1098798.00","627532.00","815260.00","99827.00","3745.00","-11839.00","1534525.00","--","--","--","1534525.00","0.00","839000.00","24.78"
"110/05/29","102","4","1565","精華","3263039.00","2925968.00","6189007.00","1495751.00","808044.00","2303795.00","504165.00","526000.00","2859552.00","-4505.00","--","3885212.00","--","--","--","3885212.00","0.00","0.00","77.06"
"110/05/29","102","4","1569","濱川","2571404.00","2512624.00","5084028.00","2340062.00","678157.00","3018219.00","837847.00","619033.00","591073.00","17856.00","--","2065809.00","--","--","--","2065809.00","0.00","0.00","24.66"
"110/05/29","102","4","1570","力肯","335087.00","251252.00","586339.00","122497.00","17144.00","139641.00","515008.00","--","-67830.00","-480.00","--","446698.00","--","--","0.00","446698.00","0.00","0.00","8.67"
"110/05/29","102","4","1580","新麥","2245906.00","655841.00","2901747.00","1193112.00","142932.00","1336044.00","448868.00","74811.00","971402.00","17800.00","--","1512881.00","--","--","52822.00","1565703.00","0.00","0.00","33.70"
"110/05/29","102","4","1584","精剛","737863.00","2431513.00","3169376.00","703363.00","1247324.00","1950687.00","834705.00","595460.00","-175614.00","-18486.00","-17376.00","--","--","--","--","1218689.00","0.00","1000000.00","14.78"
"110/05/29","102","4","1586","和勤","1150604.00","740156.00","1890760.00","747401.00","123189.00","870590.00","466433.00","216874.00","347798.00","17895.00","-28830.00","1020170.00","--","--","0.00","1020170.00","0.00","1708000.00","22.70"
"110/05/29","102","4","1591","駿吉-KY","221860.00","277126.00","498986.00","80779.00","77284.00","158063.00","234083.00","22159.00","99710.00","-15029.00","--","340923.00","--","--","0.00","340923.00","0.00","0.00","14.56"
"110/05/29","102","4","1593","祺驊","549534.00","349064.00","898598.00","202101.00","15953.00","218054.00","260760.00","208780.00","189921.00","2810.00","0.00","662271.00","--","--","18273.00","680544.00","0.00","0.00","25.40"
"110/05/29","102","4","1595","川寶","1345666.00","778840.00","2124506.00","351050.00","104412.00","455462.00","386875.00","242700.00","1039005.00","464.00","--","1669044.00","--","--","--","1669044.00","0.00","0.00","43.14"
"110/05/29","102","4","1599","宏佳騰","1184330.00","351745.00","1536075.00","401655.00","25850.00","427505.00","391135.00","518452.00","219402.00","-20419.00","--","1108570.00","--","--","0.00","1108570.00","0.00","0.00","28.34"
"110/05/29","102","4","1742","台蠟","486635.00","630976.00","1117611.00","214969.00","74549.00","289518.00","646906.00","0.00","166825.00","215.00","--","813946.00","--","--","14147.00","828093.00","0.00","0.00","12.58"
"110/05/29","102","4","1752","南光","759413.00","1847239.00","2606652.00","264133.00","916925.00","1181058.00","833309.00","482720.00","109565.00","--","--","--","--","--","--","1425594.00","0.00","0.00","17.11"
"110/05/29","102","4","1777","生泰","362006.00","339844.00","701850.00","93489.00","83653.00","177142.00","249595.00","54923.00","221698.00","-1508.00","--","--","--","--","--","524708.00","0.00","0.00","21.02"
"110/05/29","102","4","1781","合世","794431.00","247117.00","1041548.00","357312.00","1306.00","358618.00","474076.00","151307.00","50751.00","6796.00","--","682930.00","--","--","--","682930.00","0.00","0.00","14.41"
"110/05/29","102","4","1784","訊聯","988256.00","1000272.00","1988528.00","162824.00","372694.00","535518.00","502119.00","634521.00","67675.00","-5446.00","-31227.00","1167642.00","--","--","285368.00","1453010.00","0.00","856000.00","23.66"
"110/05/29","102","4","1785","光洋科","9629841.00","9978299.00","19608140.00","8093931.00","4911324.00","13005255.00","4085643.00","3048106.00","-746689.00","98114.00","-97417.00","6387757.00","--","--","215128.00","6602885.00","0.00","3032000.00","15.75"
"110/05/29","102","4","1788","杏昌","1747656.00","602308.00","2349964.00","856329.00","12367.00","868696.00","350000.00","658482.00","442888.00","-3231.00","--","1448139.00","--","--","33129.00","1481268.00","0.00","0.00","41.38"
"110/05/29","102","4","1799","易威","196538.00","94178.00","290716.00","76734.00","9622.00","86356.00","365894.00","12.00","-174376.00","12830.00","--","204360.00","--","--","--","204360.00","0.00","0.00","5.59"
"110/05/29","102","4","1813","寶利徠","346671.00","708051.00","1054722.00","50113.00","36253.00","86366.00","466355.00","262855.00","250531.00","-11385.00","--","968356.00","--","--","0.00","968356.00","0.00","0.00","20.76"
"110/05/29","102","4","1815","富喬","2729682.00","10311704.00","13041386.00","1028001.00","5526811.00","6554812.00","4091381.00","1715009.00","698561.00","1698.00","-20075.00","6486574.00","--","--","--","6486574.00","0.00","1814000.00","15.92"
