出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","105","4","1240","茂生農經","699993.00","669524.00","1369517.00","567348.00","54891.00","622239.00","300580.00","13794.00","193458.00","239446.00","0.00","--","0.00","--","--","747278.00","--","0.00","0.00","24.86"
"110/05/29","105","4","1258","其祥-KY","915181.00","732022.00","1647203.00","558394.00","197057.00","755451.00","363995.00","186044.00","397302.00","-109822.00","--","837519.00","--","--","54233.00","891752.00","--","0.00","0.00","23.01"
"110/05/29","105","4","1259","安心","2274184.00","486039.00","2760223.00","1029112.00","30203.00","1059315.00","323895.00","809816.00","556021.00","-6686.00","-10123.00","1672923.00","--","--","27985.00","1700908.00","0.00","0.00","117000.00","51.84"
"110/05/29","105","4","1264","德麥","2087113.00","830809.00","2917922.00","456683.00","64067.00","520750.00","306327.00","737569.00","1026715.00","-21250.00","--","2049361.00","--","--","347811.00","2397172.00","0.00","0.00","0.00","66.90"
"110/05/29","105","4","1268","漢來美食","1562897.00","1042758.00","2605655.00","1309693.00","104385.00","1414078.00","336000.00","504564.00","403111.00","-52098.00","--","1191577.00","--","--","--","1191577.00","--","0.00","0.00","35.46"
"110/05/29","105","4","1336","台翰","1163570.00","1273837.00","2437407.00","1130777.00","126449.00","1257226.00","627532.00","670434.00","-80870.00","-36915.00","--","1180181.00","--","--","--","1180181.00","--","0.00","0.00","18.81"
"110/05/29","105","4","1565","精華","4943558.00","2401060.00","7344618.00","1650674.00","516522.00","2167196.00","504165.00","526000.00","4141277.00","5980.00","--","5177422.00","--","--","--","5177422.00","0.00","0.00","0.00","102.69"
"110/05/29","105","4","1569","濱川","2267422.00","2337384.00","4604806.00","1752521.00","814700.00","2567221.00","965481.00","715335.00","391394.00","-34625.00","--","2037585.00","--","--","--","2037585.00","0.00","2763366.00","0.00","21.10"
"110/05/29","105","4","1570","力肯","622340.00","246926.00","869266.00","213603.00","11470.00","225073.00","515008.00","--","130767.00","-1582.00","--","644193.00","--","--","0.00","644193.00","0.00","0.00","0.00","12.51"
"110/05/29","105","4","1580","新麥","2205604.00","911699.00","3117303.00","996543.00","184777.00","1181320.00","485316.00","74943.00","1392748.00","-70718.00","--","1882289.00","--","--","53694.00","1935983.00","0.00","0.00","0.00","38.78"
"110/05/29","105","4","1584","精剛","719320.00","1211891.00","1931211.00","148000.00","688370.00","836370.00","824705.00","290033.00","3446.00","-23343.00","0.00","--","--","--","--","1094841.00","--","0.00","0.00","13.28"
"110/05/29","105","4","1586","和勤","1697648.00","1056696.00","2754344.00","1208529.00","228097.00","1436626.00","695694.00","415206.00","257729.00","-50911.00","0.00","1317718.00","--","--","--","1317718.00","--","0.00","0.00","18.94"
"110/05/29","105","4","1591","駿吉-KY","242066.00","374106.00","616172.00","179519.00","74878.00","254397.00","301498.00","22159.00","172697.00","-134579.00","--","361775.00","--","--","0.00","361775.00","0.00","0.00","0.00","12.00"
"110/05/29","105","4","1593","祺驊","706120.00","312015.00","1018135.00","215365.00","7921.00","223286.00","303006.00","277906.00","230646.00","-20117.00","0.00","791441.00","--","--","3408.00","794849.00","0.00","0.00","0.00","26.12"
"110/05/29","105","4","1595","川寶","1701970.00","715373.00","2417343.00","349461.00","266474.00","615935.00","406218.00","253563.00","1137772.00","3855.00","--","1801408.00","--","--","--","1801408.00","--","0.00","0.00","44.35"
"110/05/29","105","4","1599","宏佳騰","1285581.00","704905.00","1990486.00","578000.00","29070.00","607070.00","517276.00","487161.00","469366.00","-75117.00","-15270.00","1383416.00","--","--","--","1383416.00","0.00","0.00","311000.00","26.91"
"110/05/29","105","4","1742","台蠟","466267.00","383778.00","850045.00","234876.00","54273.00","289149.00","722406.00","4530.00","-171492.00","5452.00","--","560896.00","--","--","0.00","560896.00","0.00","0.00","0.00","7.76"
"110/05/29","105","4","1752","南光","1117937.00","2054227.00","3172164.00","786949.00","262075.00","1049024.00","1009885.00","623405.00","489872.00","-22.00","0.00","2123140.00","--","--","--","2123140.00","0.00","0.00","0.00","21.02"
"110/05/29","105","4","1777","生泰","716928.00","570537.00","1287465.00","194178.00","65746.00","259924.00","300595.00","314322.00","413286.00","-662.00","--","--","--","--","--","1027541.00","0.00","0.00","0.00","34.18"
"110/05/29","105","4","1781","合世","389406.00","252421.00","641827.00","181452.00","1090.00","182542.00","474076.00","66311.00","-76405.00","-4697.00","--","459285.00","--","--","--","459285.00","--","0.00","0.00","9.69"
"110/05/29","105","4","1784","訊聯","804245.00","1068242.00","1872487.00","180176.00","314681.00","494857.00","496889.00","625411.00","13673.00","-6076.00","-1797.00","1128100.00","--","--","249530.00","1377630.00","0.00","0.00","62000.00","22.73"
"110/05/29","105","4","1785","光洋科","9595174.00","9625615.00","19220789.00","5492886.00","9732803.00","15225689.00","4065643.00","500721.00","-480310.00","-13281.00","-245210.00","3827563.00","--","--","167537.00","3995100.00","0.00","0.00","11171000.00","9.68"
"110/05/29","105","4","1788","杏昌","1932325.00","538651.00","2470976.00","899532.00","13407.00","912939.00","350000.00","658219.00","546070.00","1022.00","--","1555311.00","--","--","2726.00","1558037.00","0.00","0.00","0.00","44.44"
"110/05/29","105","4","1796","金穎生技","241036.00","255268.00","496304.00","107146.00","56159.00","163305.00","249564.00","9342.00","75498.00","-1405.00","--","332999.00","--","--","--","332999.00","0.00","0.00","0.00","13.34"
"110/05/29","105","4","1799","易威","546425.00","720858.00","1267283.00","142419.00","49104.00","191523.00","794114.00","767740.00","-681241.00","9236.00","0.00","889849.00","--","--","185911.00","1075760.00","--","0.00","0.00","11.21"
"110/05/29","105","4","1813","寶利徠","394204.00","844503.00","1238707.00","105511.00","34156.00","139667.00","466355.00","262855.00","256494.00","-4530.00","--","981174.00","--","--","117866.00","1099040.00","0.00","0.00","0.00","21.04"
"110/05/29","105","4","1815","富喬","3404513.00","8966143.00","12370656.00","2055795.00","3420750.00","5476545.00","4140881.00","1730347.00","1302824.00","-110828.00","-169113.00","6894111.00","--","--","--","6894111.00","--","0.00","15000000.00","17.27"
"110/05/29","105","4","2035","唐榮公司","4408426.00","14845252.00","19253678.00","4188691.00","9056277.00","13244968.00","3500000.00","0.00","2370449.00","138261.00","--","6008710.00","--","--","0.00","6008710.00","0.00","0.00","0.00","17.17"
"110/05/29","105","4","2061","風青","797115.00","212808.00","1009923.00","366849.00","17238.00","384087.00","620751.00","926.00","4512.00","-353.00","0.00","625836.00","--","--","--","625836.00","0.00","0.00","0.00","10.08"
"110/05/29","105","4","2063","世鎧","658553.00","626094.00","1284647.00","399079.00","256763.00","655842.00","450000.00","28778.00","149938.00","89.00","--","628805.00","--","--","--","628805.00","0.00","0.00","0.00","13.97"
