"","日期","成交股數","ValueToday","OpenPriceToday","HighPriceToday","LowPriceToday","ClosePriceToday","漲跌價差","成交筆數","ValueYesterday","OpenPriceYesterday","HighPriceYesterday","LowPriceYesterday","ClosePriceYesterday","OpenPriceF","HighPriceF","ClosePriceF","LowPriceF","ValueF","SellDate","SellPrice","BuyDate","TimeLength","Feature"
"1"," 99/01/05",16453854,932015376,56.8,56.9,56.15,56.5,0,1866,1132155005,56.45,56.65,56.05,56.5,"1","1","0","1","0",2010-01-07,57.6,2010-01-05,2,"11010"
"2"," 99/01/06",19012172,1087143829,56.5,57.75,56.5,57.55,1.05,2958,932015376,56.8,56.9,56.15,56.5,"0","1","1","1","1",2010-01-07,57.6,2010-01-06,1,"01111"
"3"," 99/01/07",14110575,814344344,57.6,58.15,57.3,57.4,-0.149999999999999,1846,1087143829,56.5,57.75,56.5,57.55,"1","1","0","1","0",2010-01-12,57.55,2010-01-07,5,"11010"
"4"," 99/01/08",11342752,651830965,57.3,57.75,57.05,57.75,0.350000000000001,1493,814344344,57.6,58.15,57.3,57.4,"0","0","1","0","0",2010-01-12,57.55,2010-01-08,4,"00100"
"5"," 99/01/11",11581081,670025579,57.1,58.05,57.1,57.9,0.149999999999999,1636,651830965,57.3,57.75,57.05,57.75,"0","1","1","1","1",2010-01-12,57.55,2010-01-11,1,"01111"
"6"," 99/01/12",7306217,420473484,57.55,57.85,57.25,57.6,-0.299999999999997,1329,670025579,57.1,58.05,57.1,57.9,"1","0","0","1","0",2010-01-19,57.5,2010-01-12,7,"10010"
"7"," 99/01/13",16686518,948986977,57.05,57.15,56.7,56.75,-0.850000000000001,2021,420473484,57.55,57.85,57.25,57.6,"0","0","0","0","1",2010-01-19,57.5,2010-01-13,6,"00001"
"8"," 99/01/14",9978365,570406499,56.8,57.6,56.8,57.45,0.700000000000003,1208,948986977,57.05,57.15,56.7,56.75,"0","1","1","1","0",2010-01-19,57.5,2010-01-14,5,"01110"
"9"," 99/01/15",8425543,485743844,57.35,57.95,57.35,57.8,0.349999999999994,1020,570406499,56.8,57.6,56.8,57.45,"1","1","1","1","0",2010-01-19,57.5,2010-01-15,4,"11110"
"10"," 99/01/18",5019674,288586818,57.45,57.7,57.3,57.5,-0.299999999999997,767,485743844,57.35,57.95,57.35,57.8,"1","0","0","0","0",2010-01-19,57.5,2010-01-18,1,"10000"
"11"," 99/01/19",6724054,382797005,57.5,57.7,56.5,56.75,-0.75,1461,288586818,57.45,57.7,57.3,57.5,"1","0","0","0","1",2010-01-20,56.8,2010-01-19,1,"10001"
"12"," 99/01/20",23397890,1318003114,56.8,56.95,56.1,56.4,-0.350000000000001,1627,382797005,57.5,57.7,56.5,56.75,"0","0","0","0","1",2010-01-21,56.15,2010-01-20,1,"00001"
"13"," 99/01/21",13862156,776395581,56.15,56.4,55.75,55.95,-0.449999999999996,1880,1318003114,56.8,56.95,56.1,56.4,"0","0","0","0","0",2010-01-22,55.2,2010-01-21,1,"00000"
"14"," 99/01/22",29477562,1612081382,55.2,55.2,54.35,54.4,-1.55,3929,776395581,56.15,56.4,55.75,55.95,"0","0","0","0","1",2010-01-26,54.15,2010-01-22,4,"00001"
"15"," 99/01/25",12845252,695785374,53.95,54.45,53.8,54.2,-0.199999999999996,2147,1612081382,55.2,55.2,54.35,54.4,"0","0","0","0","0",2010-01-26,54.15,2010-01-25,1,"00000"
"16"," 99/01/26",26395774,1416284559,54.15,54.55,52.75,52.95,-1.25,4558,695785374,53.95,54.45,53.8,54.2,"1","1","0","0","1",2010-02-01,53.15,2010-01-26,6,"11001"
"17"," 99/01/27",14855839,787198926,52.95,53.3,52.7,52.9,-0.0500000000000043,2182,1416284559,54.15,54.55,52.75,52.95,"0","0","0","0","0",2010-02-01,53.15,2010-01-27,5,"00000"
"18"," 99/01/28",12622891,676089714,53.1,54.2,53.1,54.05,1.15,1822,787198926,52.95,53.3,52.7,52.9,"1","1","1","1","0",2010-02-01,53.15,2010-01-28,4,"11110"
"19"," 99/01/29",13799786,727944433,52.95,53.25,52.2,53,-1.05,2804,676089714,53.1,54.2,53.1,54.05,"0","0","0","0","1",2010-02-01,53.15,2010-01-29,3,"00001"
"20"," 99/02/01",19637117,1030361997,53.15,53.2,51.95,52.4,-0.600000000000001,2590,727944433,52.95,53.25,52.2,53,"1","0","0","0","1",2010-02-22,53.05,2010-02-01,21,"10001"
"21"," 99/02/02",11987878,625747966,52.95,52.95,51.6,51.85,-0.549999999999997,2350,1030361997,53.15,53.2,51.95,52.4,"0","0","0","0","0",2010-02-22,53.05,2010-02-02,20,"00000"
"22"," 99/02/03",13598236,714184048,52.1,52.8,52.05,52.75,0.899999999999999,1744,625747966,52.95,52.95,51.6,51.85,"0","0","1","1","1",2010-02-22,53.05,2010-02-03,19,"00111"
"23"," 99/02/04",5940528,312541875,52.75,52.85,52.35,52.55,-0.200000000000003,982,714184048,52.1,52.8,52.05,52.75,"1","1","0","1","0",2010-02-22,53.05,2010-02-04,18,"11010"
"24"," 99/02/05",24216962,1231585083,51.25,51.3,50.5,50.75,-1.8,5321,312541875,52.75,52.85,52.35,52.55,"0","0","0","0","1",2010-02-22,53.05,2010-02-05,17,"00001"
"25"," 99/02/06",20632533,1049372801,50.8,51.3,50.3,51.2,0.450000000000003,2283,1231585083,51.25,51.3,50.5,50.75,"0","0","1","0","0",2010-02-22,53.05,2010-02-06,16,"00100"
