"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"1",5,0.01,43,2.69176327412408,3.05749708578816,0,511
"2",5,0.02,43,2.54454353291729,2.99753146558103,0,427
"3",5,0.03,43,2.50716213807508,2.92879658167103,0,364
"4",5,0.04,43,2.35620609722476,2.75241123935968,0,317
"5",5,0.05,44,2.51381592439666,2.91014035565298,0,288
"6",5,0.06,44,2.58765424674161,2.86180010418461,0,262
"7",5,0.07,44,2.53710268500775,2.80362588519909,0,253
"8",5,0.08,45,2.69174434251427,2.96592013499402,0,243
"9",5,0.09,45,2.65331574978213,3.01812321560354,1,238
"10",5,0.1,45,2.63844003895287,3.00905371602249,1,227
"11",5,0.11,46,2.64560511601978,2.99453739332661,1,214
"12",5,0.12,46,2.61070435915898,2.97865594455783,1,201
"13",5,0.13,46,2.59347724624349,2.96796261461298,1,198
"14",5,0.14,46,2.44719926444137,2.76079448718324,1,191
"15",5,0.15,46,2.40876818265024,2.7200161336688,1,190
"16",5,0.16,46,2.41935546647306,2.71282127318064,1,188
"17",5,0.17,46,2.4237260298553,2.64352617906704,1,185
"18",5,0.18,46,2.38511949273776,2.58799981627237,1,179
"19",5,0.19,46,2.32322892800464,2.53715290491267,1,178
"20",5,0.2,46,2.31448666058017,2.52967515845446,1,175
"21",5,0.21,46,2.27682058391184,2.46984400047905,1,173
"22",5,0.22,46,2.23837153307691,2.44923991076062,2,167
"23",5,0.23,46,2.20903737094366,2.42215333430528,2,165
"24",5,0.24,44,2.16929890059082,2.35806836335614,2,159
"25",5,0.25,44,2.15485510978746,2.34911229647648,2,156
"26",5,0.26,44,2.15496702959752,2.34941966035489,2,154
"27",5,0.27,44,2.16811356854614,2.3580447289641,2,152
"28",5,0.28,44,2.15573763060882,2.32337790426279,2,152
"29",5,0.29,44,2.14454077099312,2.29908015204769,2,151
"30",5,0.3,43,2.21185874031009,2.3253641278437,2,148
"31",5,0.31,43,2.22088582295945,2.28311007822869,2,147
"32",5,0.32,43,2.22479382172627,2.28263981041366,2,145
"33",5,0.33,43,2.19638633735388,2.25931569114311,2,144
"34",5,0.34,43,2.11571898432152,2.17872808412731,2,143
"35",5,0.35,42,2.14522411631256,2.20343764512039,2,141
"36",5,0.36,42,2.05868283093926,2.16215166148198,2,137
"37",5,0.37,43,2.00035764737625,2.10398995384824,3,137
"38",5,0.38,43,1.99292860191027,2.0859471333912,3,136
"39",5,0.39,43,1.96714536639571,2.06149028035247,5,136
"40",5,0.4,43,1.9736969278257,2.0663234987881,5,136
"41",5,0.41,43,1.92245499365048,2.01368634754049,5,135
"42",5,0.42,43,1.89847932538815,1.99033207197013,5,135
"43",5,0.43,42,1.94293722517355,1.99017475436677,5,133
"44",5,0.44,42,1.91337929053462,1.96087078894707,5,133
"45",5,0.45,42,1.88633427030701,1.94781953657489,5,131
"46",5,0.46,42,1.88735538310807,1.94781595209615,5,131
"47",5,0.47,42,1.88299942575613,1.9226651495658,5,131
"48",5,0.48,42,1.82048887975484,1.86018766241318,5,128
"49",5,0.49,42,1.80592927153386,1.84825049615882,5,127
"50",5,0.5,42,1.80464703294648,1.84720342536825,5,126
"51",5.5,0.01,62,2.7117876304541,3.34379493337012,1,654
"52",5.5,0.02,62,2.75396918143669,3.39106342661722,1,555
"53",5.5,0.03,62,2.64593819735527,3.27639401022355,1,495
"54",5.5,0.04,62,2.52881771220689,3.03400594064906,1,452
"55",5.5,0.05,62,2.49658492349939,3.01305056112839,1,422
