"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"1",3.5,0.01,18,4.04904729990456,4.36630119271184,0,206
"2",3.5,0.02,18,4.44783087735377,5.31916186552874,0,174
"3",3.5,0.03,18,4.48627236859548,5.49912985846213,0,159
"4",3.5,0.04,18,4.5438825698762,5.38157051361741,0,148
"5",3.5,0.05,18,4.83109904094605,5.68007589402398,0,139
"6",3.5,0.06,18,4.73592004934383,5.51390391041332,0,132
"7",3.5,0.07,18,4.78170793905277,5.58987808651426,0,123
"8",3.5,0.08,18,4.06798127222325,4.82351059368979,0,116
"9",3.5,0.09,18,4.27778238431187,4.67027588312802,0,107
"10",3.5,0.1,18,4.3300844616814,4.79550575726181,0,101
"11",3.5,0.11,18,4.30965772221944,4.79975205220028,0,99
"12",3.5,0.12,18,4.10557185783198,4.65012366542995,0,95
"13",3.5,0.13,18,3.80349851045455,4.38948137830555,0,93
"14",3.5,0.14,18,3.84583708711775,4.45647032655658,0,93
"15",3.5,0.15,18,3.71536766859017,4.27766722238883,0,87
"16",3.5,0.16,18,3.74539244570124,4.26096109085404,0,85
"17",3.5,0.17,18,3.72623373270067,4.24010122258958,0,84
"18",3.5,0.18,18,3.54341593107954,4.14302227374212,0,82
"19",3.5,0.19,18,3.49461064945258,4.05017059287932,0,78
"20",3.5,0.2,18,3.75669906538167,4.02887436856191,0,75
"21",3.5,0.21,18,3.36015084349722,3.65445940377354,0,72
"22",3.5,0.22,18,3.39813683203533,3.67444661633153,0,70
"23",3.5,0.23,18,3.28100713651813,3.56226731132851,0,69
"24",3.5,0.24,18,3.23404859251778,3.50171887277097,0,69
"25",3.5,0.25,18,3.32243056333252,3.55141436877632,0,66
"26",3.5,0.26,18,3.37481909803898,3.61161661377819,0,66
"27",3.5,0.27,18,3.24272598888295,3.48427689211753,0,64
"28",3.5,0.28,18,3.29189569132465,3.53332732759955,0,64
"29",3.5,0.29,18,3.36083639741963,3.57738910839462,0,63
"30",3.5,0.3,18,3.33552942074104,3.56588019747495,0,63
"31",3.5,0.31,18,3.37074960372952,3.49022476191114,0,63
"32",3.5,0.32,18,3.34418097589342,3.44645134610343,0,63
"33",3.5,0.33,18,3.44248476732146,3.53318983846447,0,63
"34",3.5,0.34,18,3.44509245761299,3.53548654513288,0,62
"35",3.5,0.35,18,3.41288084642437,3.49627265129125,0,62
