"","公司代號","day_r_1","ClosePrice_r_1","type_r","day_r_1_r","ClosePrice_r_1_r","type_r_r","length","reward"
"1","2897",2011-09-06,3.5,0,2012-06-25,6.9,1,293,1.21014139444174
"2","1337",2020-03-20,3.59,0,2020-04-06,3.9,1,17,1.85400622644601
"3","1418",2015-08-27,2.74,0,2015-09-17,3.96,1,21,7.73896419881821
"4","1435",2011-11-23,3.36,0,2012-02-03,3.94,1,72,0.875082671957672
"5","1435",2012-05-28,3.45,0,2012-09-03,4.23,1,98,0.842058562555457
"6","1438",2011-11-28,3.68,0,2011-12-06,3.78,1,8,1.23980978260869
"7","1438",2012-02-01,3.52,0,2012-02-06,4.16,1,5,13.2727272727273
"8","1443",2011-09-08,3.24,0,2011-09-23,6.05,1,15,21.1039094650206
"9","1471",2015-08-25,3.6,0,2015-08-28,4.02,1,3,14.1944444444444
"10","1471",2019-10-01,3.29,0,2019-10-22,3.96,1,21,3.53958604718483
"11","1471",2019-11-19,2.95,0,2020-07-23,4.01,1,247,0.530981952926645
"12","1471",2020-08-21,3.57,0,2020-08-25,4.1,1,4,13.546918767507
"13","1512",2015-07-28,3.43,0,2015-07-31,4.09,1,3,23.4110787172012
"14","1512",2015-08-24,3.14,0,2015-09-21,3.6,1,28,1.90969062784349
"15","1512",2015-09-29,3.47,0,2015-10-13,4.38,1,14,6.8371757925072
"16","1512",2020-03-16,3.25,0,2020-05-15,4.24,1,60,1.85307692307692
"17","1512",2020-08-21,3.77,0,2020-08-25,4.55,1,4,18.8793103448276
"18","1592",2021-03-26,3,0,2021-04-27,4.49,1,32,5.66510416666667
"19","1616",2011-12-20,3.4,0,2012-02-01,4.14,1,43,1.84746922024624
"20","1616",2020-03-20,3.55,0,2020-04-10,4.06,1,21,2.49698189134809
"21","2007",2015-07-21,3.45,0,2015-10-13,4.25,1,84,1.00759144237405
"22","2007",2020-03-18,3.5,0,2020-04-10,3.91,1,23,1.85900621118012
"23","2022",2020-03-20,3.51,0,2020-04-08,4.11,1,19,3.28385065227171
"24","2028",2015-05-22,3.383333,0,2015-11-06,4.133333,1,168,0.481615107266795
"25","2028",2015-11-11,3.583333,0,2016-12-30,4,1,415,0.102269634618526
"26","2302",2011-12-20,3.319385,0,2012-01-18,4.146826,1,29,3.13743166902593
"27","2302",2012-10-29,3.511813,0,2012-11-27,3.752348,1,29,0.862068474563443
"28","2305",2012-04-03,3.39,0,2013-05-22,4.05,1,414,0.171647214740712
"29","2305",2013-06-25,3.23,0,2013-09-13,3.7,1,80,0.66389318885449
"30","2305",2013-11-05,3.46,0,2014-01-10,3.88,1,66,0.671308460325801
"31","2305",2020-03-20,3.67,0,2020-03-26,4.2,1,6,8.78519527702089
"32","2321",2019-12-09,3.766666,0,2019-12-11,4,1,2,11.3053440363441
"33","2344",2011-12-12,3.554077,0,2011-12-22,3.85025,1,10,3.04166581084203
"34","2364",2015-08-05,3.744939,0,2015-08-17,3.744939,1,12,0
"35","2364",2015-08-24,2.975708,0,2015-09-24,3.886639,1,31,3.60434488304155
"36","2364",2016-01-19,3.603238,0,2016-01-21,3.461538,1,2,-7.17694751220986
"37","2364",2016-01-22,3.319838,0,2016-02-25,3.603238,1,34,0.916424943910269
"38","2364",2016-04-06,3.380566,0,2016-04-15,3.744939,1,9,4.37126488417752
"39","2364",2016-04-25,3.441295,0,2016-07-28,3.704453,1,94,0.296933833017401
"40","2364",2016-08-08,3.623481,0,2018-04-23,4.27,1,623,0.104534614478757
"41","2364",2018-07-11,3.5,0,2018-08-02,3.99,1,22,2.32272727272727
"42","2364",2018-09-10,3.56,0,2018-12-14,3.89,1,95,0.35615020697812
"43","2364",2019-03-29,3.22,0,2020-09-18,4.23,1,539,0.212407379665587
"44","2364",2020-10-26,3.8,0,2020-10-27,4.17,1,1,35.5394736842105
"45","2364",2020-12-08,3.57,0,2021-03-25,3.61,1,107,0.0382208958349695
"46","2364",2021-04-08,3.54,0,2021-04-13,3.75,1,5,4.33050847457627
"47","2364",2021-04-26,3.3,0,2021-05-05,3.61,1,9,3.80976430976431
"48","2380",2019-11-29,3.49,0,2019-12-06,4.15,1,7,9.86082685223086
"49","2380",2020-03-16,3.48,0,2020-07-09,4.56,1,115,0.985007496251874
"50","2443",2013-04-10,3.061953,0,2013-04-18,4.106905,1,8,15.5704333149464
"51","2443",2013-05-03,3.59658,0,2013-05-07,3.888194,1,4,7.39863356299596
"52","2443",2019-05-07,3.69,0,2019-05-09,3.8,1,2,5.44037940379403
"53","2443",2019-05-21,3.47,0,2020-01-02,4.53,1,226,0.493356456096503
"54","2443",2020-03-03,3.41,0,2020-07-15,3.92,1,134,0.407383901606338
"55","2443",2020-07-27,3.32,0,2020-08-17,4.23,1,21,4.7640562248996
"56","2491",2012-09-12,3.212901,0,2014-03-05,4.26,1,539,0.220696019568174
"57","2516",2020-03-20,3.5,0,2020-03-30,3.88,1,10,3.96285714285714
"58","3024",2016-04-13,3.46,0,2016-08-04,3.83,1,113,0.345414087677119
"59","3043",2015-05-12,3.5,0,2015-06-03,3.66,1,22,0.758441558441559
"60","3043",2015-06-15,3.42,0,2015-06-18,3.93,1,3,18.1432748538012
"61","3043",2015-06-30,3.42,0,2017-04-13,3.42,1,653,0
"62","3043",2017-04-14,3.08,0,2020-07-23,4.19,1,1196,0.10998512357208
"63","3043",2020-07-29,3.75,0,2020-08-04,4.01,1,6,4.21777777777777
"64","3043",2021-02-19,3.85,0,2021-02-22,4.23,1,3,12.008658008658
"65","3046",2017-08-22,3.7,0,2017-09-12,4.16,1,21,2.16087516087516
"66","3051",2011-09-06,1.54,0,2013-05-08,3.7,1,610,0.839259101554183
"67","3051",2013-05-13,3.74,0,2013-05-15,4.28,1,2,26.3502673796791
"68","3051",2016-11-09,3.07,0,2016-11-29,3.71,1,20,3.80456026058632
"69","3051",2017-08-15,3.8,0,2017-08-16,3.94,1,1,13.4473684210526
"70","3051",2018-04-11,3.45,0,2018-06-04,4.21,1,54,1.48899624261943
"71","3051",2018-07-03,3.5,0,2018-08-10,3.72,1,38,0.603759398496241
"72","3051",2018-09-11,3.43,0,2019-03-12,4.13,1,182,0.409284592958062
"73","3051",2019-04-02,3.44,0,2019-04-23,3.75,1,21,1.56630675526024
"74","3051",2019-05-15,3.44,0,2020-02-27,3.98,1,288,0.198946220930233
"75","3051",2020-03-16,3.34,0,2020-05-29,3.84,1,74,0.73838808868749
"76","3051",2020-07-08,3.66,0,2020-07-10,3.88,1,2,10.9699453551912
"77","3138",2012-08-14,3.529411,0,2012-08-29,4.705882,1,15,8.1111157074084
"78","3338",2011-09-06,3.008281,0,2013-03-13,20.053738,1,554,3.73313201703183
"79","3383",2020-08-20,3.18,0,2020-09-09,3.99,1,20,4.64858490566038
"80","3383",2021-01-27,3.38,0,2021-02-23,3.76,1,27,1.51983344291037
"81","3494",2020-03-17,3.21,0,2020-07-08,4.52,1,113,1.31819810878615
"82","3494",2021-05-24,3.33,0,2021-07-05,3.89,1,42,1.46146146146146
"83","3536",2019-11-22,3.2,0,2020-01-02,4,1,41,2.22560975609756
"84","3536",2020-03-19,2.89,0,2020-09-02,4.12,1,167,0.930215693181112
"85","3686",2020-03-17,3.29,0,2020-04-16,3.66,1,30,1.36828774062817
"86","3686",2020-04-22,3.38,0,2020-04-29,4.07,1,7,10.6445477599324
"87","4426",2011-11-24,3.497605,0,2011-12-06,3.735997,1,12,2.0731586328359
"88","4989",2014-01-09,3.47,0,2014-01-13,3.8,1,4,8.6779538904899
"89","4989",2014-01-15,3.47,0,2014-02-13,4,1,29,1.92238894961741
"90","4989",2014-04-18,3.46,0,2014-07-08,4.35,1,81,1.15910226218511
"91","4989",2014-07-14,3.1,0,2014-07-25,4.1,1,11,10.7038123167155
"92","4989",2014-08-18,4.2,0,2014-08-19,4.34,1,1,12.1666666666666
"93","4989",2014-08-25,2.81,0,2017-06-27,31.610001,1,1037,3.60744975583139
"94","6116",2011-10-05,3.336322,0,2012-02-02,4.233183,1,120,0.817652555218991
"95","6116",2012-07-25,3.408071,0,2013-03-07,4.026905,1,225,0.294561429813718
"96","6116",2015-08-10,3.41,0,2015-08-31,3.8,1,21,1.9878508588186
"97","6116",2015-11-26,3.55,0,2015-11-30,3.94,1,4,10.0246478873239
"98","6116",2016-05-12,3.38,0,2016-05-30,3.86,1,18,2.87968441814596
"99","6289",2015-08-03,3.4,0,2015-10-21,4.433333,1,79,1.4041941362621
"100","6289",2015-11-25,3.366666,0,2015-12-01,3.666666,1,6,5.42079315263231
"101","6289",2015-12-04,3.7,0,2015-12-08,3.9,1,4,4.93243243243243
"102","6289",2016-02-15,3.4,0,2016-03-09,4.266666,1,23,4.04518017902813
"103","6289",2016-04-27,3.533333,0,2016-07-01,3.8,1,65,0.423803182216556
"104","6289",2018-12-21,3.566666,0,2018-12-28,4,1,7,6.33512441511004
"105","6289",2019-01-21,3.7,0,2019-01-23,4.466666,1,2,37.8152824324324
"106","6289",2019-03-05,3.6,0,2020-09-14,4.48,1,559,0.159610415424369
"107","6289",2020-11-13,3.58,0,2020-11-20,3.67,1,7,1.31085395051875
"108","6289",2020-11-26,3.54,0,2020-12-23,3.58,1,27,0.152751621678175
"109","6289",2020-12-25,3.36,0,2021-01-08,4.2,1,14,6.51785714285715
"110","6289",2021-01-21,3.12,0,2021-04-26,3.89,1,95,0.948211875843455
"111","8101",2018-10-12,3.3,0,2019-11-21,3.85,1,405,0.150205761316873
"112","8101",2019-11-25,3.38,0,2019-12-06,3.91,1,11,5.20306616460463
"113","8101",2020-03-20,3.83,0,2020-03-23,3.95,1,3,3.81201044386423
"114","8101",2020-05-25,3.32,0,2020-05-28,3.9,1,3,21.2550200803213
"115","8101",2020-08-21,3.37,0,2020-09-08,4.52,1,18,6.9197164523574
"116","9928",2020-04-22,3.27,0,2020-05-21,3.45,1,29,0.692818728250554
"117","9928",2020-05-22,3.45,0,2020-07-16,3.62,1,55,0.327009222661396
"118","9928",2020-08-04,3.36,0,2020-08-11,4.31,1,7,14.7427721088435
