"","公司代號","year","股東配發s盈餘分配之現金股利元股"
"1","1101",101,1.9
"2","1102",101,1.7
"3","1103",101,0
"4","1104",101,0.75
"5","1108",101,0
"6","1109",101,0.38
"7","1110",101,0.1
"8","1201",101,0.6
"9","1203",101,0.3
"10","1210",101,1.2
"11","1213",101,0
"12","1215",101,0.8
"13","1216",101,1.4
"14","1217",101,0
"15","1218",101,0
"16","1219",101,0.1
"17","1220",101,0.35
"18","1225",101,0.2
"19","1227",101,2
"20","1229",101,1
"21","1231",101,1.2
"22","1232",101,2.8
"23","1233",101,2.3
"24","1234",101,2.5
"25","1235",101,0
"26","1236",101,0.7
"27","1256",101,2
"28","1301",101,1.2
"29","1303",101,0.3
"30","1304",101,1
"31","1305",101,0.4
"32","1307",101,1.4
"33","1308",101,1
"34","1309",101,0
"35","1310",101,0
"36","1312",101,1
"37","1312A",101,1.6
"38","1313",101,0.8
"39","1314",101,0.5
"40","1315",101,1
"41","1316",101,0
"42","1319",101,0.35
"43","1321",101,0
"44","1323",101,0.7
"45","1324",101,0.4
"46","1325",101,0.45
"47","1326",101,0.65
"48","1337",101,3.6
"49","1338",101,1.5
"50","1339",101,1.5
"51","1340",101,0
"52","1402",101,1.3
"53","1409",101,0.3
"54","1410",101,1.2
"55","1413",101,0
"56","1414",101,0.38
"57","1416",101,1
"58","1417",101,0.5
"59","1418",101,0
"60","1419",101,0.5
"61","1423",101,0
"62","1432",101,0
"63","1434",101,1
"64","1435",101,0
"65","1436",101,0
"66","1437",101,0
"67","1438",101,0
"68","1439",101,0.5
"69","1440",101,0.15
"70","1441",101,0.1
"71","1442",101,1.2
"72","1443",101,0
"73","1444",101,0.6
"74","1445",101,0.3
"75","1446",101,0.3
"76","1447",101,0
"77","1449",101,0
"78","1451",101,1.3
"79","1452",101,0.5
"80","1453",101,0
"81","1454",101,0.2
"82","1455",101,0
"83","1456",101,0
"84","1457",101,0
"85","1459",101,0
"86","1460",101,0
"87","1463",101,0
"88","1464",101,0.2
"89","1465",101,1
"90","1466",101,1
"91","1467",101,0.4
"92","1468",101,0
"93","1469",101,0
"94","1470",101,0
"95","1471",101,0
"96","1472",101,0
"97","1473",101,1
"98","1474",101,0
"99","1475",101,0
"100","1476",101,5
"101","1477",101,6.2
"102","1503",101,1
"103","1504",101,1
"104","1506",101,0
"105","1507",101,2.3
"106","1512",101,0
"107","1513",101,1
"108","1514",101,0.5
"109","1515",101,0
"110","1516",101,0
"111","1517",101,0.7
"112","1519",101,0.15
"113","1521",101,3.5
"114","1522",101,0
"115","1524",101,0
"116","1525",101,1.6
"117","1526",101,0
