"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","董監酬勞(元)","員工紅利-現金紅利金額(元)","員工紅利-股票紅利金額(元)","員工紅利-股票紅利股數(股)","員工紅利-股票紅利股數佔盈餘轉增資之比例(%)","有無全數分派員工股票紅利而股東未配發股票股利之情事","股東會對於員工紅利及董監酬勞之決議情形與原董事會通過擬議內容之差異原因及合理性","摘錄公司章程-股利分派部分","備註",
"1101 - 台泥","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/20","      3,433,265,532","     10,026,730,397","     22,485,540,706","     13,993,536,207","2.30000000","0.0","      8,492,004,499","0.0","0.0","                  0","         86,385,293","         60,139,567","                  0","                  0","0.00000","無","","本公司每年決算所得純益，除依法提繳所得稅，彌補歷年虧損，並提撥稅後純益百分之十為法定盈餘公積，加計上年度保留盈餘，必要時得依相關法令規定提撥特別盈餘公積或酌予保留盈餘後，就其餘額再予分派，分派比率如下：
1.員工紅利萬分之一至百分之三。
2.董事監察人酬勞百分之零點五至百分之一。
3.普通股股利以前二款之餘額依本條第二項之股利政策由董事會擬訂盈餘分派案提請股東會決議。
本公司除從事資本密集、較為成熟穩定之水泥及水泥製品產銷外，並積極朝向多角化經營。為配合多元化發展投資需要或重大之資本預算規劃，訂定現金股利支付比率為普通股股利之百分之二十以上，餘額配發股票股利。","",
"1102 - 亞泥","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/16","      6,605,257,514","      6,805,829,676","     19,411,747,963","     12,820,675,025","1.80000000","0.0","      5,931,965,648","0.20000000","0.0","         65,910,729","        212,615,256","        283,487,008","                  0","                  0","0.00000","無","","本公司股利應參酌所營事業景氣變化之特性，考量各項產品或服務所處生命週期對未來資金之需求與稅制之影響，在維持穩定股利之目標下，依本公司章程所訂比例分配之。股利之發放，其現金股利部分不低於當年度股息及股東紅利總和之百分之十。
本公司每年決算如有盈餘，於依法繳納營利事業所得稅後，應先彌補歷年虧損，如尚有盈餘，於提列法定盈餘公積百分之十，並按法令規定提列特別盈餘公積後，再將其餘額連同上年度累積未分配盈餘，作為可供分配之盈餘，惟得視業務狀況酌予保留一部分後，按後列百分比分配之：
一、股息百分之六十，按全部股份平均分派。但遇增加資本時，除法令另有規定外，其當年度新增股份應分派之股息，依照股東會之決議辦理。
二、股東紅利百分之三十三，按全部股份平均分派。但遇增加資本時，其當年度新增股份應分派之紅利，依照股東會之決議辦理。
三、董事、監察人酬勞金百分之三。
四、員工紅利百分之四。","",
"1103 - 嘉泥","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/18","      2,978,928,766","      1,272,068,300","      4,861,657,506","      4,084,828,958","1.00000000","0.0","        776,828,548","0.0","0.0","                  0","         15,964,000","         13,500,000","                  0","                  0","","無","","本公司每年決算如有當期稅後盈餘，除依法彌補虧損、提列法定盈餘公積外，另依法令規定
提列及迴轉特別盈餘公積，並連同當期未分配盈餘調整數額，作為當期可供分派盈餘，於
不逾百分之三撥付董事酬勞金與萬分之一至百分之三之範圍內撥付員工紅利後，加計前期
未分配盈餘後，由董事會依據本條第二項及第三項股利政策擬定盈餘分派案，提請股東會
決議。
本公司採剩餘股利政策，於考量未來年度之資本支出預算及資金需求情形，並於依前項規定
撥付董事酬勞及員工紅利後，得保留相當之數額；保留後如有餘額，再行分派股東紅利。
本公司股東紅利之分派，每年以現金分派之數額，為當年度股東紅利分派總額之百分之十
以上，餘額配發股票股利。","",
"1104 - 環泥","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/11","      1,365,783,634","      1,113,121,298","      2,399,241,391","      1,734,960,294","0.90000000","0.0","        543,502,717","0.20000000","0.0","         12,077,838","         21,200,461","         21,200,461","                  0","                  0","0.00000","無","","本公司每年決算後所得純益除依法扣繳應納稅捐外，先彌補以往年度虧損，並提存百分之十法定盈餘公積，及於必要時依法令規定提撥特別盈餘公積或酌予保留盈餘後，依下例百分比分派之：
(1)董事監察人酬勞金百分之三，其分派辦法由董事會決定。
(2)員工紅利百分之三，如遇公司以分派紅利轉作資本時得以股票發放之。
(3)股東紅利百分之九十四。
公司應分派紅利之全部或一部，得依公司法規定以發行新股方式為之。","",
"1108 - 幸福","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/17","         30,673,332","        179,444,343","        245,909,434","         63,777,312","0.45000000","0.0","        182,132,122","0.0","0.0","                  0","          8,074,995","          4,844,997","                  0","                  0","0.00000","無","","第三十條 本公司所處之產業環境雖已屆成熟期，惟配合政府擴大內需之經濟政策及民間建設工程之需要，仍有穩定發展空間。
為考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年度決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十為法定盈餘公積及就當年度發生之股東權益減項金額提列特別盈餘公積，且應再提撥員工紅利百分之三及董監事酬勞百分之五後，其餘額連同上一年度累積未分配餘提撥百分之四十至八十，如以上限百分之八十計算後每股分配之股利金額仍未滿新台幣一角者，得予保留不分配，餘由董事會擬定分配議案，提請股東會承認之。
前項盈餘提撥分派之比率及股票現金之比率得由董事會視當年度實際獲利及資金狀況，並考量投資資金需求及對每股盈餘之稀釋程度，適度採現金股利或股票股利方式發放。但配發股票股利以不超過已發行股本百分之二十為限。如有前一年度累積或當年度發生但當年度稅後盈餘不足提列之股東權益減項，應自前一年度累積未分配盈餘提列相同數額之特別盈餘公積，並於提撥供分派前先行扣除。","",
"1109 - 信大","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/12","        291,920,510","        274,531,610","        599,951,971","         94,751,059","1.20000000","0.0","        505,200,912","0.0","0.0","                  0","          9,883,138","          4,941,569","                  0","                  0","0.00000","無","","本公司係屬成熟期產業，有關股利之分配數額，以當年度可供分配盈餘之百分之五十以上
及其中現金股利占百分之五十以上為原則。惟若基於未來公司發展之資本支出或財務規劃等
實際需要，得經股東會決議調整之。","",
"1110 - 東泥","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/27","         10,061,432","        146,034,045","        140,692,885","         26,292,726","0.20000000","0.0","        114,400,159","0.0","0.0","                  0","          3,575,005","          1,191,668","                  0","                  0","0.00000","無","","本公司年度結算如有盈餘，除依法完納稅捐及彌補已往年度虧損外，先提百分之十為法定盈餘公積，必要時得提列特別盈餘公積及保留盈餘，如尚有餘額，就其餘額加計以前年度未分配盈餘，由董事會擬具分配案提請股東會決議分配之，其中：
１．董事、監察人酬勞百分之三。
２．員工紅利百分之一。
３．股東紅利百分之九十六。
本公司股利，應參酌所營事業景氣變化之特性，考量各項產品或服務所處生命週期對未來資金之需求與長期財務規劃，在維持穩定股利之目標下，依前項所定比例分配之。分配股東紅利全數以配發現金股利為原則，但若公司有產能擴充、改善財務結構、重大投資計劃等資金需求時，則以百分之五十以上為股票股利，其餘為現金股利。","",
"1201 - 味全","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/26","      2,256,967,628","        872,887,253","      2,671,524,820","      2,367,887,072","0.60000000","0.0","        303,637,748","0.0","0.0","                  0","                  0","                  0","                  0","                  0","0.00000","無","","本公司為一穩定成長之傳統精緻產業，每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及依法提列或迴轉特別盈餘公積，其餘先派付股息，股息定為年息百分之六，但不得以本付息；如尚有盈餘，連同上一年度累積未分配盈餘，經股東會決議，提存特別盈餘公積金或酌予保留盈餘，餘以下列方式分派之：
一、股東紅利百分之八十五。
二、董事、監察人酬勞金百分之五。
三、員工紅利百分之十。
惟股東之股息與紅利之發放，其現金比率不得低於二○％。","",
"1203 - 味王","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/26","         62,723,304","        263,475,328","        491,802,743","        251,802,743","1.00000000","0.0","        240,000,000","0.0","0.0","                  0","         12,903,226","          5,161,290","                  0","                  0","0.00000","無","","本公司所處產業環境多變，企業生命週期正值穩定成長階段，考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及依證券交易法規定應提列之特別盈餘公積，如尚有餘，連同上一年度累積未分配盈餘提撥百分之五十以上按下列方式分派之，惟此項盈餘提供分派之比率及股東現金股利之比率，得視當年度實際獲利及資金狀況，經董事會決議通過後報股東會決議調整之：
一、員工紅利百分之二。
二、董事、監察人酬勞金百分之五。
三、股東股利百分之九十三，其中現金股利不得低於股利總數之百分之十，但現金股利每股若低於0.2元得不予發放，得改以股票股利發放。","",
"1210 - 大成","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/06/04","        981,084,567","      1,795,695,465","      2,606,865,241","        341,036,370","1.00000000","0.0","        566,457,220","3.00000000","0.0","        169,937,165","         15,000,000","         15,000,000","                  0","                  0","0.00000","無","","無","",
"1213 - 大飲","股東會確認","102年 年度","102/01/01~102/12/31","1","0","103/05/20","         47,005,047","         16,434,526","         63,424,573","         63,424,573","0.0","0.0","                  0","0.0","0.0","                  0","                  0","                  0","                  0","                  0","0.00000","無","","本公司每年決算如有盈虧，除儘先彌補以往年度虧損外，應於完納稅捐以後先提百分之十法定盈餘公積，次付股息，如尚有餘額其不低於百分一做為員工紅利，另董監事獎勵金不低於百分之五，其餘由董事擬具方案提請股東會決議分配之。","",
