公司代號名稱,決議（擬議）進度,股利所屬年(季)度,股利所屬期間,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),摘錄公司章程-股利分派部分,備註
1102 - 亞泥,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/08,111/06/29,"13,390,084,156","15,068,221,201","26,793,400,946","14,738,455,905",3.4,0,0,"12,054,945,041",0,0,0,0,"本公司每年決算如有盈餘，於依法繳納營利事
業所得稅後，應先彌補歷年虧損，如尚有盈
餘，再以本期稅後淨利加計本期稅後淨利以外
項目計入當年度未分配盈餘之數額提列法定盈
餘公積百分之十，並依法令規定提列特別盈餘
公積後，連同上年度累積未分配盈餘，作為可
供分配之盈餘，惟得視業務狀況酌予保留一部
分後，按全部股份平均分派股東紅利，但遇增
加資本時，其當年度新增股份應分派之紅利，
依照股東會之決議辦理。
本公司股利應參酌所營事業景氣變化之特性，
考量各項產品或服務所處生命週期對未來資金
之需求與稅制之影響，在維持股利穩定之目標
下分派之。股利之發放，除有改善財務結構及
支應轉投資、產能擴充或其他重大資本支出等
資金需求外，不低於當年度稅後淨利扣除彌補
虧損金額、法定盈餘公積及特別盈餘公積後餘
額之百分之五十，其現金股利部分不低於當年
度股東紅利之百分之十。","1.如因除息基準日前依證交法第28條之2及
其他法令規定，而影響流通在外股數時，擬
由本次董事會授權董事長依本次盈餘分配案
決議之現金股利之金額，按除息基準日實際
流通在外股數，調整股東配息率。
2.擬由本次董事會授權董事長於股東常會
通過後，另訂定除息基準日分配之。"
1104 - 環泥,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/28,111/06/14,"5,003,945,573","1,088,078,375","5,983,216,110","5,329,606,918",1,0,0,"653,609,192",0,0,0,0,"本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提 10%為法定盈餘公積
，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴
轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提
請股東會決議分派股東股息紅利。
本公司所處傳統產業環境正值穩定期，高科技產業環境正值萌芽期，考量本公司未來資
金需求及長期財務規劃，股東紅利之分派原則全數採用現金股利發放，但遇有資金較大
需求之年度時，得採股票股利與現金股利二種方式配合發放，其中股票股利所占比率不
高於股東紅利總額百分之五十。
前項股利分派比率，得視公司年度獲利情形及資金需求，經股東會決議調整之。",無
1108 - 幸福,董事會擬議,110年 下半年,110/07/01~110/12/31,1,111/03/30,111/06/30,"97,024,633","277,199,920","345,731,776","102,888,947",0.6,0,0,"242,842,829",0,0,0,0,"為考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年度決算後如有當期淨利，除彌補虧損外，應先提撥百分之十為法定盈餘公積及就當年度發生之帳列其他股東權益減項淨額提列特別盈餘公積，其餘額連同上一年度累積未分配盈餘及當年度未分配盈餘調整數額合計數提撥百分之四十至八十，如以上限百分之八十計算後每股分配之股利金額仍未滿新台幣一角者，得予保留不分配，餘由董事會擬定分配議案，提請股東會承認之。
前項盈餘提撥分派之比率及股票現金之比率得由董事會視當年度實際獲利及資金狀況，並考量投資資金需求及對每股盈餘之稀釋程度，適度採現金股利或股票股利方式發放。但配發股票股利以不超過已發行股本百分之二十為限。
本公司於分派可分配盈餘時，除依第二項規定計算外，如有當年度轉入之保留盈餘或當年度稅後盈餘不足提列之其他股東權益減項金額，仍應依法令之規定自轉入之保留盈餘或上一年度累積未分配盈餘提列或補列特別盈餘公積後，始得分派盈餘。",無
1108 - 幸福,董事會決議,110年 上半年,110/01/01~110/06/30,1,110/11/12,不適用,"97,024,633","133,981,785","244,166,627","244,166,627",0,0,0,0,0,0,0,0,"第二十九條  本公司會計年度自一月一日起至十二月三十一日止。每屆會計年度終了應辦理決算，年度決算後由董事會依照公司法規定造具各項表冊於股東常會開會三十日前交審計委員會查核，並由審計委員會出具報告書提請股東常會承認。
本公司盈餘分派或虧損撥補得於每半會計年度或會計年度終了後為之。
本公司盈餘分派或虧損撥補之議案，應連同營業報告書及財務報表交審計委員會查核後，提董事會決議之。
本公司依前項規定分派盈餘時，應先預估並保留應納稅捐、依法彌補虧損及提列法定盈餘公積。但法定盈餘公積，已達實收資本額時，不在此限。
本公司依第三項規定分派盈餘而以發行新股方式為之時，應依公司法第二百四十條規定辦理；發放現金者，授權董事會以三分之二以上董事之出席，及出席董事過半數之決議為之，並報告股東會。
本公司依前四項規定分派盈餘或撥補虧損時，應依經會計師查核或核閱之財務報表為之。
第三十條之一  為考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年度決算後如有當期淨利，除彌補虧損外，應先提撥百分之十為法定盈餘公積及就當年度發生之帳列其他股東權益減項淨額提列特別盈餘公積，其餘額連同上一年度累積未分配盈餘及當年度未分配盈餘調整數額合計數提撥百分之四十至八十，如以上限百分之八十計算後每股分配之股利金額仍未滿新台幣一角者，得予保留不分配，餘由董事會擬定分配議案，提請股東會承認之。
前項盈餘提撥分派之比率及股票現金之比率得由董事會視當年度實際獲利及資金狀況，並考量投資資金需求及對每股盈餘之稀釋程度，適度採現金股利或股票股利方式發放。但配發股票股利以不超過已發行股本百分之二十為限。
本公司於分派可分配盈餘時，除依第二項規定計算外，如有當年度轉入之保留盈餘或當年度稅後盈餘不足提列之其他股東權益減項金額，仍應依法令之規定自轉入之保留盈餘或上一年度累積未分配盈餘提列或補列特別盈餘公積後，始得分派盈餘。",無
1109 - 信大,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/30,111/06/22,"2,014,420,295","862,861,144","2,772,956,682","2,260,019,880",1.5,0,0,"512,936,802",0,0,0,0,本公司係屬成熟期產業，有關股利之分派，除有未來公司發展之資本支出或財務規劃等實際需要外，其現金股利部分以不低於當年度股東紅利之百分之十為原則。,無。
1110 - 東泥,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/15,111/06/28,"169,392,565","139,985,041","295,602,449","181,202,290",0.2,0,0,"114,400,159",0,0,0,0,"本公司年度總決算如有盈餘，應先繳納稅捐、
彌補以往虧損，次提百分之十為法定盈餘公
積，直至法定盈餘公積已達本公司資本總額時
為止，及依主管機關規定提列或迴轉特別盈餘
公積後，其餘額併同以前年度累積未分配盈餘
暨本年度未分配盈餘調整數後，作為可供分配
之盈餘，由董事會擬具盈餘分配案，提請股東
會決議後分派股東紅利。
本公司股利，應參酌所營事業景氣變化之特
性，考量各項產品或服務所處生命週期對未來
資金之需求與長期財務規劃，在維持穩定股利
之目標下，分配股東紅利全數以配發現金股利
為原則，但若公司有產能擴充、改善財務結
構、重大投資計劃等資金需求時，則以百分之
五十以上為股票股利，其餘為現金股利。",無
1201 - 味全,董事會決議,110年 年度,110/01/01~110/12/31,1,111/03/23,不適用,"746,366,814","507,002,324","1,161,101,363","907,563,843",0.501,0,0,"253,537,520",0,0,0,0,"本公司為傳統精緻產業，每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十為法定盈餘公積，其次再依法提撥或迴轉特別盈餘公積後，如尚有盈餘，連同上一年度累積未分派盈餘，由董事會擬具盈餘分派或保留盈餘議案，提請股東會決議。股利之分派，以各股東持有股份之比例為準。
本公司應考量配合投資發展、評估投資環境並兼顧股東利益，每年以不低於當期淨利百分之五十分派股東股利。惟每年本期淨利低於實收資本總額百分之五時，得不分派；分派股東股利時，以現金或股票方式為之，其中現金股利不得低於股利總數之百分之五十。
本公司董事會得以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股利之全部或一部，以發放現金之方式為之，並報告股東會。",無
1203 - 味王,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/30,111/06/22,"814,792,350","447,877,475","1,196,507,860","932,507,860",1.1,0,0,"264,000,000",0,0,0,0,本公司所處產業環境多變，企業生命週期正值穩定成長階段，考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及依證券交易法規定應提列之特別盈餘公積，如尚有餘，得視當年度實際獲利及資金情況，經董事會決議通過後報股東會決議分派股東紅利。,無
1210 - 大成,現金股利經董事會決議、增資配股經董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/25,111/06/17,"2,241,532,442","1,869,385,064","3,926,256,969","2,221,938,450",1.5,0,0,"1,278,238,889",0.5,0,0,"42,607,963","本公司年度總決算如有盈餘，應先提繳稅款、彌補歷年累積虧損，次提
10%為法定盈餘公積，並依法令或主管機關規定提撥或迴轉特別盈餘公
積，如尚有盈餘，其餘額再加計以前年度累積未分配盈餘由董事會擬具
分派議案，以發行新股方式為之時，應提請股東會決議後分派之。本公
司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事
之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二
百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發
放現金之方式為之，並報告股東會。惟此項盈餘提供分派之比率及股東
現金股利之比率，得視當年度實際獲利及資金狀況，經股東會決議調整
之。股東股利:其中現金股利不得低於股利總數之百分之十，但現金股利
每股若低於 0.1 元則不予發放，改以股票股利發放。如有前一年度累積
或當年度發生但當年度稅後盈餘不足提列之股東權益減項，應自前一年
度累積未分配盈餘提列相同數額之特別盈餘公積，並於提撥供分派前先
行扣除。",無
1213 - 大飲,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/15,111/06/01,"-107,160,596","-94,436,408","-201,597,004","-201,597,004",0,0,0,0,0,0,0,0,"本公司每年決算如有盈虧，除儘先彌補以往年
度虧損外，應於完納稅捐以後先提百分之十法
定盈餘公積，但法定盈餘公積已達公司資本總
額時，不在此限。
另依相關法令規定提列或迴轉特別盈餘公積
後，將其餘額加計以前年度累積未分配盈餘，
由董事會視實際需要保留全部或部分盈餘擬具
分配議案，提請股東會決議分配之。
本公司屬傳統產業，企業生命週期已進入「成
熟期」較適合採取穩定之股利政策，未來三年
之股利率預計在2％~5％之間，若當年度無重
大擴充計劃，擬以配發股票股利為原則。",無
