"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","董監酬勞(元)","員工紅利-現金紅利金額(元)","員工紅利-股票紅利金額(元)","員工紅利-股票紅利股數(股)","員工紅利-股票紅利股數佔盈餘轉增資之比例(%)","有無全數分派員工股票紅利而股東未配發股票股利之情事","股東會對於員工紅利及董監酬勞之決議情形與原董事會通過擬議內容之差異原因及合理性","摘錄公司章程-股利分派部分","備註",
"1258 - 其祥-KY","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/22","        116,077,433","         92,872,247","        213,653,829","        169,453,829","1.30000000","0.0","         44,200,000","0.0","0.0","                  0","                  0","                  0","                  0","                  0","0.00000","無","","36.1	於不違反開曼公司法、本章程第13.4條及本條規定，且除任一股份所附之權利另有規定外，公司得依董事會決議通過，並經股東常會普通決議通過之盈餘分派議案分派盈餘。如有盈餘，於擬訂該盈餘分派議案時，董事會應就每會計年度提撥盈餘作為：(i)支付相關會計年度之稅捐；(ii)彌補歷年虧損；(iii)主管機關依公開發行公司規則要求提撥之特別盈餘公積。公司營運之業務係屬成熟穩定產業且目前正處成長期而有資金需求，在不違反開曼公司法之情形下，於合併歷年累積未分配盈餘而由董事會依本章程第36.5條規定，於每會計年度為發展目的而提撥適宜之特定數額作為準備金後，剩餘數額經股東同意後依下列次序及方式分派之：
(1)員工紅利不高於3%；
(2)董事酬勞不高於3%；及
(3)餘額分派股東股利，其分派之金額以不低於當年度稅後盈餘扣除應提列公積金、員工紅利及董事酬勞後之10%。
股東股利及員工紅利之分配依董事會決定得以現金或股票方式或現金搭配股票方式分配。分派股東之現金股利不少於股東股利總額之10%，惟現金股利發放比例得視當年度實際獲利及營運狀況調整之，員工紅利以股票方式分配時，符合一定條件之從屬公司員工得受股票紅利及現金紅利之分配。公司就未分派之股息及紅利概不支付利息。","",
"1259 - 安心","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/09","        241,879,082","         92,705,100","        325,438,187","        250,942,337","2.30000000","0.0","         74,495,850","0.0","0.0","                  0","          3,337,383","          1,668,692","                  0","                  0","0.00000","無","","本公司每年度決算所得盈餘，依下列順序分派之。
一.提繳稅捐。
二.彌補虧損。
三.提存百分之十為法定盈餘公積。
四.依主管機關之規定提列或轉回特別盈餘公積。
五.董事、監察人酬勞金依一至四款規定數額後剩餘之數提撥百分之三~五。
六.員工紅利依一至四款規定數額後剩餘之數提撥百分之二以下，不得為零。如員工紅利分配股票紅利時，對象得包括符合一定條件之從屬公司員工，其一定條件及分配比例，由董事會決定之。
七.餘額則視公司所處環境、成長階段、未來重大投資計劃之資金需求及長期財務規劃酌予保留部份盈餘，就其餘額併同以前年度累積未分配盈餘，由董事會視當年度資金狀況及經濟發展，分配股東紅利，其中現金股利發放總額不低於發放股東股利總額之百分之十，並由董事會提請股東會決議後行之。","",
"1264 - 德麥","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/05/27","        442,928,334","        319,780,605","        730,285,521","        423,958,521","10.00000000","0.0","        306,327,000","0.0","0.0","                  0","          5,026,823","         12,216,365","                  0","                  0","0.00000","無","","本公司年度總決算如有盈餘，除依法繳納一切稅捐外，應先彌補以往年度虧損，次提百分之十為法定盈餘公積，及按證交法規定提列特別盈餘公積，如尚有餘額得連同以前年度累積未分配盈餘依下列項目及比率提撥：
 (一)員工分紅為百分之二至百分之十。(若部份員工紅利以股票發放時，依主管機關規定之公平價值計算配發紅利股數)。員工紅利以股票發放時，分配對象得包括符合一定條件之從屬公司員工，該一定條件授權董事會訂定之。
 (二)董監酬勞不高於百分之二。
 (三)餘額由董事會依本公司股利政策擬具分配方案。
本公司正值成長階段，基於公司營運之需要暨股東權益最大化之考量，股利分配採剩餘股利政策，依本公司未來之資本預算規劃，衡量未來年度之資金需求，並綜合考量獲利狀況財務結構及每年盈餘稀釋程度等因素將當年度可分配盈餘提撥百分之二十以上分派股東紅利，股東紅利之分派得以現金或股票方式發放，其中現金股利之發放以不低於當年度全部股利之百分之二十。","",
"1336 - 台翰","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/15","          4,642,177","        -39,751,812","        -35,091,760","        -35,091,760","0.0","0.0","                  0","0.0","0.0","                  0","                  0","                  0","                  0","                  0","0.00000","無","","第二十條：本公司股利政策採穩健平衡原則，並參酌獲利狀況、財務結構及公司未來發展等因素，就當年度所分配之股利中提撥至少百分之二十發放現金股利。員工紅利如以股票方式發放，本公司之從屬公司之員工符合一定條件時，亦得分配之，其一定條件授權董事長訂定之。
第廿一條：本公司每年決算後所得純益，除依法繳納所得稅外，應先彌補以往年度虧損，次就其餘額提存百分之十為法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限。另依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，應先提全體員工紅利不低於百分之一，董事監察人酬勞不高於百分之三後，其餘併同以前年度累積未分配盈餘，再由董事會擬具分派議案，提請股東會決議分派之。","",
"1565 - 精華","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/09","        974,769,579","      1,573,071,263","      2,403,161,200","      1,200,727,293","23.85000000","0.0","      1,202,433,907","0.0","0.0","                  0","         10,000,000","        130,000,000","                  0","                  0","0.00000","無","","第廿四條：本公司每年度決算如有盈餘時，應依法提撥應納營利事業所得稅、彌補歷年虧損，如尚有餘額應依法提列法定盈餘公積百分之十後，再就其餘額，加計上年度累積未分配盈餘數，為累積可分配盈餘，由董事會擬具分派議案，提請股東會決議分派之，其中應分派董監酬勞不高於百分之三及員工紅利不低於百分之七點五。
第廿五條：本公司將考量公司所處環境及成長階段，因應未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，就第廿四條可分配盈餘提撥百分之五十以上分派股東股利，其中現金股利不得低於股利總額之百分之十。","",
"1569 - 濱川","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/22","        357,859,103","        -66,129,607","        292,042,340","        292,042,340","0.0","0.0","                  0","0.0","0.0","                  0","                  0","                  0","                  0","                  0","","無","","本公司章程規定，每年度決算之盈餘，應先提繳稅款，彌補以前年度虧損後，依下列順序分配之:
1.提列百分之十為法定盈餘公積，直至其餘額達實收股本為止。
2.依法令規定提列或迴轉特別盈餘公積。
3.董事及監察人酬勞係依1至2規定數額扣除後剩餘之數提撥3%以下。
4.員工紅利係依1至2規定數額扣除後剩餘之數提撥1%~10%。
5.其餘加計期初未分配盈餘後由董事會擬定盈餘分派案，按股份總數比例分派之，惟股利分配數額
不得低於當年度利潤依1至2規定數額扣除後剩餘數額之25%。
另員工分配股票紅利之對象，得包括符合一定條件之從屬公司員工，相關辦法授權董事會制定之。
依公司法規定，法定公積得用以彌補虧損，當該項公積已達股本總額之百分之五十時，得用以撥充
股本，惟以撥充其半數為限。
股利政策
本公司正處於企業成長階段，為考量公司財務結構及因應未來預計資本支出之需要，本公司股利政
策係以部分分派股票股利及部分分派現金股利，其中現金股利百分之二十至百分之百，股票股利零
至百分之八十。惟為維持公司每股獲利水準，考量股票股利對公司營業績效之影響，如股利發放年
度之每股盈餘較前一年度衰退達百分之二十以上者，或得視資金情形，調整現金股利發放比例為百
分之五十至百分之百，股票股利零至百分之五十，依前述原則決定最適當之股利政策及發放方式，
由董事會擬具盈餘分派案，經股東會決議後辦理。","",
"1570 - 力肯","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/10","        -67,829,436","         76,672,733","          7,860,814","          7,860,814","0.0","0.0","                  0","0.0","0.0","                  0","                  0","                  0","                  0","                  0","0.00000","無","","第23條：本公司年度決算如有盈餘，應先彌補以往年度虧損並提繳稅捐後，先提百分之十為法定盈餘公積，若有股東權益減項時，應提存相同數額之特別盈餘公積，倘尚有餘額，則依下列順序分派之：
一、董事監察人酬勞不高於0.8%（獨立董監事不予分配）
二、員工紅利得加計以前年度之未分配盈餘，提撥不低於0.5%
三、股東紅利係就本年度分配後餘額數加計以前年度累積未分配盈餘，得保留部份盈餘後分派之。
本公司股利政策，係配合業務規模拓展，考量公司資本支出及營運週轉所需。股東紅利及員工紅利之分派得以現金或股票方式發放，其中現金股利不得低於股東紅利及員工紅利合計數之百分之十。","",
"1580 - 新麥","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/30","        306,516,165","        529,739,119","        781,668,229","        367,721,938","8.50000000","0.0","        404,430,281","0.20000000","0.0","            951,601","          9,065,621","         30,022,839","                  0","                  0","0.00000","無","","本公司每屆決算如有當期淨利時，應先彌補虧損，次提存百分之十為法定盈餘公積，但法定盈餘公積已達資本額時，不在此限，再依法令或主管機關規定提列特別盈餘公積或迴轉特別盈餘公積後，如尚有盈餘再分配如下：
一、董事及監察人之酬勞不高於百分之五。
二、員工紅利為百分之二至百分之十。（若部份員工紅利以股票發放時，依主管機關規定之公平價值計算配發紅利股數。）員工紅利以股票發放時，分配對象得包括符合一定條件之從屬公司員工，該一定條件授權董事會訂定之。
三、扣除前各項後之餘額，連同期初累積未分配盈餘及當年度未分配盈餘調整數額，董事會得先視業務狀況酌予保留一部分，再就保留後之擬具分派議案，提請股東會決議分派之。
本公司正值成長階段，分派股利之政策，須視公司目前及未來之投資環境、資金需求、國內外競爭狀況及資本預算等因素，兼顧股東利益、平衡股利及公司長期財務規劃等，每年依法由董事會擬具分派案，提報股東會。公司得依財務、業務及經營面等因素之考量將當年度可分配盈餘提撥百分之二十以上分派股東紅利，股東紅利之分派得以現金或股票方式發放，其中現金股利之發放不低於當年度全部股東紅利總額之百分之二十。","",
"1584 - 精剛","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/29","       -259,496,530","        -51,792,399","                  0","                  0","0.0","0.0","                  0","0.0","0.0","                  0","                  0","                  0","                  0","                  0","0.00000","無","","本公司年終決算如有盈餘，除依法完納稅捐
及彌補以往年度虧損外，應於提列百分之十
為法定盈餘公積及提列百分之十特別盈餘公
積後，如尚有盈餘，加計前期累積未分配盈
餘後，由董事會擬定分配案，提請股東會通
過後分配之，惟自分配數額中員工紅利不得
低於百分之十高於百分之十五，董事酬勞不
得高於百分之三。","",
"1586 - 和勤","股東會確認","103年 年度","103/01/01~103/12/31","1","0","104/06/02","        176,641,174","         56,010,284","        223,345,972","        177,881,699","1.00000000","0.0","         45,464,273","0.0","0.0","                  0","          1,512,278","          3,528,648","                  0","                  0","0.00000","無","","本公司當年度總決算如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，依先提撥百分之十法定盈餘公積，但法定盈餘公積已達資本總額時不在此限。再依法令或相關規定就當年度盈餘提列或迴轉特別盈餘公積後，如尚有餘額，由董事會擬具分配案提請股東會決議分派之，就其餘額提撥員工紅利百分之二以上，並就前述扣除員工紅利前之餘額不高於百分之五限度內，提撥董事、監察人酬勞。當年度總決算之盈餘扣除前項所列項目後之餘額，連同上年度累積未分配盈餘為股東紅利可分配數額。
本公司未來股利之分派，將以配合公司未來發展、健全財務結構、並維持股東報酬之平衡為原則，惟公司自外界取得足夠資金支應該年度資金需求時，將就當年度所分配之股利中至少提撥百分之五十發放現金股利。","",
