"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","摘錄公司章程-股利分派部分","備註",
"1240 - 茂生農經","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/26","                  0","                  0","                  0","                  0","2.50000000","0.0","         75,145,000","0.0","0.0","                  0","","",
"1258 - 其祥-KY","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/19","        194,805,270","        135,970,676","        287,480,382","        239,069,102","1.33000000","0.0","         48,411,280","0.0","0.0","                  0","6.1於不違反開曼公司法、本章程第13.4條及本條規定，且除任一股份所附之權利另有規定外，公司得依董事會決議通過，並經股東常會普通決議通過之盈餘分派議案分派盈餘。如有盈餘，於擬訂該盈餘分派議案時，董事會應就每會計年度提撥盈餘作為：(i)支付相關會計年度之稅捐；(ii)彌補歷年虧損；(iii)主管機關依公開發行公司規則要求提撥之特別盈餘公積。公司營運之業務係屬成熟穩定產業且目前正處成長期而有資金需求，在不違反開曼公司法之情形下，於合併歷年累積未分配盈餘而由董事會依本章程第36.5條規定，於每會計年度為發展目的而提撥適宜之特定數額作為準備金後，剩餘數額經股東同意後依下列次序及方式分派之：
(1)員工紅利不高於3%；
(2)董事酬勞不高於3%；及
(3)餘額分派股東股利，其分派之金額以不低於當年度稅後盈餘扣除應提列公積金、員工紅利及董事酬勞後之10%。
股東股利及員工紅利之分配依董事會決定得以現金或股票方式或現金搭配股票方式分配。分派股東之現金股利不少於股東股利總額之10%，惟現金股利發放比例得視當年度實際獲利及營運狀況調整之，員工紅利以股票方式分配時，符合一定條件之從屬公司員工得受股票紅利及現金紅利之分配。公司就未分派之股息及紅利概不支付利息。","",
"1259 - 安心","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/07","        269,801,675","        173,777,600","        426,343,314","        329,525,814","3.00000000","0.0","         96,817,500","0.0","0.0","                  0","公司年度總決算如有盈餘，應先提繳稅款、彌補累積虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時不在此限；
另視公司營運需要及法令規定提列特別盈餘公積，其餘除派付股息外，如尚有盈餘併同期初未分配盈餘，由董事會擬具盈餘分配案提請股東會決議分派之。","",
"1264 - 德麥","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/05/26","        446,036,559","        445,552,853","        809,466,074","        503,139,074","10.00000000","0.0","        306,327,000","0.0","1.00000000","          3,063,270","本公司正值成長階段，基於公司營運之需要暨股東權益最大化之考量，股利分配採剩餘股利政策，依本公司未來之資本預算規劃，衡量未來年度之資金需求，並綜合考量獲利狀況財務結構及每年盈餘稀釋程度等因素將當年度可分配盈餘提撥百分之二十以上分派股東紅利，股東紅利之分派得以現金或股票方式發放，其中現金股利之發放以不低於當年度全部股利之百分之二十。","",
"1268 - 漢來美食","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/08","            253,084","        245,206,505","        244,397,302","         42,797,302","5.70000000","0.0","        191,520,000","0.30000000","0.0","          1,008,000","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素而定，每年就可供分配盈餘提撥不低於10%分配股東股息紅利，惟累積可供分配盈餘低於實收股本1%時，得不予分配；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之20%。","",
"1336 - 台翰","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/19","                  0","       -135,562,199","       -136,014,563","       -136,014,563","0.0","0.0","                  0","0.0","0.0","                  0","第二十條：本公司股利政策採穩健平衡原則，並參酌獲利狀況、財務結構及公司未來發展等因素，就當年度所分配之股利中提撥至少百分之二十發放現金股利。
第廿一條：本公司年度如有獲利，應提撥不低於百分之一為員工酬勞，由董事會決議以股票或現金分派發放，其發放對象包含符合一定條件之從屬公司員工；本公司得以上開獲利數額，由董事會決議提撥不高於百分之三為董事監察人酬勞。員工酬勞及董事監察人酬勞分派案應提股東會報告。
公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞及董監酬勞。
本公司每年決算後當期淨利，應先彌補虧損，次就其餘額提存百分之十為法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限。另依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，同以前年度累積未分配盈餘及當年度未分配盈餘調整數額，再由董事會擬具分派議案，提請股東會決議分派之。","",
"1565 - 精華","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/14","      1,321,883,199","      1,777,693,158","      2,914,695,550","      1,553,449,618","27.00000000","0.0","      1,361,245,932","0.0","0.0","                  0","第二十四條之一：本公司年度總決算如有盈餘，除依法繳納稅捐外，應先彌補虧損，次提百分之十為法定盈餘公積，但法定公積已達實收資本額時，得免繼續提撥，並按法令規定或得視業務需要，提列或迴轉特別盈餘公積，如尚有餘額，併同累計未分配盈餘，由董事會擬具盈餘分派案，提請股東會決議分派股東股息紅利。","",
"1569 - 濱川","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/22","        -23,795,657","        181,684,098","        142,362,597","        102,291,571","0.40000000","0.0","         40,071,026","0.0","0.0","                  0","本公司章程規定，年度總決算如有盈餘，依下列順序分派之：
 1.提繳稅捐。
 2.彌補以往年度虧損。
 3.提列百分之十為法定盈餘公積（但法定盈餘公積已達股本總額時不在此限）。
 4.按法令規定提列或迴轉特別盈餘公積。
 5.其餘加計期初未分配盈餘後由董事會擬訂盈餘分派案分派之，惟股利分配數
額不得低於當年度利潤依1至4規定數額扣除後剩餘數額之25%。
股利政策　　
本公司正處於企業成長階段，為考量公司財務結構及因應未來預計資本支出之需
要，本公司股利政策係以部分分派股票股利及部分分派現金股利，其中現金股利20%
至100%，股票股利0%至80%。惟為維持公司每股獲利水準，考量股票股利對公司營
業績效之影響，如股利發放年度之每股盈餘較前一年度衰退達20%以上者，或得視資
金情形，調整現金股利發放比例為50%至100%，股票股利0%至50%，依上述原則決
定最適當之股利政策及發放方式，由董事會擬具盈餘分派案，經股東會決議後辦理。","",
"1570 - 力肯","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/22","         58,790,444","         63,999,601","        113,532,965","         87,782,546","0.50000000","0.0","         25,750,419","0.0","0.0","                  0","第23-1條：
本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合業務規模拓展，考量公司資本支出及營運週轉所需，並同時兼顧股東利益。股東紅利之分派得以現金或股票方式發放，其中現金股利不得低於股東紅利之百分之十。","",
"1580 - 新麥","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/19","        444,733,004","        546,857,816","        920,387,946","        507,869,057","8.50000000","0.0","        412,518,889","0.0","0.0","                  0","本公司年度如有獲利，應提撥百分之二至百分之十為員工酬勞，由董事會決議以股票或現金分派發放，其發放對象得包含符合一定條件之從屬公司員工；本公司得以上開獲利數額，由董事會決議提撥不高於百分之五為董事酬勞。員工酬勞及董事酬勞分派案應提股東會報告。
但公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞及董監酬勞。
本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，每年就可供分配盈餘提撥不低於百分之二十分配股東股息紅利，分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之百分之二十。","",
