"","資料年月","公司代號","公司名稱","產業別","營業收入-當月營收","營業收入-上月營收","營業收入-去年當月營收","營業收入-上月比較增減(%)","營業收入-去年同月增減(%)","累計營業收入-當月累計營收","累計營業收入-去年累計營收","累計營業收入-前期比較增減(%)","備註","Date","price_d","price_d_n","n"
"1","110/2",1452,"宏益","紡織纖維",141746,170473,146138,-16.8513488939597,-3.00537847787708,312219,260624,19.796718644484,"-",2021-03-03,17.4,18,15
"2","110/2",1560,"中砂","電機機械",470114,472827,412201,-0.573782800051605,14.0496990545874,942942,807480,16.7758953782137,"-",2021-03-03,71.400002,74,15
"3","110/2",1590,"亞德客-KY","電機機械",1409761,2133512,532385,-33.9229870748325,164.801036843638,3543273,1421294,149.29908942133,"本月營業收入換算匯率為4.3822089;本年累計營業收入換算匯率為4.3874978。",2021-03-03,970,1025,15
"4","110/2",2241,"艾姆勒","電機機械",68989,82183,67235,-16.0544151466848,2.60876031828661,151172,135629,11.459938508726,"-",2021-03-03,57.799999,65.400002,15
"5","110/2",2375,"凱美","電子零組件業",441897,472568,214192,-6.49028287992416,106.308825726451,1084691,516760,109.902275717935,"2021年1月底凱美公司因帛漢及旺詮股權轉換案，累計營收已排除帛漢並計入旺詮。",2021-03-03,127,141.5,15
"6","110/2",2397,"友通","電腦及週邊設備業",521610,744404,580435,-29.9291782419224,-10.1346403990111,1266014,1325505,-4.48817620454091,"-",2021-03-03,64.900002,74.5,15
"7","110/2",2402,"毅嘉","電子零組件業",503017,568689,224251,-11.5479638255707,124.30981355713,1071706,616731,73.7720335121795,"主要是去年同期因新冠肺炎疫情導致中國廠區延後復工基期較低所影響",2021-03-03,17.950001,21.75,15
"8","110/2",2408,"南亞科","半導體業",5790836,5532161,4563039,4.67584005599259,26.9074404141626,11322997,9063277,24.9327037008799,"-",2021-03-03,91.800003,96,15
"9","110/2",2415,"錩新","電子零組件業",162517,237668,139811,-31.6201592136931,16.2404960983041,400185,320673,24.7953522747472,"-",2021-03-03,42,45.200001,15
"10","110/2",2419,"仲琦","通信網路業",907825,966835,335433,-6.10341992170329,170.642721497289,1874660,801847,133.792731032229,"配合客戶需求出貨量增加",2021-03-03,23.85,24.549999,15
"11","110/2",2809,"京城銀","金融保險業",751123,887533,821277,-15.3695693568577,-8.54206315287047,1638656,1557932,5.1814841726083,"-",2021-03-03,38.75,39.549999,15
"12","110/2",3049,"和鑫","光電業",282671,340738,263213,-17.0415392471635,7.39249201217265,623409,593209,5.09095445281511,"-",2021-03-03,10.6,11.7,15
