出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","103","4","1258","其祥-KY","1309247.00","936192.00","373055.00","--","--","373055.00","265106.00","--","107949.00","8017.00","115966.00","23094.00","92872.00","--","--","92872.00","4704.00","--","97576.00","92872.00","--","0.00","97576.00","--","0.00","2.73"
"110/05/29","103","4","1259","安心","4252752.00","3168785.00","1083967.00","--","--","1083967.00","1033633.00","--","50334.00","22519.00","72853.00","27681.00","45172.00","--","--","45172.00","-50.00","--","45122.00","92705.00","--","-47533.00","90007.00","--","-44885.00","2.86"
"110/05/29","103","4","1264","德麥","3483483.00","2236110.00","1247373.00","58.00","--","1247315.00","782978.00","--","464337.00","10346.00","474683.00","112316.00","362367.00","--","--","362367.00","22710.00","--","385077.00","319780.00","--","42587.00","328973.00","--","56104.00","11.42"
"110/05/29","103","4","1336","台翰","2095257.00","1931592.00","163665.00","--","--","163665.00","217722.00","--","-54057.00","13490.00","-40567.00","-815.00","-39752.00","--","--","-39752.00","52571.00","--","12819.00","-39752.00","--","--","12819.00","--","--","-0.64"
"110/05/29","103","4","1565","精華","5411329.00","3077812.00","2333517.00","--","--","2333517.00","531997.00","--","1801520.00","59412.00","1860932.00","287860.00","1573072.00","--","--","1573072.00","12627.00","--","1585699.00","1573072.00","--","--","1585699.00","--","--","31.20"
"110/05/29","103","4","1569","濱川","2649092.00","2452294.00","196798.00","--","--","196798.00","276375.00","--","-79577.00","-33703.00","-113280.00","-47150.00","-66130.00","--","--","-66130.00","149313.00","--","83183.00","-66130.00","--","--","83183.00","--","--","-0.79"
"110/05/29","103","4","1570","力肯","540591.00","415413.00","125178.00","--","--","125178.00","69220.00","--","55958.00","12947.00","68905.00","-7768.00","76673.00","--","--","76673.00","1183.00","--","77856.00","76673.00","--","--","77856.00","--","--","1.49"
"110/05/29","103","4","1580","新麥","4305009.00","2589777.00","1715232.00","--","--","1715232.00","978239.00","--","736993.00","15160.00","752153.00","207242.00","544911.00","--","--","544911.00","50968.00","--","595879.00","529739.00","--","15172.00","577963.00","--","17916.00","11.13"
"110/05/29","103","4","1584","精剛","1114403.00","1048442.00","65961.00","--","--","65961.00","109630.00","--","-43669.00","-11788.00","-55457.00","-3664.00","-51793.00","--","--","-51793.00","1301.00","--","-50492.00","--","--","--","--","--","--","-0.57"
"110/05/29","103","4","1586","和勤","1676833.00","1407366.00","269467.00","--","--","269467.00","219748.00","--","49719.00","8783.00","58502.00","2492.00","56010.00","--","--","56010.00","32053.00","--","88063.00","56010.00","--","0.00","88063.00","--","0.00","1.24"
"110/05/29","103","4","1591","駿吉-KY","724820.00","590847.00","133973.00","--","--","133973.00","67592.00","--","66381.00","-3282.00","63099.00","22381.00","40718.00","--","--","40718.00","-5018.00","--","35700.00","40718.00","--","--","35700.00","--","--","1.51"
