出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","105","4","1240","茂生農經","1266452.00","1106632.00","159820.00","--","--","159820.00","115035.00","--","44785.00","107066.00","151851.00","7719.00","144132.00","--","-1042.00","145174.00","136508.00","--","281682.00","--","--","--","--","--","--","6.51"
"110/05/29","105","4","1258","其祥-KY","2435794.00","1886295.00","549499.00","--","--","549499.00","351354.00","--","198145.00","-6925.00","191220.00","40416.00","150804.00","--","--","150804.00","-47302.00","--","103502.00","135971.00","--","14833.00","92675.00","--","10827.00","3.83"
"110/05/29","105","4","1259","安心","4663585.00","3390063.00","1273522.00","--","--","1273522.00","1092889.00","--","180633.00","10530.00","191163.00","40353.00","150810.00","--","--","150810.00","-6729.00","--","144081.00","173778.00","--","-22968.00","169818.00","--","-25737.00","5.37"
"110/05/29","105","4","1264","德麥","3793561.00","2360122.00","1433439.00","16.00","18.00","1433441.00","784335.00","--","649106.00","-3128.00","645978.00","132607.00","513371.00","--","--","513371.00","-61830.00","--","451541.00","445553.00","--","67818.00","407152.00","--","44389.00","14.54"
"110/05/29","105","4","1268","漢來美食","3166484.00","1816916.00","1349568.00","--","--","1349568.00","1093241.00","--","256327.00","44668.00","300995.00","55788.00","245207.00","--","--","245207.00","23220.00","--","268427.00","245207.00","--","--","268427.00","--","--","7.30"
"110/05/29","105","4","1336","台翰","1791432.00","1650443.00","140989.00","--","--","140989.00","257943.00","--","-116954.00","-24103.00","-141057.00","-5495.00","-135562.00","--","--","-135562.00","-74687.00","--","-210249.00","-135562.00","--","--","-210249.00","--","--","-2.16"
"110/05/29","105","4","1565","精華","6458469.00","3701879.00","2756590.00","--","--","2756590.00","507810.00","--","2248780.00","-95778.00","2153002.00","375309.00","1777693.00","--","--","1777693.00","-9343.00","--","1768350.00","1777693.00","--","--","1768350.00","--","--","35.26"
"110/05/29","105","4","1569","濱川","2846033.00","2343538.00","502495.00","--","--","502495.00","281272.00","--","221223.00","-37081.00","184142.00","2458.00","181684.00","--","--","181684.00","-177368.00","--","4316.00","181684.00","--","--","4316.00","--","--","1.94"
"110/05/29","105","4","1570","力肯","729387.00","573103.00","156284.00","--","--","156284.00","77134.00","--","79150.00","4767.00","83917.00","19917.00","64000.00","--","--","64000.00","-3481.00","--","60519.00","64000.00","--","--","60519.00","--","--","1.24"
"110/05/29","105","4","1580","新麥","4297545.00","2486832.00","1810713.00","--","--","1810713.00","1033431.00","--","777282.00","13486.00","790768.00","230545.00","560223.00","--","--","560223.00","-121204.00","--","439019.00","546858.00","--","13365.00","427553.00","--","11466.00","11.27"
"110/05/29","105","4","1584","精剛","738084.00","668235.00","69849.00","--","--","69849.00","58102.00","--","11747.00","-7618.00","4129.00","2238.00","1891.00","--","--","1891.00","5164.00","--","7055.00","--","--","--","--","--","--","0.02"
"110/05/29","105","4","1586","和勤","1933182.00","1642007.00","291175.00","--","--","291175.00","267755.00","--","23420.00","-33236.00","-9816.00","27107.00","-36923.00","--","--","-36923.00","-84335.00","--","-121258.00","-36923.00","--","0.00","-121258.00","--","0.00","-0.66"
"110/05/29","105","4","1591","駿吉-KY","537642.00","393535.00","144107.00","--","--","144107.00","73428.00","--","70679.00","4515.00","75194.00","14836.00","60358.00","--","--","60358.00","-29934.00","--","30424.00","60358.00","--","--","30424.00","--","--","2.00"
"110/05/29","105","4","1593","祺驊","806307.00","567978.00","238329.00","--","--","238329.00","127698.00","--","110631.00","8001.00","118632.00","18223.00","100409.00","--","--","100409.00","-25951.00","--","74458.00","100022.00","--","387.00","74071.00","--","387.00","3.30"
"110/05/29","105","4","1595","川寶","760904.00","447820.00","313084.00","--","--","313084.00","183268.00","--","129816.00","-79035.00","50781.00","21579.00","29202.00","--","--","29202.00","-9615.00","--","19587.00","29202.00","--","--","19587.00","--","--","0.72"
"110/05/29","105","4","1599","宏佳騰","2509892.00","1887593.00","622299.00","--","--","622299.00","403956.00","--","218343.00","74488.00","292831.00","46772.00","246059.00","--","--","246059.00","-31612.00","--","214447.00","246059.00","--","--","214447.00","--","--","4.76"
"110/05/29","105","4","1742","台蠟","610733.00","567975.00","42758.00","--","--","42758.00","87995.00","--","-45237.00","-108667.00","-153904.00","0.00","-153904.00","0.00","--","-153904.00","-1116.00","--","-155020.00","-153904.00","--","0.00","-155020.00","--","0.00","-2.31"
"110/05/29","105","4","1752","南光","1549708.00","974001.00","575707.00","--","--","575707.00","345925.00","--","229782.00","40423.00","270205.00","44706.00","225499.00","--","--","225499.00","-1100.00","--","224399.00","225499.00","--","--","224399.00","--","--","2.25"
"110/05/29","105","4","1777","生泰","766786.00","469143.00","297643.00","--","--","297643.00","109464.00","--","188179.00","5210.00","193389.00","34923.00","158466.00","--","--","158466.00","5222.00","--","163688.00","--","--","--","--","--","--","5.27"
"110/05/29","105","4","1781","合世","631889.00","574004.00","57885.00","--","--","57885.00","136102.00","--","-78217.00","-3885.00","-82102.00","-6670.00","-75432.00","--","--","-75432.00","-16425.00","--","-91857.00","-75432.00","--","--","-91857.00","--","--","-1.59"
"110/05/29","105","4","1784","訊聯","678657.00","342921.00","335736.00","--","--","335736.00","359990.00","--","-24254.00","8763.00","-15491.00","617.00","-16108.00","--","--","-16108.00","-736.00","--","-16844.00","-9440.00","--","-6668.00","-10176.00","--","-6668.00","-0.19"
