"","¤é´Á","KCluster","EMCluster","Profit"
"1"," 99/01/08",9,6,-0.058008658008658
"2"," 99/01/11",8,6,-0.0639032815198618
"3"," 99/01/12",13,3,-0.0807291666666666
"4"," 99/01/13",4,7,-0.06784140969163
"5"," 99/01/14",5,1,-0.0591818973020018
"6"," 99/01/15",14,1,-0.0830449826989619
"7"," 99/01/18",14,3,-0.0886956521739131
"8"," 99/01/19",2,4,-0.0863436123348017
"9"," 99/01/20",4,7,-0.0647163120567376
"10"," 99/01/21",12,7,-0.06076854334227
"11"," 99/01/22",6,9,-0.0670955882352941
"12"," 99/01/25",6,9,-0.0553505535055351
"13"," 99/01/26",6,9,-0.0396600566572238
"14"," 99/01/27",6,9,-0.0255198487712666
"15"," 99/01/28",7,1,-0.036077705827937
"16"," 99/01/29",1,7,-0.00754716981132073
"17"," 99/02/01",4,7,0.00381679389312983
"18"," 99/02/02",12,9,0.00771456123432977
"19"," 99/02/03",7,1,-0.0208530805687204
"20"," 99/02/04",5,1,-0.0190294957183635
"21"," 99/02/05",6,9,0.0403940886699507
"22"," 99/02/06",12,7,0.0283203124999999
"23"," 99/02/08",16,9,0.0353982300884955
"24"," 99/02/09",7,1,0.0126091173617848
"25"," 99/02/10",10,2,0.0163147792706334
"26"," 99/02/22",15,2,0.0199619771863117
"27"," 99/02/23",9,6,0.0228136882129277
"28"," 99/02/24",13,4,0.0296650717703349
"29"," 99/02/25",4,7,0.0387221684414327
"30"," 99/02/26",1,7,0.0397672162948594
"31"," 99/03/01",10,1,0.000946969696969778
"32"," 99/03/02",10,1,0.0085470085470086
"33"," 99/03/03",8,6,0.0284900284900285
"34"," 99/03/04",2,4,0.0421455938697317
"35"," 99/03/05",8,5,0.024551463644948
"36"," 99/03/08",10,6,0.000931966449207908
"37"," 99/03/09",10,6,-0.00836431226765791
"38"," 99/03/10",9,6,-0.00557620817843861
"39"," 99/03/11",13,5,-0.00279589934762346
"40"," 99/03/12",2,3,0.00746268656716415
"41"," 99/03/15",4,7,0.0312204351939451
"42"," 99/03/16",1,8,0.0254237288135593
"43"," 99/03/17",10,1,0.00184672206832874
"44"," 99/03/18",10,2,0.00643382352941179
"45"," 99/03/19",9,6,0.00921658986175115
"46"," 99/03/22",2,4,0.0297951582867783
"47"," 99/03/23",4,7,0.0384254920337394
"48"," 99/03/24",1,8,0.0289719626168224
"49"," 99/03/25",5,8,0.0317757009345795
"50"," 99/03/26",14,1,0.0268518518518519
"51"," 99/03/29",10,6,0.00550458715596325
"52"," 99/03/30",10,6,0.0137741046831956
"53"," 99/03/31",8,5,0.0239631336405529
"54"," 99/04/01",8,6,0.00821917808219183
"55"," 99/04/02",14,5,-0.0200913242009133
"56"," 99/04/06",10,6,-0.0262206148282097
"57"," 99/04/07",8,6,-0.0153429602888087
"58"," 99/04/08",13,3,-0.0108991825613078
"59"," 99/04/09",13,3,-0.00815217391304353
"60"," 99/04/12",14,3,0.00811541929666358
"61"," 99/04/13",2,8,0.0191605839416059
"62"," 99/04/14",5,3,0.000905797101449224
"63"," 99/04/15",14,5,-0.00990099009900985
"64"," 99/04/16",5,3,-0.00724637681159431
"65"," 99/04/19",12,9,0.0149114631873253
"66"," 99/04/20",12,7,0.0120705663881151
"67"," 99/04/21",7,1,-0.0284142988084326
"68"," 99/04/22",7,1,-0.0459136822773186
"69"," 99/04/23",8,5,-0.0511415525114155
"70"," 99/04/26",11,2,-0.0626118067978533
"71"," 99/04/27",15,2,-0.0653536257833482
"72"," 99/04/28",13,4,-0.0570135746606335
"73"," 99/04/29",2,4,-0.0318181818181818
"74"," 99/04/30",1,7,-0.0310218978102189
"75"," 99/05/03",4,7,-0.0468319559228651
"76"," 99/05/04",1,8,-0.0458715596330275
"77"," 99/05/05",6,9,-0.0292452830188679
"78"," 99/05/06",6,9,-0.0221366698748798
"79"," 99/05/07",6,9,-0.0423484119345525
"80"," 99/05/10",16,9,-0.0372137404580152
"81"," 99/05/11",7,1,-0.0590038314176246
"82"," 99/05/12",13,4,-0.053358925143954
"83"," 99/05/13",9,2,-0.0674178403755869
"84"," 99/05/14",10,6,-0.060828625235405
"85"," 99/05/17",4,7,-0.0346820809248554
"86"," 99/05/18",4,7,-0.0417307692307693
"87"," 99/05/19",12,7,-0.0466472303206998
"88"," 99/05/20",6,9,-0.0118110236220471
"89"," 99/05/21",6,9,0.00603015075376879
"90"," 99/05/24",16,7,-0.0338949454905847
"91"," 99/05/25",6,9,-0.0114006514657979
"92"," 99/05/26",16,7,-0.0231143552311436
"93"," 99/05/27",5,1,-0.0163109142166733
"94"," 99/05/28",7,1,-0.00501303388810908
"95"," 99/05/31",8,6,0.00499001996007984
"96"," 99/06/01",13,3,0.0174593618302228
"97"," 99/06/02",4,7,0.0407747196738022
"98"," 99/06/03",14,1,0.0139442231075696
"99"," 99/06/04",14,1,0.038961038961039
"100"," 99/06/07",12,7,0.0607304062371769
"101"," 99/06/08",12,7,0.0533360790774299
"102"," 99/06/09",16,9,0.0647571606475716
"103"," 99/06/10",7,1,0.0358239508700102
"104"," 99/06/11",10,2,0.0237807335751713
"105"," 99/06/14",15,2,0.0029791459781529
"106"," 99/06/15",15,2,-0.0226824457593689
"107"," 99/06/17",15,2,-0.0364348677766895
"108"," 99/06/18",8,6,-0.0277013752455795
"109"," 99/06/21",15,2,-0.0288461538461538
"110"," 99/06/22",8,6,-0.00580270793036759
"111"," 99/06/23",2,4,0.00293255131964807
"112"," 99/06/24",2,4,0.0146198830409357
"113"," 99/06/25",12,7,0.0345849802371542
"114"," 99/06/28",1,7,0.0295275590551181
"115"," 99/06/29",1,7,0.0326732673267326
"116"," 99/06/30",12,9,0.0726538849646822
"117"," 99/07/01",12,9,0.0825371010367962
"118"," 99/07/02",16,7,0.0689028086482117
"119"," 99/07/05",10,1,0.0445544554455446
"120"," 99/07/06",11,2,0.0350194552529184
"121"," 99/07/07",15,2,0.0311890838206628
"122"," 99/07/08",15,2,0.0172910662824209
"123"," 99/07/09",15,2,0.0257879656160459
"124"," 99/07/12",9,6,0.0296367112810708
"125"," 99/07/13",13,5,0.027804410354746
"126"," 99/07/14",10,6,0.0169332079021637
"127"," 99/07/15",10,6,0.015962441314554
"128"," 99/07/16",13,5,0.0189035916824197
"129"," 99/07/19",13,4,0.0417061611374408
"130"," 99/07/20",14,1,0.037593984962406
"131"," 99/07/21",5,3,0.0415879017013233
"132"," 99/07/22",13,3,0.0396600566572237
"133"," 99/07/23",10,6,0.0279329608938547
"134"," 99/07/26",10,6,0.0306406685236769
"135"," 99/07/27",8,5,0.0335820895522388
"136"," 99/07/28",8,6,0.0120259019426458
"137"," 99/07/29",8,5,0.00277264325323472
"138"," 99/07/30",13,3,0.0176252319109463
"139"," 99/08/02",10,2,0.000909918107370285
"140"," 99/08/03",10,2,-0.00452898550724638
"141"," 99/08/04",9,6,-0.0081669691470055
"142"," 99/08/05",8,5,-0.00181653042688455
"143"," 99/08/06",13,3,-0.00452898550724638
"144"," 99/08/09",14,5,-0.00360360360360365
"145"," 99/08/10",13,3,-0.00812274368231039
"146"," 99/08/11",4,4,-0.0137111517367459
"147"," 99/08/12",4,7,-0.0119815668202765
"148"," 99/08/13",5,1,-0.0182315405651778
"149"," 99/08/16",7,1,-0.0163636363636363
"150"," 99/08/17",14,5,-0.0300272975432212
"151"," 99/08/18",13,3,-0.0173833485818846
"152"," 99/08/19",13,3,-0.0172884440400364
"153"," 99/08/20",13,3,-0.0072793448589628
"154"," 99/08/23",14,5,-0.00632911392405053
"155"," 99/08/24",13,3,-0.0018198362147407
"156"," 99/08/25",4,7,0.0148285449490268
"157"," 99/08/26",12,7,0.021455223880597
"158"," 99/08/27",1,7,0.0259981429897864
"159"," 99/08/30",7,1,0.0499075785582254
"160"," 99/08/31",4,7,0.0694183864915573
"161"," 99/09/01",5,8,0.0661080074487895
"162"," 99/09/02",14,1,0.049074074074074
"163"," 99/09/03",10,6,0.0504124656278643
"164"," 99/09/06",9,6,0.0418562329390354
"165"," 99/09/07",8,6,0.0455788514129444
"166"," 99/09/08",13,5,0.0474885844748859
"167"," 99/09/09",13,3,0.0410958904109589
"168"," 99/09/10",14,5,0.0407239819004525
"169"," 99/09/13",11,2,0.0105633802816902
"170"," 99/09/14",15,2,0.0140350877192982
"171"," 99/09/15",15,2,0.00786026200873367
"172"," 99/09/16",8,6,0.0194174757281554
"173"," 99/09/17",8,5,0.00785340314136131
"174"," 99/09/20",13,3,0.00262008733624452
"175"," 99/09/21",13,3,0.00697471665213598
"176"," 99/09/23",13,3,0.010462074978204
"177"," 99/09/24",2,8,0.0105263157894737
"178"," 99/09/27",14,3,-0.0095652173913043
"179"," 99/09/28",5,3,-0.0209059233449477
"180"," 99/09/29",14,5,-0.0216262975778547
"181"," 99/09/30",13,5,-0.00433275563258232
"182"," 99/10/01",13,3,-0.0069264069264069
"183"," 99/10/04",13,3,-0.0268398268398268
"184"," 99/10/05",2,8,-0.0235191637630662
"185"," 99/10/06",5,3,-0.0181818181818181
"186"," 99/10/07",14,3,-0.0207075064710958
"187"," 99/10/08",2,3,-0.00868055555555556
"188"," 99/10/11",4,7,-0.0149253731343284
"189"," 99/10/12",12,9,0.00266903914590745
"190"," 99/10/13",1,7,-0.00884173297966401
"191"," 99/10/14",7,1,-0.0165361183637947
"192"," 99/10/15",14,1,-0.023539668700959
"193"," 99/10/18",4,4,0.0106761565836298
"194"," 99/10/19",4,7,0.0133809099018733
"195"," 99/10/20",5,1,0
"196"," 99/10/21",7,1,0.00528634361233475
"197"," 99/10/22",10,6,0.00963222416812604
"198"," 99/10/25",2,4,0.0258467023172905
"199"," 99/10/26",5,1,0.0239574090505768
"200"," 99/10/27",1,8,0.0285459411239965
"201"," 99/10/28",14,1,0.0176991150442478
"202"," 99/10/29",2,4,0.00625000000000003
"203"," 99/11/01",14,5,-0.011443661971831
"204"," 99/11/02",14,5,-0.000880281690140795
"205"," 99/11/03",13,5,-0.00352733686067024
"206"," 99/11/04",8,5,-0.00788781770376855
"207"," 99/11/05",10,6,-0.0173460537727667
"208"," 99/11/08",8,5,-0.00347523892267586
"209"," 99/11/09",8,5,-0.0138648180242635
"210"," 99/11/10",13,3,-0.0138768430182133
"211"," 99/11/11",5,8,-0.00695652173913041
"212"," 99/11/12",12,7,0.00798580301685884
"213"," 99/11/15",12,7,0.0133570792520036
"214"," 99/11/16",1,1,0.00616740088105729
"215"," 99/11/17",7,1,0.0265486725663717
"216"," 99/11/18",14,1,0.0326855123674912
"217"," 99/11/19",13,5,0.0414827890556046
"218"," 99/11/22",10,6,0.031386224934612
"219"," 99/11/23",13,5,0.038664323374341
"220"," 99/11/24",13,3,0.0395778364116095
"221"," 99/11/25",13,3,0.0455341506129597
"222"," 99/11/26",5,8,0.0440140845070423
"223"," 99/11/29",5,3,0.0448154657293498
"224"," 99/11/30",13,3,0.0385288966725043
"225"," 99/12/01",10,6,0.0275862068965517
"226"," 99/12/02",10,2,0.0213857998289136
"227"," 99/12/03",15,2,0.0203389830508475
"228"," 99/12/06",9,2,0.0126796280642434
"229"," 99/12/07",8,6,0.0160744500846023
"230"," 99/12/08",13,3,0.0160744500846023
"231"," 99/12/09",8,5,0.0125628140703518
"232"," 99/12/10",13,3,0.0151770657672851
"233"," 99/12/13",13,3,0.0168208578637511
"234"," 99/12/14",5,3,0.0177065767284992
"235"," 99/12/15",14,3,0.0151006711409396
"236"," 99/12/16",14,5,0.0184254606365158
"237"," 99/12/17",10,6,0.0199335548172757
"238"," 99/12/20",13,5,0.0258764607679467
"239"," 99/12/21",13,5,0.0208159866777685
"240"," 99/12/22",13,3,0.00416319733555371
"241"," 99/12/23",14,5,-0.00413564929693962
"242"," 99/12/24",13,3,-0.00913621262458479
"243"," 99/12/27",13,5,-0.00992555831265511
"244"," 99/12/28",13,3,0.00828500414250207
"245"," 99/12/29",13,3,0.00991735537190085
"246"," 99/12/30",14,5,0.00411184210526316
"247"," 99/12/31",10,6,-0.006514657980456
"248","100/01/03",8,6,-0.00976403580146463
"249","100/01/04",8,5,0.000815660685155045
"250","100/01/05",4,7,0.0290215588723051
"251","100/01/06",4,7,0.0240863787375415
"252","100/01/07",12,7,0.0226320201173512
"253","100/01/10",1,7,0.0183792815371763
"254","100/01/11",14,1,0.00986031224322106
"255","100/01/12",10,6,0.0147299509001636
"256","100/01/13",9,6,0.022932022932023
"257","100/01/14",8,5,0.0327868852459016
"258","100/01/17",13,4,0.028759244042728
"259","100/01/18",14,5,0.0105949470252648
"260","100/01/19",10,6,-0.0193392425463335
"261","100/01/20",8,5,-0.0446066504460665
"262","100/01/21",2,4,-0.0262295081967213
"263","100/01/24",2,4,-0.0196882690730107
"264","100/01/25",5,1,-0.0260374288039056
"265","100/01/26",14,1,-0.0379032258064516
"266","100/01/27",10,6,-0.0288230584467575
"267","100/01/28",15,2,-0.0373015873015873
"268","100/02/08",8,5,-0.0439297124600639
"269","100/02/09",2,4,-0.0483870967741935
"270","100/02/10",12,9,-0.0304026294165982
"271","100/02/11",3,9,0.0101867572156197
"272","100/02/14",6,9,0.00925925925925933
"273","100/02/15",16,9,-0.005020920502092
"274","100/02/16",7,1,0.00584795321637429
"275","100/02/17",13,1,0.0167644593461861
"276","100/02/18",10,6,-0.0074196207749381
"277","100/02/21",10,6,-0.00659521846661168
"278","100/02/22",2,4,0.00584795321637429
"279","100/02/23",4,7,0.00847457627118644
"280","100/02/24",12,7,-0.00254237288135591
"281","100/02/25",7,1,-0.011764705882353
"282","100/03/01",14,1,-0.0408673894912427
"283","100/03/02",13,3,-0.0361648444070649
"284","100/03/03",8,6,-0.0481727574750831
"285","100/03/04",10,6,-0.0478153338829349
"286","100/03/07",13,5,-0.0348837209302326
"287","100/03/08",13,3,-0.0307053941908714
"288","100/03/09",13,3,-0.0282392026578074
"289","100/03/10",4,7,-0.0126050420168067
"290","100/03/11",12,7,0.00849617672047579
"291","100/03/14",16,7,0.00595238095238098
"292","100/03/15",6,9,0.0304347826086957
"293","100/03/16",16,9,0.0401396160558465
"294","100/03/17",16,7,0.0392670157068063
"295","100/03/18",7,1,0.0363636363636364
"296","100/03/21",14,1,0.0524956970740103
"297","100/03/22",10,6,0.0496575342465753
"298","100/03/23",9,6,0.0444444444444445
"299","100/03/24",8,5,0.04
"300","100/03/25",10,6,0.0117944397641111
"301","100/03/28",8,5,0.0211327134404057
"302","100/03/29",8,5,0.0185654008438819
"303","100/03/30",8,5,0.000838926174496597
"304","100/03/31",14,5,0
"305","100/04/01",8,5,-0.010860484544695
"306","100/04/06",11,2,-0.0139002452984465
"307","100/04/07",15,2,0.0065252854812399
"308","100/04/08",9,6,0.00818330605564648
"309","100/04/11",8,5,0.00572831423895256
"310","100/04/12",4,7,0.0191507077435471
"311","100/04/13",1,7,0.0289735099337748
"312","100/04/14",1,8,0.0298260149130074
"313","100/04/15",1,7,0.0393964794635373
"314","100/04/18",4,7,0.0436607892527288
"315","100/04/19",4,7,0.0439189189189188
"316","100/04/20",14,1,0.0323383084577115
"317","100/04/21",11,2,0.00405186385737439
"318","100/04/22",15,2,0.0113636363636363
"319","100/04/25",9,2,0.0138323840520748
"320","100/04/26",13,4,0.0138888888888888
"321","100/04/27",14,6,0.001609010458568
"322","100/04/28",14,5,-0.001609010458568
"323","100/04/29",13,5,-0.0112903225806452
