出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/05/06","110/4","1220","台榮","食品工業","262030","269619","215302","-2.8147126129835063","21.703467687248608","970790","817212","18.792920319329625","-"
"110/05/06","110/4","1256","鮮活果汁-KY","食品工業","407552","350208","226577","16.374269005847953","79.87350878509292","1401551","592567","136.52194604154468","109年4月受新冠疫情影響，出貨較少，基數較低"
"110/05/06","110/4","1301","台塑","塑膠工業","24367037","25018934","14752079","-2.6056146117176695","65.17696929361617","84968974","56771258","49.66899976040693","去年4月受疫情影響，需求急凍，產品價格崩跌，今年疫情趨緩，需求及產品價格回升，因此今年4月合併營收較去年同期增加65.18%。"
"110/05/06","110/4","1303","南亞","塑膠工業","34904534","34372304","20411078","1.5484268962592673","71.00779292499887","124615224","85968587","44.95437036786472","2021年4月合併營收與去年比較大幅成長，主要係去年4月新冠肺炎疫情擴散，而今年4月公司營運處於高峰，故相較之下差異甚大。"
"110/05/06","110/4","1326","台化","塑膠工業","33047596","32179323","18134268","2.698232650823636","82.23837874238983","117201847","82578321","41.9281060461377","比較去年同時疫情影響較緩和，下游需求消費動能提升，致行情上漲，客戶採購動能穩定，開動率提高產銷量增加。"
"110/05/06","110/4","1434","福懋","紡織纖維","3090691","3284511","2406454","-5.901030625258981","28.43341281404091","11250608","10977835","2.4847613395537462","-"
"110/05/06","110/4","1435","中福","其他","1290","1094","1242","17.915904936014627","3.864734299516908","4762","4979","-4.358304880498092","-"
"110/05/06","110/4","1436","華友聯","建材營造","387958","414725","28317","-6.454156368678039","1270.0533248578593","807292","419222","92.56909227092089","本月及累計營收增加，係當月交屋數增加所致"
"110/05/06","110/4","1437","勤益控","其他","44945","46409","39674","-3.1545605378267148","13.285779099662248","223594","215966","3.532037450339405","-"
"110/05/06","110/4","1445","大宇","紡織纖維","95403","100235","53343","-4.820671422157929","78.84820876216186","363971","370879","-1.8626020885517918","訂單增加營業額成長"
"110/05/06","110/4","1452","宏益","紡織纖維","162389","201142","28631","-19.266488351512862","467.17893192693236","675750","401976","68.10705116723386","去年同期受新冠肺炎疫情影響，營收大幅減少。"
"110/05/06","110/4","1454","台富","紡織纖維","127762","127728","98533","0.026619065514217714","29.664173424132017","494767","490836","0.8008785011694334","-"
"110/05/06","110/4","1455","集盛","紡織纖維","886296","825740","384667","7.333543246058081","130.40603950949782","3249575","2529003","28.49233472637241","因去年度受疫情影響，營收過度萎縮，致基期較低，本年景氣已回穩。"
"110/05/06","110/4","1459","聯發","紡織纖維","221026","256290","88286","-13.75941316477428","150.3522642321546","894404","647848","38.05769254516491","去年同期受新型冠狀病毒疫情影響，致去年同期營業收入大幅減少。"
"110/05/06","110/4","1464","得力","紡織纖維","857655","918042","519665","-6.577803629899286","65.03997767792713","3286534","3059094","7.4348810464797745","去年度受疫情影響故營收大幅衰退。"
"110/05/06","110/4","1477","聚陽","紡織纖維","2345903","2628521","1133062","-10.751978013491238","107.0410092298568","9162702","7263946","26.139456433183838","主係全球經濟復甦，客戶需求增加。在與客戶緊密合作下，致業績成長"
"110/05/06","110/4","1514","亞力","電機機械","386044","419387","431356","-7.950413341376819","-10.504548447222248","1616499","1642740","-1.5973921618758902","-"
"110/05/06","110/4","1533","車王電","汽車工業","229800","210776","156048","9.025695525107222","47.26238080590588","801910","745254","7.602240310015109","-"
"110/05/06","110/4","1560","中砂","電機機械","480526","521795","450328","-7.9090447397924475","6.705778898935887","1945263","1678190","15.914348196568923","-"
"110/05/06","110/4","1587","吉茂","汽車工業","221466","200002","106226","10.73189268107319","108.48568147157947","756075","460743","64.09907475534084","公司接單狀況良好"
"110/05/06","110/4","1597","直得","電機機械","161737","154057","130375","4.985167827492422","24.055225311601152","580391","420865","37.90431611086691","-"
"110/05/06","110/4","1612","宏泰","電器電纜","496329","613523","327067","-19.10181036407763","51.75147599727273","1955477","1492083","31.056851394996123","本月因銅價及原物料上漲，及配合客戶交期落點，高壓電纜出貨量增加，致營收較去年同期成長。"
"110/05/06","110/4","1614","三洋電","電器電纜","453266","383729","408347","18.12138253819753","11.000203258503184","1774939","1578304","12.458626475001013","-"
"110/05/06","110/4","1615","大山","電器電纜","885445","354433","309542","149.82013525828577","186.05003521331517","1672342","866319","93.03997719085002","110年4月配合訂單交貨，產品電力電纜營收成長，及本月增加子公司營建收入，致較去年同期成長186.05%"
"110/05/06","110/4","1707","葡萄王","生技醫療業","762506","820392","672841","-7.055895230572702","13.32632821127131","2734706","2681763","1.9741863841062763","-"
"110/05/06","110/4","1708","東鹼","化學工業","415078","306096","339415","35.60386284041608","22.292179190666292","1261508","1396936","-9.694645996666992","-"
"110/05/06","110/4","1711","永光","化學工業","793963","850637","555992","-6.662536428582345","42.80115541230809","3074766","2826469","8.784706289012899","-"
"110/05/06","110/4","1713","國化","化學工業","47429","52974","37460","-10.467399101445992","26.612386545648693","181521","168060","8.009639414494822","-"
"110/05/06","110/4","1723","中碳","化學工業","649410","706902","332281","-8.132951950906914","95.44000409292136","2318266","1931458","20.026736279018234","主係因油價較去年同期大漲，帶動主要產品售價上漲，導致本月營收較去年同期增加。"
"110/05/06","110/4","1731","美吾華","生技醫療業","116540","93247","74732","24.97989211449162","55.94390622491034","425173","339791","25.12779914712279","營收較去年同期顯著成長，美吾髮森歐黎漾Saholea需求強勁，電商和實體通路整合續創佳績，當月營收大幅成長55.94%。"
"110/05/06","110/4","1737","臺鹽","食品工業","309644","290340","264371","6.648756630157746","17.124798105692378","1099729","988828","11.215398431274195","-"
"110/05/06","110/4","1773","勝一","化學工業","855267","851219","660281","0.47555329474553554","29.5307603883801","3149069","2638651","19.343899591116823","-"
"110/05/06","110/4","1786","科妍","生技醫療業","30424","57676","28569","-47.250156044108465","6.4930519094123005","141655","138383","2.3644522809882718","-"
"110/05/06","110/4","1906","寶隆","造紙工業","13997","13780","106563","1.5747460087082727","-86.86504696752156","94952","485946","-80.4603803714816","代理銷售工業用紙之噸數減少"
"110/05/06","110/4","1909","榮成","造紙工業","3813448","3255271","2904885","17.14686734222742","31.277072930597942","14966401","9858334","51.814708245835455","因去年受大陸新冠肺炎疫情影響，本公司大陸子公司配合當地政府防疫要求停工，故今年營收較去年同期大幅成長。"
"110/05/06","110/4","2013","中鋼構","鋼鐵工業","1083852","1332159","1108576","-18.639441688266942","-2.2302485350575876","4622289","4260460","8.49272144322444","-"
"110/05/06","110/4","2015","豐興","鋼鐵工業","2969908","3335779","2276903","-10.968082717710017","30.4362987795264","10865582","8792090","23.583607538139397","-"
"110/05/06","110/4","2031","新光鋼","鋼鐵工業","1187740","1091697","732784","8.797587609016055","62.08596257560209","4422162","2879595","53.568887291442024","本月及本年累積營收較去年同期增加50%以上，主要係鋼鐵需求量增加及價格上漲所致。"
"110/05/06","110/4","2049","上銀","電機機械","2236269","2160488","1746884","3.5075871747494083","28.014739387389202","8227716","5360951","53.47493383170262","主係美中貿易戰及新冠肺炎影響趨緩，市場需求逐漸恢復正常所致。"
"110/05/06","110/4","2069","運錩","鋼鐵工業","975613","959883","566325","1.6387413882733626","72.2708692005474","3507706","2159520","62.42989182781359","主要係鋼鐵需求量增加及價格上漲所致。"
"110/05/06","110/4","2101","南港","橡膠工業","629066","701152","428736","-10.28108027931176","46.72572398865503","2830141","2623376","7.88163801147834","本公告係屬自結數,與會計師所出具之財報因匯率之故將存有略微差異,屆時請以財報為準."
"110/05/06","110/4","2103","台橡","橡膠工業","3011563","3059530","1949274","-1.5677898239272046","54.49664849579895","11228374","8443120","32.98844502979941","109年受疫情影響營業額遽減,110年恢復正常"
"110/05/06","110/4","2108","南帝","橡膠工業","2628840","2440735","949619","7.706899765849221","176.83102381060195","9582968","3597602","166.37098823049354","主係銷售量值增加"
"110/05/06","110/4","2115","六暉-KY","汽車工業","296464","349609","195847","-15.201267701918429","51.37530827635859","1164836","726801","60.26890441812821","市場需求強勁復甦，以及去年因肺炎疫情影響營收基期較低，故本年(月)營收較去年同期大幅成長。"
"110/05/06","110/4","2231","為升","汽車工業","402870","444133","204524","-9.290685447827565","96.9793276094737","1565613","1066639","46.780025856920666","因去年受疫情影響，故造成該差異。"
"110/05/06","110/4","2233","宇隆","汽車工業","309068","284093","185144","8.791135297244212","66.93384608736983","1096143","745913","46.95319695460463","主係因新冠肺炎影響趨緩，客戶需求及訂單明顯回升。"
"110/05/06","110/4","2241","艾姆勒","電機機械","85375","86599","70499","-1.4134112403145533","21.101008524943616","323146","283369","14.037174143960701","-"
"110/05/06","110/4","2301","光寶科","電腦及週邊設備業","13642841","13238485","13747339","3.0543978408405494","-0.760132560926882","51360355","46332609","10.851420000975986","-"
"110/05/06","110/4","2303","聯電","半導體業","16382058","16619555","15059189","-1.4290214148333094","8.784463758307304","63479070","57327036","10.731470575244812","-"
"110/05/06","110/4","2313","華通","電子零組件業","4520054","4527394","4630415","-0.1621241712119599","-2.3833932811637832","17927756","16720078","7.2229208500103885","-"
"110/05/06","110/4","2317","鴻海","其他電子業","500490784","441217054","380925137","13.434143005723437","31.388227078330093","1843819281","1310605263","40.68456254932649","-"
"110/05/06","110/4","2331","精英","電腦及週邊設備業","2244933","2271753","2679634","-1.1805860936466244","-16.222402014603485","8756096","6794196","28.876117203566103","-"
"110/05/06","110/4","2345","智邦","通信網路業","4624529","5190400","4071989","-10.902261868064118","13.569290093858308","17822908","15796241","12.830058746254885","-"
"110/05/06","110/4","2347","聯強","電子通路業","31828300","33106288","23098277","-3.8602576042351835","37.79512645034087","118572911","91803633","29.15927956794477","本月營收係當月自結數，前期調整數反應在本年累計營收內"
"110/05/06","110/4","2348","海悅","其他","423915","426526","172928","-0.6121549448333747","145.13959566987415","1658921","711523","133.1507203561937","本月及本年度增減百分比達50％以上，係因個案銷售狀況良好"
"110/05/06","110/4","2351","順德","半導體業","920273","880609","680637","4.504155646830773","35.20760699168573","3372067","2620452","28.682647115841085","-"
"110/05/06","110/4","2352","佳世達","電腦及週邊設備業","17346469","18759655","14487094","-7.533112949038775","19.73739522916052","68250150","53687260","27.12541113105791","-"
"110/05/06","110/4","2354","鴻準","其他電子業","6833936","6144417","7225381","11.221878332801957","-5.417638184062543","26957937","18419491","46.35549375387192","-"
"110/05/06","110/4","2359","所羅門","其他電子業","330294","374943","377456","-11.908210047927286","-12.494701369166208","1287867","1065015","20.924775707384402","-"
"110/05/06","110/4","2365","昆盈","電腦及週邊設備業","87361","165596","116524","-47.24449865938791","-25.027462153719405","519143","451582","14.960959471369542","-"
"110/05/06","110/4","2375","凱美","電子零組件業","695096","631854","417592","10.008957765559765","66.45338033295657","2411641","1300530","85.43524563062752","2021年1月底凱美公司因帛漢及旺詮股權轉換案，本年累計營收已排除帛漢並計入旺詮。"
"110/05/06","110/4","2376","技嘉","電腦及週邊設備業","11047434","11009777","6165821","0.34203235905686374","79.17214917526798","39412906","23398968","68.43865079861642","本月營收較去年同期增加,主要係板卡及網通產品銷售成長所致。"
"110/05/06","110/4","2379","瑞昱","半導體業","7811945","8055459","5533446","-3.0229686477207567","41.17685435079695","31152691","21461478","45.15631682030473","無"
"110/05/06","110/4","2380","虹光","電腦及週邊設備業","286603","279749","90226","2.4500534407629697","217.6501230244054","919027","384848","138.80259219224214","海外及中國地區銷售增加"
"110/05/06","110/4","2383","台光電","電子零組件業","2951523","2818344","2227024","4.725434510478494","32.53215950973137","10955235","8136011","34.651182256267845","-"
"110/05/06","110/4","2385","群光","電子零組件業","8004716","9093560","8891424","-11.973792442123877","-9.972620808545402","33141763","27001644","22.73979688051587","-"
"110/05/06","110/4","2397","友通","電腦及週邊設備業","692175","742104","686427","-6.728032728566347","0.8373796485278114","2700293","2862748","-5.674792192676407","-"
"110/05/06","110/4","2402","毅嘉","電子零組件業","543979","539899","425864","0.7556968988644173","27.735380309206697","2155584","1554123","38.700990848214715","-"
"110/05/06","110/4","2408","南亞科","半導體業","7394273","6407616","5619678","15.398191776785625","31.578232774190976","25124886","20038548","25.38276725439388","-"
"110/05/06","110/4","2415","錩新","電子零組件業","249181","227538","158948","9.511817806256538","56.76888038855475","876904","679054","29.136121722278347","去年同期受新冠肺炎疫情影響，營收大幅減少。"
"110/05/06","110/4","2417","圓剛","電腦及週邊設備業","471004","439599","317136","7.144010791653302","48.51798597447152","1749841","980256","78.50857327065583","本年累計營收較去年同期增加主要係因出貨量增加所致。"
"110/05/06","110/4","2419","仲琦","通信網路業","749862","945583","567011","-20.698447412865924","32.24822798852227","3570105","2014536","77.21723513503854","配合客戶需求出貨量增加"
"110/05/06","110/4","2426","鼎元","光電業","279978","277218","222865","0.9956063459082743","25.626724698808697","1039412","714502","45.47363058465896","-"
"110/05/06","110/4","2430","燦坤","電子通路業","1694800","1520609","1440824","11.455344536300917","17.627135583527203","6941034","5961353","16.43386996207069","-"
"110/05/06","110/4","2436","偉詮電","半導體業","270935","297928","235845","-9.060242743213125","14.878415908753631","1023527","710674","44.022012906058194","-"
"110/05/06","110/4","2439","美律","通信網路業","2830459","2494730","2068643","13.457528470014791","36.82684735838905","10565508","7259250","45.545448910011366","-"
"110/05/06","110/4","2444","兆勁","通信網路業","103635","181116","73511","-42.77976545418406","40.97890111683966","547967","467708","17.16006568200672","-"
"110/05/06","110/4","2449","京元電子","半導體業","2757602","2666096","2584819","3.432209492831466","6.6845299419417765","10388492","9585973","8.371805345164232","-"
"110/05/06","110/4","2455","全新","通信網路業","288878","341623","197081","-15.439534223398308","46.578310440884714","1178095","846716","39.136971546539804","-"
"110/05/06","110/4","2458","義隆","半導體業","1712236","1711954","1039028","0.016472405216495303","64.79209414953206","5868057","3245269","80.81881656035293","居家辦公及授課市場需求增加"
"110/05/06","110/4","2472","立隆電","電子零組件業","815338","762937","683639","6.868325956140547","19.26440709204712","2940516","2251286","30.614946301802615","-"
"110/05/06","110/4","2476","鉅祥","電子零組件業","542646","514086","421577","5.555490715561209","28.71812266798236","1917395","1457428","31.560186849710586","-"
"110/05/06","110/4","2483","百容","電子零組件業","172975","166526","168236","3.8726685322412115","2.8168762928267435","646076","555033","16.40316882059265","-"
"110/05/06","110/4","2486","一詮","光電業","490178","494440","355583","-0.8619852762721463","37.8519220547664","1800590","1179284","52.6850190454547","本公司因新產品應用持續開發及出貨，使營業收入已逐月成長。"
"110/05/06","110/4","2492","華新科","電子零組件業","3948602","3757920","2720924","5.074136756503598","45.11989309513974","14411193","9095207","58.44821343813285","4月合併營收39.5億,較 3月增5.1%,與去年4月比增45.1%,累計較去年增58.5%,受5G應用、雲端及筆電遊戲機需求影響。"
"110/05/06","110/4","2496","卓越","其他","55209","58725","72651","-5.987228607918263","-24.007928314820166","211557","272579","-22.38690434699665","去年本月營收扣除已出售部門為新台幣54,357仟元，成長1.57%；去年累計營收扣除已出售部門為新台幣208,492仟元，成長1.47%。"
"110/05/06","110/4","2497","怡利電","汽車工業","185709","178240","68523","4.190417414721724","171.01703077798695","703248","477096","47.40178077368077","109/4係因受新冠肺炎疫情影響，車廠停工，致營收大幅減少，110/4疫情趨緩訂單增加"
"110/05/06","110/4","2498","宏達電","通信網路業","380022","454722","297166","-16.427619512581312","27.882059185774953","1555109","1626916","-4.413688229754947","-"
"110/05/06","110/4","2504","國產","建材營造","2039703","1957707","1581729","4.188369352512915","28.95401171755718","7132893","5517015","29.288990513892024","-"
"110/05/06","110/4","2511","太子","建材營造","954929","1113554","747117","-14.244931094495643","27.815188250300825","4183722","3370670","24.121376462246378","-"
"110/05/06","110/4","2530","華建","建材營造","745","752","655","-0.9308510638297872","13.740458015267176","2955","2872","2.8899721448467965","-"
"110/05/06","110/4","2539","櫻花建","建材營造","263","234","689502","12.393162393162394","-99.96185652833495","166361","1393746","-88.06375049686241","無異常。本月僅有租賃收入，無建案交屋入帳，致本期營收較去年同期減少。"
"110/05/06","110/4","2548","華固","建材營造","1110724","972651","2623716","14.195533649788054","-57.6659973869123","2261007","3643167","-37.938420061446536","本公司截至4月底累計營收較去年同期減少，係因本期認列交屋金額較低所致。"
