出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/20","103/4","1258","其祥-KY","食品工業","105528","109422","98504","-3.558699347480397","7.1306748964509055","435098","423291","2.7893340515153877","-"
"110/06/20","103/4","1259","安心","觀光事業","333428","340297","324791","-2.018530871562194","2.659248562922002","1347430","1357847","-0.767170380757184","-"
"110/06/20","103/4","1264","德麥","食品工業","292387","276774","178594","5.641064550860992","63.7160262942764","1091461","670794","62.711801238532246","-"
"110/06/20","103/4","1336","台翰","電子零組件業","180721","221138","145650","-18.27682261755103","24.078956402334363","744526","637610","16.768243910854597","-"
"110/06/20","103/4","1565","精華","生技醫療業","455295","450124","413066","1.148794554389457","10.223305718698708","1839918","1535164","19.851559833346794","-"
"110/06/20","103/4","1569","濱川","電腦及週邊設備業","202259","216083","210568","-6.397541685370899","-3.9459936932487367","750189","998282","-24.85199572866184","-"
"110/06/20","103/4","1570","力肯","電機機械","48683","38247","63466","27.285800193479226","-23.29278668893581","178744","194656","-8.174420516192669","-"
"110/06/20","103/4","1580","新麥","電機機械","372750","328658","304727","13.415769584187819","22.322603510683333","1124455","958225","17.34770017480237","-"
"110/06/20","103/4","1584","精剛","其他","90279","92014","124216","-1.8855826287304105","-27.320957042571006","375559","407807","-7.907662202953849","-"
"110/06/20","103/4","1586","和勤","電機機械","144085","129501","116706","11.261689098925878","23.4598049800353","518483","409169","26.716100193318653","-"
"110/06/20","103/4","1591","駿吉-KY","電機機械","62636","61771","54504","1.4003334898253226","14.920005871128724","224471","219918","2.0703171181986013","-"
"110/06/20","103/4","1593","祺驊","生技醫療業","82987","71812","56875","15.561466050242299","45.91120879120879","270569","240845","12.341547468288734","-"
"110/06/20","103/4","1595","川寶","電子零組件業","172750","181122","104195","-4.622298782036418","65.79490378617017","508418","383488","32.57729055407209","-"
"110/06/20","103/4","1599","宏佳騰","電機機械","154070","176162","196407","-12.540729555749822","-21.55574903134817","649935","500791","29.781685373738746","-"
"110/06/20","103/4","1742","台蠟","化學工業","154453","91482","132792","68.83430620231303","16.3119766250979","477300","594392","-19.69945759700669","-"
"110/06/20","103/4","1752","南光","生技醫療業","102769","100361","77591","2.399338388417812","32.44963977780928","373728","305024","22.52412924884599","-"
"110/06/20","103/4","1777","生泰","生技醫療業","47218","59029","52330","-20.008809229361837","-9.768775081215365","199612","178890","11.583654759908324","-"
"110/06/20","103/4","1781","合世","生技醫療業","38404","42205","129643","-9.006041938158987","-70.3771125321074","186234","521052","-64.25807788857927","-"
"110/06/20","103/4","1784","訊聯","生技醫療業","55945","56750","56257","-1.4185022026431717","-0.5545976500702134","200700","227986","-11.968278753958577","-"
"110/06/20","103/4","1785","光洋科","其他電子業","5944681","5064892","3259605","17.37034076935895","82.37427541067092","14804892","12793986","15.71758793545655","-"
"110/06/20","103/4","1788","杏昌","生技醫療業","224380","222653","212466","0.7756464094353096","5.607485432963392","864400","860635","0.43746768374514167","-"
"110/06/20","103/4","1799","易威","生技醫療業","7194","3415","7787","110.6588579795022","-7.615256196224476","24813","29348","-15.452501022216165","-"
"110/06/20","103/4","1813","寶利徠","生技醫療業","30773","38780","41790","-20.6472408457968","-26.362766212012442","138561","166584","-16.822143783316523","-"
"110/06/20","103/4","1815","富喬","電子零組件業","374327","427930","282451","-12.526114084079172","32.52811992168553","1444618","1388702","4.026493805006401","-"
"110/06/20","103/4","2035","唐榮公司","鋼鐵工業","2153093","1910511","1348426","12.697231264305728","59.674539055165056","7129352","6242059","14.21474869109696","-"
"110/06/20","103/4","2061","風青","電器電纜","123387","125942","194557","-2.0287116291626304","-36.580539379205064","444940","719782","-38.18406128522247","-"
"110/06/20","103/4","2063","世鎧","鋼鐵工業","44532","64173","54648","-30.60632976485438","-18.511198945981555","199959","184612","8.313110740363573","-"
"110/06/20","103/4","2064","晉椿","鋼鐵工業","232925","232827","236831","0.04209133820390247","-1.6492773327816037","878517","967367","-9.184725135341603","-"
"110/06/20","103/4","2065","世豐","鋼鐵工業","83910","69262","94490","21.148681816869278","-11.19695205841888","304350","413179","-26.33943157808117","-"
"110/06/20","103/4","2066","世德","電機機械","110269","110180","97996","0.08077691051007442","12.523980570635537","404778","318733","26.99594958789959","-"
"110/06/20","103/4","2067","嘉鋼","電機機械","118575","105519","70954","12.37312711454809","67.11531414719396","403359","307509","31.169819419919417","10304及10204自結數"
"110/06/20","103/4","2221","大甲","其他","45303","39905","94083","13.52712692645032","-51.84783648480597","187157","267007","-29.905582999696637","-"
"110/06/20","103/4","2230","泰茂","電機機械","26721","30688","30706","-12.926876955161626","-12.977919624829024","111894","127768","-12.42408114707908","-"
"110/06/20","103/4","2235","謚源","電機機械","85721","90130","57875","-4.891822922445357","48.11403887688985","284774","201255","41.4990931902313","-"
"110/06/20","103/4","2596","綠意","建材營造","53007","56487","11780","-6.160709543788836","349.97453310696096","223684","322647","-30.672220724197032","-"
"110/06/20","103/4","2640","大車隊","其他","99720","98627","83307","1.1082158029748446","19.701825776945515","394987","318206","24.12933759891391","-"
"110/06/20","103/4","2641","正德","航運業","44801","64314","63024","-30.340205864974966","-28.914381822797665","214375","208315","2.9090559969277296","-"
"110/06/20","103/4","2643","捷迅","航運業","254242","150385","0","69.06074409016857","","730220","0","","去年同期因本公司為公開發行公司，尚未採用IFRSs，故未輸入"
"110/06/20","103/4","2718","晶悅","觀光事業","22938","23364","22391","-1.8233179250128402","2.4429458264481263","88840","83639","6.218390942024653","-"
"110/06/20","103/4","2719","燦星旅","觀光事業","202246","215345","208404","-6.082797371659431","-2.9548377190457","961875","957571","0.44947058755956476","-"
"110/06/20","103/4","2724","富驛-KY","觀光事業","82867","80962","82310","2.3529557076159184","0.6767099987850808","293975","266312","10.387440295593139","-"
"110/06/20","103/4","2726","雅茗-KY","觀光事業","123715","114680","105794","7.878444366934078","16.939523980566005","498693","436715","14.191864259299543","-"
"110/06/20","103/4","2729","瓦城","觀光事業","196621","205377","160770","-4.2633790541297225","22.299558375318778","914140","700459","30.505854018579246","-"
"110/06/20","103/4","2732","六角","觀光事業","103445","113421","72395","-8.795549325080893","42.88970232750881","393921","290911","35.40945512545074","-"
"110/06/20","103/4","2734","易飛網","觀光事業","153985","134452","141471","14.527861244161485","8.845629139540966","534719","459946","16.25690841968405","-"
"110/06/20","103/4","2736","高野","觀光事業","62031","70648","56648","-12.19708979730495","9.502542013839854","286913","255605","12.248586686488919","-"
"110/06/20","103/4","2916","滿心","貿易百貨","104616","85645","102173","22.150738513631854","2.3910426433597918","431010","446924","-3.5607843839220985","-"
"110/06/20","103/4","2924","東凌-KY","貿易百貨","123411","127779","116959","-3.4184020848496233","5.516463034054668","475377","497072","-4.364558856664628","-"
"110/06/20","103/4","2926","誠品生活","文化創意業","269079","280464","255463","-4.059344514804039","5.329930361735359","1137176","1077183","5.569434348666847","-"
"110/06/20","103/4","3064","泰偉","文化創意業","13193","32835","32443","-59.82031368966042","-59.33483340011713","88764","103683","-14.389051242730245","-"
"110/06/20","103/4","3066","李洲","光電業","58685","63697","45509","-7.868502441245271","28.952514887165176","213067","172490","23.524262276073976","-"
"110/06/20","103/4","3067","全域","其他電子業","26084","31338","39042","-16.765588103899418","-33.1898980585011","98976","141153","-29.880342606958408","-"
"110/06/20","103/4","3071","協禧","電腦及週邊設備業","238629","216581","247152","10.180025025279226","-3.4484851427461645","869201","861218","0.9269430039780868","-"
"110/06/20","103/4","3073","天方能源","半導體業","5898","4446","16912","32.658569500674766","-65.12535477767265","20009","62690","-68.0826288084224","-"
"110/06/20","103/4","3078","僑威","電子零組件業","566863","502291","457333","12.855496116792855","23.949725910878943","1855281","1478292","25.50166002386538","-"
"110/06/20","103/4","3081","聯亞","通信網路業","109886","104095","68991","5.5631874729814115","59.27584757432129","393900","243602","61.698179817899685","-"
"110/06/20","103/4","3083","網龍","文化創意業","27386","48782","44631","-43.86044032634988","-38.6390625350093","175489","246494","-28.805974993306126","-"
"110/06/20","103/4","3085","新零售","電子商務","33888","33034","30304","2.5852152327904583","11.826821541710665","132328","132078","0.18928209088568876","-"
