出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","104/3","1258","其祥-KY","食品工業","102385","109523","109422","-6.517352519562101","-6.4310650509038405","324227","329524","-1.6074701690923878","-"
"110/06/19","104/3","1259","安心","觀光事業","352348","359707","340297","-2.0458317463935924","3.5413183189978166","1053341","1014002","3.879578146788665","-"
"110/06/19","104/3","1264","德麥","食品工業","304441","231041","276774","31.76925307629382","9.996242421614747","938274","799075","17.420016894534307","-"
"110/06/19","104/3","1336","台翰","電子零組件業","138782","95604","221138","45.16338228526003","-37.241903245936925","421348","563805","-25.2670692881404","-"
"110/06/19","104/3","1565","精華","生技醫療業","440842","450750","450124","-2.198114254021076","-2.062098443984324","1346070","1384623","-2.7843680193092273","-"
"110/06/19","104/3","1569","濱川","電腦及週邊設備業","177652","140433","216083","26.50302991462121","-17.785295465168478","551919","547930","0.7280127023524903","-"
"110/06/19","104/3","1570","力肯","電機機械","60527","62972","38247","-3.8826780156259924","58.25293487070881","174888","130061","34.46613512121235","-"
"110/06/19","104/3","1580","新麥","電機機械","319286","140713","328658","126.90582959641256","-2.8515964924024364","841563","755671","11.366322116370748","-"
"110/06/19","104/3","1584","精剛","其他","103525","84448","92014","22.59023304281925","12.510052818049427","280254","285280","-1.7617779024116658","-"
"110/06/19","104/3","1586","和勤","電機機械","145602","127776","129501","13.950976709241171","12.433108624643825","422502","374397","12.848660646319281","-"
"110/06/19","104/3","1591","駿吉-KY","電機機械","80334","62292","61771","28.96359083028318","30.051318579916142","214998","161835","32.85012512744462","-"
"110/06/19","104/3","1593","祺驊","生技醫療業","78607","41001","71812","91.71971415331333","9.462206873503035","201950","187582","7.659583542130908","-"
"110/06/19","104/3","1595","川寶","電子零組件業","173420","102813","181122","68.67516753717915","-4.252382372102781","350078","335668","4.292932302155702","-"
"110/06/19","104/3","1599","宏佳騰","電機機械","161368","79335","176162","103.40076889140984","-8.39795188519658","392710","495865","-20.80304115031309","-"
"110/06/19","104/3","1742","台蠟","化學工業","61288","36183","91482","69.38341209960478","-33.00539996939288","142384","322846","-55.89723893125515","主因中油公司於103年9月停止供應本公司粗蠟，本公司生產之油蠟亦停止銷售中油，故103年10月起銷售量大幅下降致營業收入減少。"
"110/06/19","104/3","1752","南光","生技醫療業","111580","101173","100361","10.286341217518508","11.178645091220693","357400","270959","31.901874453330578","-"
"110/06/19","104/3","1777","生泰","生技醫療業","64198","51795","59029","23.94632686552756","8.756712802181978","167505","152394","9.915744714358834","-"
"110/06/19","104/3","1781","合世","生技醫療業","54508","53426","42214","2.0252311608580094","29.123039749846022","163448","147830","10.564837989582628","-"
"110/06/19","104/3","1784","訊聯","生技醫療業","54406","42522","56750","27.947885800291616","-4.130396475770925","144404","144755","-0.24247867085765604","-"
"110/06/19","104/3","1785","光洋科","其他電子業","7586042","4559165","5064892","66.39103870993921","49.77697451396792","19497129","8860211","120.05264885903959","-"
"110/06/19","104/3","1788","杏昌","生技醫療業","224405","208811","222653","7.467997375617185","0.7868746435035683","629367","640020","-1.6644792350239055","-"
"110/06/19","104/3","1796","金穎生技","食品工業","25361","15968","25236","58.82389779559118","0.49532414011729275","70998","52833","34.381920390664924","-"
"110/06/19","104/3","1799","易威","生技醫療業","51264","21300","3415","140.67605633802816","1401.1420204978037","128034","17619","626.6814234633066","-"
"110/06/19","104/3","1813","寶利徠","生技醫療業","41944","27973","38780","49.944589425517464","8.15884476534296","108565","107788","0.7208594648754963","-"
"110/06/19","104/3","1815","富喬","電子零組件業","420124","406974","427930","3.2311646444244597","-1.8241301147383917","1237060","1070291","15.581650224097933","-"
"110/06/19","104/3","2035","唐榮公司","鋼鐵工業","1527869","1114650","1910511","37.07163683667519","-20.028254220991137","4058885","4976259","-18.435013129340735","-"
"110/06/19","104/3","2061","風青","電器電纜","96696","55712","125942","73.56404365307294","-23.221800511346494","259116","321553","-19.417327781112288","-"
"110/06/19","104/3","2063","世鎧","鋼鐵工業","54016","27918","64173","93.4809083745254","-15.827528711451857","134016","155427","-13.77559883417939","-"
"110/06/19","104/3","2064","晉椿","鋼鐵工業","239668","152090","232827","57.58301005983299","2.9382331087030282","616808","645592","-4.458543476375172","-"
"110/06/19","104/3","2065","世豐","鋼鐵工業","115382","78658","69262","46.688194462101755","66.58773930871185","298686","220440","35.49537289058247","-"
"110/06/19","104/3","2066","世德","電機機械","120195","88847","110180","35.2831271736806","9.089671446723543","311403","294510","5.735968218396659","-"
"110/06/19","104/3","2067","嘉鋼","電機機械","81242","63807","105520","27.324588211324777","-23.007960576194087","223201","284785","-21.624734448794705","10403及10303自結數"
"110/06/19","104/3","2221","大甲","其他","53401","51916","39905","2.8603898605439557","33.820323267760934","165968","141853","16.999992950448704","-"
"110/06/19","104/3","2230","泰茂","電機機械","36458","23882","30688","52.658906289255505","18.80213764337852","93983","85174","10.342357996571724","-"
"110/06/19","104/3","2235","謚源","電機機械","81774","51593","90130","58.49824588606982","-9.271052923554866","214499","199053","7.759742380170105","-"
"110/06/19","104/3","2596","綠意","建材營造","42909","66664","56487","-35.63392535701428","-24.037389133782995","234001","170676","37.102463146546675","-"
"110/06/19","104/3","2640","大車隊","其他","122183","129263","98627","-5.477205387465864","23.88392630821175","386718","295266","30.972749994919834","-"
"110/06/19","104/3","2641","正德","航運業","64215","56666","64314","13.321921434369816","-0.15393226980128744","184327","169574","8.70003656220883","-"
"110/06/19","104/3","2643","捷迅","航運業","216032","175387","150385","23.174465610336","43.65262492934801","620697","475978","30.40455651311615","-"
