出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","104/10","1258","其祥-KY","食品工業","165386","181447","112507","-8.851620583421054","47.00063107184442","1476449","1088164","35.68258093449149","毛雞及雛雞銷售增加。"
"110/06/19","104/10","1259","安心","觀光事業","371676","370414","323129","0.34069986555583753","15.02403065029756","3714800","3599067","3.2156389419813523","-"
"110/06/19","104/10","1264","德麥","食品工業","312206","342750","298806","-8.911451495258936","4.484515036511985","3150775","2800437","12.5101189564343","-"
"110/06/19","104/10","1268","漢來美食","觀光事業","242268","232826","172410","4.055389002946407","40.51853140769097","2380950","1788825","33.10133747012704","-"
"110/06/19","104/10","1336","台翰","電子零組件業","211943","153681","146552","37.910997455768765","44.61965718652765","1438357","1754566","-18.022063575835848","-"
"110/06/19","104/10","1565","精華","生技醫療業","546170","534045","435545","2.2704079244258444","25.399212480914716","4771586","4506529","5.881621975582538","-"
"110/06/19","104/10","1569","濱川","電腦及週邊設備業","221920","239965","209479","-7.519846644302294","5.939020140443672","1901164","2128538","-10.682167760218515","-"
"110/06/19","104/10","1570","力肯","電機機械","68644","53218","23921","28.986433161712203","186.96124743948832","618870","453662","36.41653918556106","今年產業景氣暢旺，去年同期客戶正巧進行存貨調整，因而今年營收較去年同期有巨幅成長。"
"110/06/19","104/10","1580","新麥","電機機械","320784","366978","362213","-12.58767555548289","-11.437745194126109","3239629","3389076","-4.409668003904309","-"
"110/06/19","104/10","1584","精剛","其他","43143","51693","80012","-16.539957054146598","-46.07933809928511","861821","922951","-6.623320197930334","-"
"110/06/19","104/10","1586","和勤","電機機械","141730","120813","150874","17.313534139537964","-6.0606864005726635","1344128","1365621","-1.5738627335109814","-"
"110/06/19","104/10","1591","駿吉-KY","電機機械","32124","45288","64230","-29.067302596714363","-49.98598785614199","500936","600683","-16.6055972950791","-"
"110/06/19","104/10","1593","祺驊","生技醫療業","74384","71216","85292","4.448438553134127","-12.78900717535056","696945","746726","-6.666568460184861","-"
"110/06/19","104/10","1595","川寶","電子零組件業","39936","77604","74202","-48.53873511674656","-46.1793482655454","985572","1170071","-15.76818842617243","-"
"110/06/19","104/10","1599","宏佳騰","電機機械","417918","385803","385425","8.324196545905552","8.430433936563533","2507481","2071758","21.03155870521557","-"
"110/06/19","104/10","1742","台蠟","化學工業","44520","62260","76413","-28.493414712495984","-41.73766243963723","520143","1089881","-52.275248398678386","主因中油公司於103年9月停止供應本公司粗蠟，本公司生產之油蠟亦停止銷售中油，故103年10月起銷售量大幅下降致營業收入減少。"
"110/06/19","104/10","1752","南光","生技醫療業","131672","111269","119411","18.33664362940262","10.267898267328805","1240864","1037286","19.626024066650857","-"
"110/06/19","104/10","1777","生泰","生技醫療業","54326","57973","50696","-6.290859538060821","7.160328231024144","557478","511658","8.95520054411345","-"
"110/06/19","104/10","1781","合世","生技醫療業","39526","83333","55421","-52.5686102744411","-28.680464084011476","607769","533878","13.840427962942845","-"
"110/06/19","104/10","1784","訊聯","生技醫療業","58641","54328","56491","7.938816080106022","3.8059159866173373","527941","526410","0.2908379400087384","-"
"110/06/19","104/10","1785","光洋科","其他電子業","2798014","5578257","4077892","-49.840711892621655","-31.38577480717979","53750920","41032906","30.99467047252271","-"
"110/06/19","104/10","1788","杏昌","生技醫療業","242047","234133","219060","3.380130096996152","10.493472108098238","2236311","2218914","0.7840321887193465","-"
"110/06/19","104/10","1796","金穎生技","食品工業","41946","28701","19676","46.14821783213129","113.18357389713357","299983","178951","67.63415683622891","-"
"110/06/19","104/10","1799","易威","生技醫療業","22300","20355","24665","9.55539179562761","-9.588485708493817","397672","97606","307.42577300575783","原料藥業務營收增加"
"110/06/19","104/10","1813","寶利徠","生技醫療業","34389","29928","28621","14.905773857257417","20.153034485168234","338162","320402","5.543036560321097","-"
"110/06/19","104/10","1815","富喬","電子零組件業","404993","390110","411432","3.815077798569634","-1.5650216803748858","4098267","3877175","5.7023992984582845","-"
"110/06/19","104/10","2035","唐榮公司","鋼鐵工業","1089319","1084122","1253461","0.479374092583676","-13.095102280804907","12895490","18249365","-29.337322147921313","-"
"110/06/19","104/10","2061","風青","電器電纜","100925","73650","87805","37.03326544467074","14.942201469164626","908486","1071552","-15.217740249656574","-"
"110/06/19","104/10","2063","世鎧","鋼鐵工業","64692","52511","68610","23.19704442878635","-5.7105378224748575","549568","599626","-8.348203713648173","-"
"110/06/19","104/10","2064","晉椿","鋼鐵工業","192689","141925","255272","35.76818742293465","-24.51620232536275","1957097","2346766","-16.604510206812268","-"
"110/06/19","104/10","2065","世豐","鋼鐵工業","91072","92883","75685","-1.9497647578135935","20.33031644315254","982250","840962","16.8007591306147","-"
"110/06/19","104/10","2066","世德","電機機械","108195","111559","104357","-3.0154447422440143","3.677759996933603","1083658","1048893","3.314446754816745","-"
"110/06/19","104/10","2067","嘉鋼","電機機械","66302","74894","82984","-11.472214062541726","-20.102670394292875","676804","990449","-31.66695104947352","10410及10310自結數"
"110/06/19","104/10","2070","精湛","電機機械","73700","0","38676","","90.55745164960182","578424","431150","34.15841354516989","因產能擴充及積極拓展市場使得營收成長"
"110/06/19","104/10","2221","大甲","其他","145270","84864","68673","71.17976998491704","111.53874157237925","704600","574183","22.71349029838919","本公司相關工程案訂單持續出貨所致"
"110/06/19","104/10","2230","泰茂","電機機械","21824","29212","31535","-25.290976311105027","-30.794355478040274","300390","293265","2.4295432458697763","-"
"110/06/19","104/10","2235","謚源","電機機械","71924","73233","69040","-1.7874455505031885","4.177288528389339","731001","703527","3.905180611405106","-"
"110/06/19","104/10","2596","綠意","建材營造","201","71","56563","183.09859154929578","-99.64464402524618","289529","689925","-58.03471391817951","因本公司在建個案「綠意皇邑」尚未完工入帳,致104年10月單月及截至104年10月累計營收均較103年同期減少"
"110/06/19","104/10","2640","大車隊","其他","143042","134426","143068","6.409474357639147","-0.01817317639164593","1350856","1197827","12.775551060378502","-"
"110/06/19","104/10","2641","正德","航運業","64571","57994","56508","11.340828361554644","14.26877610249876","614702","561292","9.515546275378947","-"
"110/06/19","104/10","2643","捷迅","航運業","273601","239511","210538","14.233166743907377","29.953262593926038","2178022","1957847","11.245771503084766","-"
"110/06/19","104/10","2718","晶悅","觀光事業","27944","18437","23811","51.56478819764604","17.357523833522322","232010","220828","5.06366946220588","-"
"110/06/19","104/10","2719","燦星旅","觀光事業","212532","198687","242129","6.9682465385254195","-12.223649376984996","2660212","2747279","-3.1692085150434304","-"
"110/06/19","104/10","2724","富驛-KY","觀光事業","80874","69354","89273","16.610433428497274","-9.408219730489622","752193","855622","-12.088165100944108","-"
"110/06/19","104/10","2726","雅茗-KY","觀光事業","129617","147784","114884","-12.292941049098685","12.824240103060479","1330185","1270064","4.733698459290241","-"
"110/06/19","104/10","2729","瓦城","觀光事業","276436","252147","234765","9.63287288764094","17.750090516047962","2884811","2435380","18.45424533337713","-"
"110/06/19","104/10","2732","六角","觀光事業","151210","151806","145067","-0.3926063528450786","4.23459504918417","1335903","1112297","20.10308397846978","-"
"110/06/19","104/10","2734","易飛網","觀光事業","150063","157874","135757","-4.947616453627576","10.537946477898009","1541050","1390443","10.83158389088945","-"
"110/06/19","104/10","2736","高野","觀光事業","75164","53484","73259","40.53548724852292","2.6003630953193464","686730","690584","-0.5580783800377651","-"
"110/06/19","104/10","2740","天蔥","觀光事業","62244","60109","66806","3.5518807499708864","-6.828727958566596","745909","746927","-0.13629176612975566","-"
"110/06/19","104/10","2743","山富","觀光事業","517638","416606","465634","24.251210976318152","11.168428422323112","5028243","4329174","16.147861000735936","-"
"110/06/19","104/10","2745","五福","觀光事業","551835","383655","430649","43.83625913907026","28.140318449595842","5252497","4209538","24.776091818152015","-"
"110/06/19","104/10","2916","滿心","貿易百貨","174025","84633","188356","105.6231020996538","-7.608464821932936","1105011","1062253","4.025218097760138","-"
"110/06/19","104/10","2924","東凌-KY","貿易百貨","118243","126075","153062","-6.212175292484632","-22.748298075289753","1091787","1235158","-11.607502845789769","-"
"110/06/19","104/10","2926","誠品生活","文化創意業","401784","283284","319891","41.83081289448045","25.60028259625935","3043135","2893901","5.15684537929943","-"
"110/06/19","104/10","3064","泰偉","文化創意業","13257","30560","7967","-56.61976439790576","66.39889544370529","114487","132620","-13.672900015080682","機台訂單出貨較去年同期增加"
"110/06/19","104/10","3066","李洲","光電業","35568","42737","43917","-16.774691719119264","-19.01086139763645","417791","488764","-14.520913978934619","-"
"110/06/19","104/10","3067","全域","其他電子業","21360","22722","27829","-5.9941906522313175","-23.245535233030292","247067","248693","-0.6538181613475249","-"
"110/06/19","104/10","3071","協禧","電腦及週邊設備業","187522","212170","216771","-11.61709949568742","-13.493041043312989","1981714","2181520","-9.159026733653599","-"
"110/06/19","104/10","3073","天方能源","半導體業","3271","2554","5672","28.07361002349256","-42.330747531734836","35381","63951","-44.67482916608028","-"
"110/06/19","104/10","3078","僑威","電子零組件業","651419","635594","526879","2.4897969458490796","23.63730571914994","4493317","4793249","-6.257384083322189","-"
"110/06/19","104/10","3081","聯亞","通信網路業","205349","191659","116403","7.142894411428631","76.41211996254393","1612244","1057469","52.4625308165062","磊晶片銷售成長"
"110/06/19","104/10","3083","網龍","文化創意業","29686","25976","22428","14.282414536495226","32.36133404672731","286214","360910","-20.696572552713974","-"
"110/06/19","104/10","3085","新零售","電子商務","29952","22368","29337","33.90557939914163","2.0963288679824115","276506","292237","-5.382959721048327","-"
"110/06/19","104/10","3086","華義","文化創意業","37274","29035","26920","28.37609781298433","38.46210995542348","365256","409873","-10.885566992702618","-"
"110/06/19","104/10","3088","艾訊","電腦及週邊設備業","442973","423189","294804","4.674979737185986","50.26017286061248","3845825","3598027","6.887052265033031","本集團本月合併營收較去年同期增加148,169仟元，成長50.26％，主要係美洲地區營收較去年同期增加157,886仟元，成長53.56%所致。"
