"","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60","LowLabel","StatusCount","MartketStatus"
"1",6205517,430981397,69,69.85,68.95,69.1,0.0999999999999943,1517,2015-04-09,68.5,69.85,44.4444444444442,35.2514363609999,33.3886140818938,68.5866666666667,"High",1,"NoTrend"
"2",4600451,320214513,69.7,69.8,69.45,69.65,0.550000000000011,865,2015-04-10,68.5,69.85,85.185185185186,51.8960193023953,39.5577491553943,68.6383333333333,"High",2,"NoTrend"
"3",4199759,293101091,69.9,69.95,69.65,69.85,0.199999999999989,782,2015-04-13,68.5,69.95,93.1034482758615,65.6318289602173,48.2491090903353,68.7208333333333,"High",3,"NoTrend"
"4",4562606,317629802,69.85,69.85,69.5,69.5,-0.349999999999994,622,2015-04-14,68.5,69.95,68.9655172413792,66.7430583872713,54.4137588559806,68.7958333333333,"High",4,"NoTrend"
"5",17266917,1185132897,69.25,69.5,68.4,68.65,-0.849999999999994,3412,2015-04-15,68.4,69.95,16.1290322580645,49.8717163442024,52.8997446853879,68.8316666666667,"Low",1,"NoTrend"
"6",15774474,1096081678,68.95,69.7,68.9,69.7,1.05,2442,2015-04-16,68.4,69.95,83.8709677419355,61.2048001434467,55.6680965047408,68.8908333333333,"High",1,"NoTrend"
"7",9237191,637969374,69.55,69.55,68.9,69.05,-0.650000000000006,1286,2015-04-17,68.4,69.95,41.9354838709673,54.7816947192869,55.3726292429229,68.9458333333333,"High",2,"NoTrend"
"8",9571501,657845763,68.7,69.15,68.55,68.95,-0.0999999999999943,1586,2015-04-20,68.4,69.95,35.4838709677418,48.3490868021052,53.031448429317,68.9958333333333,"Low",1,"NoTrend"
"9",2864363,197793548,69.05,69.3,68.85,68.95,0,776,2015-04-21,68.4,69.95,35.4838709677418,44.0606815239841,50.041192794206,69.0516666666667,"Low",2,"NoTrend"
"10",11311979,787537471,69.3,69.8,69.25,69.65,0.700000000000003,1473,2015-04-22,68.4,69.95,80.6451612903227,56.2555081127636,52.1126312337252,69.1158333333333,"High",1,"NoTrend"
"11",24334093,1724238391,70.2,71.5,70.15,71.5,1.84999999999999,4719,2015-04-23,68.4,71.5,100,70.8370054085091,58.3540892919865,69.2158333333333,"High",2,"NoTrend"
"12",26527170,1917092274,71.7,72.85,71.7,72.2,0.700000000000003,4260,2015-04-24,68.4,72.85,85.3932584269664,75.6890897479949,64.1324227773226,69.315,"High",3,"NoTrend"
"13",13281661,968278044,73,73.3,72.6,72.75,0.549999999999997,3106,2015-04-27,68.4,73.3,88.7755102040817,80.0512299000238,69.438691818223,69.415,"High",4,"NoTrend"
"14",16465262,1195111839,72.85,73.1,72.35,72.6,-0.150000000000006,2130,2015-04-28,68.55,73.3,85.2631578947368,81.7885392315948,73.5553076226803,69.5041666666666,"High",5,"NoTrend"
"15",10074684,725594690,72.5,72.7,71.6,71.8,-0.799999999999997,1811,2015-04-29,68.55,73.3,68.4210526315789,77.3327103649228,74.8144418700945,69.5741666666666,"High",6,"NoTrend"
"16",6780532,484999522,71.6,71.8,71.15,71.45,-0.349999999999994,1457,2015-04-30,68.55,73.3,61.0526315789475,71.9060174362644,73.8449670588178,69.62,"High",7,"NoTrend"
"17",5381376,383599096,71.45,71.65,70.85,71.6,0.149999999999991,1220,2015-05-04,68.85,73.3,61.7977528089887,68.5365958938391,72.0755100038249,69.6683333333333,"High",8,"NoTrend"
"18",6801050,483838544,71.4,71.4,70.9,71.2,-0.399999999999991,1174,2015-05-05,69.25,73.3,48.1481481481483,61.7404466452755,68.6304888843084,69.7025,"High",9,"NoTrend"
"19",6603488,468611056,70.8,71.4,70.5,71.3,0.0999999999999943,1301,2015-05-06,70.15,73.3,36.5079365079363,53.3296099328291,63.530195900482,69.7383333333333,"High",10,"Bull"
"20",10204224,718490164,70.8,70.8,70.15,70.45,-0.849999999999994,1945,2015-05-07,70.15,73.3,9.52380952380946,38.7276764631559,55.2626894213733,69.7741666666667,"High",11,"Bull"
"21",5647296,398589652,70.45,70.65,70.45,70.5,0.0499999999999972,1082,2015-05-08,70.15,73.3,11.111111111111,29.5221546791409,46.6825111739625,69.8158333333333,"High",12,"Bull"
"22",11222257,793547954,71,71.2,70.3,70.85,0.349999999999994,1986,2015-05-11,70.15,73.1,23.7288135593217,27.5910409725345,40.3186877734865,69.8608333333333,"High",13,"Bull"
"23",9064022,640522400,70.6,70.85,70.55,70.7,-0.149999999999991,1712,2015-05-12,70.15,72.7,21.5686274509803,25.5835697986831,35.4069817818854,69.895,"High",14,"Bull"
"24",6874083,488179679,70.7,71.2,70.7,71.1,0.399999999999991,1146,2015-05-13,70.15,71.8,57.5757575757572,36.2476323910411,35.687198651604,69.9233333333334,"High",15,"Bull"
"25",16520264,1161687961,70.85,70.95,70,70.1,-1,3256,2015-05-14,70,71.65,6.0606060606057,26.185290280896,32.519895861368,69.94,"High",16,"Bull"
"26",11642867,815422387,70.3,70.35,69.7,70,-0.0999999999999943,2197,2015-05-15,69.7,71.4,17.6470588235292,23.3392131284404,29.4596682837254,69.9608333333334,"High",17,"Bull"
"27",3248292,227961241,70.05,70.3,70,70.25,0.25,950,2015-05-18,69.7,71.4,32.3529411764704,26.3437891444504,28.4210419039671,69.99,"High",18,"Bull"
"28",8458272,601702901,70.4,71.45,70.4,71.3,1.05,2147,2015-05-19,69.7,71.45,91.4285714285711,48.0387165724906,34.9602667934749,70.0408333333334,"High",19,"Bull"
"29",7530606,534194695,71.25,71.25,70.8,70.8,-0.5,1216,2015-05-20,69.7,71.45,62.8571428571425,52.9781920007079,40.9662418625526,70.0708333333334,"High",20,"Bull"
"30",11567932,809811559,70.15,70.2,69.75,70.15,-0.649999999999991,2097,2015-05-21,69.7,71.45,25.7142857142859,43.8902232385672,41.9409023212241,70.09,"High",21,"Bull"
"31",6152758,435042013,70.2,70.95,70.2,70.7,0.549999999999997,1234,2015-05-22,69.7,71.45,57.1428571428571,48.3077678733305,44.0631908385929,70.1108333333334,"High",22,"Bull"
"32",2391058,169027182,70.45,70.95,70.3,70.7,0,734,2015-05-25,69.7,71.45,57.1428571428571,51.2527976298394,46.4597264356751,70.1183333333334,"High",23,"Bull"
"33",7521312,535292867,71.2,71.6,70.8,71,0.299999999999997,1247,2015-05-26,69.7,71.6,68.4210526315791,56.975549297086,49.9650007228121,70.1216666666667,"High",24,"Bull"
"34",5812358,413273073,70.85,71.3,70.7,71.15,0.150000000000006,974,2015-05-27,69.7,71.6,76.3157894736847,63.4222960226189,54.4507658227477,70.1358333333333,"High",25,"Bull"
"35",5790144,414080476,71.75,71.9,71.25,71.5,0.349999999999994,1285,2015-05-28,69.75,71.9,81.3953488372091,69.4133136274823,59.4382817576592,70.1608333333333,"High",26,"Bull"
"36",4900148,349371690,71.7,71.7,71.05,71.1,-0.400000000000006,1635,2015-05-29,69.75,71.9,62.7906976744182,67.2057749764609,62.0274461639264,70.1808333333334,"High",27,"Bull"
"37",7850223,553306871,71.1,71.15,70.25,70.5,-0.599999999999994,1749,2015-06-01,69.75,71.9,34.8837209302325,56.4317569610514,60.1622164296348,70.19,"High",28,"Bull"
"38",4867412,341989139,70.45,70.5,70,70.4,-0.0999999999999943,1142,2015-06-02,69.75,71.9,30.2325581395351,47.6986906872126,56.0077078488274,70.2016666666667,"High",29,"Bull"
"39",6558304,459976121,70.3,70.4,69.9,69.95,-0.450000000000003,1466,2015-06-03,69.9,71.9,2.49999999999986,32.6324604581417,48.2159587185988,70.2041666666667,"Low",1,"NoTrend"
"40",28182317,1941540073,69.8,69.9,68.35,68.6,-1.35000000000001,5559,2015-06-04,68.35,71.9,7.04225352112674,24.1023914791367,40.1781029721115,70.1958333333334,"Low",2,"NoTrend"
"41",15106306,1033376164,68.5,68.6,68.2,68.45,-0.149999999999991,2804,2015-06-05,68.2,71.9,6.75675675675675,18.3205132383434,32.8922397275221,70.1875,"Low",3,"NoTrend"
"42",9094127,622037152,68.3,69.05,68,68.9,0.450000000000003,2538,2015-06-08,68,71.9,23.0769230769232,19.9059831845367,28.563487546527,70.185,"Low",4,"NoTrend"
"43",18429951,1258036692,68.5,68.6,68,68.35,-0.550000000000011,2856,2015-06-09,68,71.9,8.97435897435882,16.2621084478107,24.4630278469549,70.1633333333334,"Low",5,"NoTrend"
"44",8666901,595189468,68.55,68.9,68.45,68.65,0.300000000000011,1959,2015-06-10,68,71.7,17.5675675675677,16.6972614877297,21.8744390605465,70.15,"Low",6,"NoTrend"
"45",7352571,504746450,68.8,68.9,68.4,68.85,0.199999999999989,1254,2015-06-11,68,71.15,26.9841269841268,20.1262166531954,21.2916982580961,70.1491666666667,"Low",7,"NoTrend"
"46",3175799,218259470,68.9,69,68.45,68.8,-0.0499999999999972,870,2015-06-12,68,70.5,31.9999999999999,24.0841444354635,22.2225136505519,70.1433333333334,"Low",8,"NoTrend"
"47",3761616,258521656,68.8,69,68.5,68.65,-0.149999999999991,971,2015-06-15,68,70.4,27.0833333333335,25.0838740680869,23.1763004563969,70.1225,"Low",9,"NoTrend"
"48",8681702,592299290,68.65,68.65,68.05,68.2,-0.450000000000003,1749,2015-06-16,68,69.9,10.5263157894738,20.2313546418825,22.1946518515588,70.0816666666667,"Low",10,"Bear"
"49",5564580,380966978,68.2,68.75,68.2,68.5,0.299999999999997,1585,2015-06-17,68,69.05,47.6190476190477,29.3605856342709,24.5832964457962,70.0475,"Low",11,"Bear"
"50",10688270,730684809,68.45,68.55,68.2,68.4,-0.0999999999999943,1343,2015-06-18,68,69.05,38.0952380952387,32.2721364545935,27.1462431153953,70.0083333333334,"Low",12,"Bear"
"51",11310165,782304510,68.75,69.4,68.75,69.35,0.949999999999989,1920,2015-06-22,68,69.4,96.4285714285706,53.6576147792526,35.9833670033477,69.9891666666667,"Low",13,"Bear"
"52",5311263,369513247,69.55,69.85,69.35,69.55,0.200000000000003,1515,2015-06-23,68.05,69.85,83.3333333333335,63.5495209639462,45.1720849902139,69.9775,"Low",14,"Bear"
"53",6127048,426268842,69.6,69.7,69.4,69.65,0.100000000000009,1203,2015-06-24,68.05,69.85,88.8888888888895,71.9959769389273,54.1133823064517,69.9816666666667,"Low",15,"Bear"
"54",13815425,972267505,70,70.65,70,70.45,0.799999999999997,2531,2015-06-25,68.05,70.65,92.3076923076922,78.7665487285156,62.3311044471397,70.01,"High",1,"NoTrend"
"55",4926733,346310265,70.45,70.45,70.15,70.45,0,1336,2015-06-26,68.05,70.65,92.3076923076922,83.2802632549078,69.3141573830624,70.0375,"High",2,"NoTrend"
"56",11576161,800533393,69.35,69.6,68.75,68.8,-1.65000000000001,2885,2015-06-29,68.05,70.65,28.8461538461538,65.1355601186565,67.9212916282604,70.0333333333334,"Low",1,"NoTrend"
"57",4093490,282871294,68.8,69.4,68.8,69.4,0.600000000000009,1284,2015-06-30,68.2,70.65,48.9795918367348,59.7502373580159,65.1976068715122,70.0458333333334,"Low",2,"NoTrend"
"58",6063171,424660570,69.4,70.3,69.25,70.05,0.649999999999991,1853,2015-07-01,68.2,70.65,75.5102040816323,65.0035595992214,65.1329244474153,70.055,"Low",3,"NoTrend"
"59",4340672,303948992,70.2,70.25,69.85,70.1,0.0499999999999972,747,2015-07-02,68.75,70.65,71.0526315789469,67.0199169257965,65.761921940209,70.0633333333334,"High",1,"NoTrend"
"60",7762464,540423608,70,70.2,69.25,70.1,0,1679,2015-07-03,68.75,70.65,71.0526315789469,68.3641551435133,66.6293330079771,70.0816666666667,"High",2,"NoTrend"
"61",7584634,526949522,69.55,70.05,69.2,69.3,-0.799999999999997,1559,2015-07-06,68.75,70.65,28.9473684210524,55.2252262360263,62.8279640839935,70.085,"Low",1,"NoTrend"
"62",4706919,328215180,69.65,70.1,69.45,69.6,0.299999999999997,1222,2015-07-07,68.75,70.65,44.7368421052627,51.7290981924385,59.1283421201418,70.0841666666667,"Low",2,"NoTrend"
"63",37899765,2576676720,69.2,69.2,67.45,67.5,-2.09999999999999,8343,2015-07-08,67.45,70.45,1.66666666666657,35.0416210171812,51.0994350858216,70.045,"Low",3,"NoTrend"
"64",33083128,2203429334,66.8,67.35,66.1,67.1,-0.400000000000006,5730,2015-07-09,66.1,70.3,23.8095238095238,31.2975886146287,44.498819595424,70.0050000000001,"Low",4,"NoTrend"
"65",15806729,1069053790,68,68.1,67.2,68.1,1,3217,2015-07-13,66.1,70.3,47.6190476190476,36.738074949435,41.9119047134276,69.9958333333334,"Low",5,"NoTrend"
"66",9618532,657390583,68.3,68.7,68.05,68.1,0,2324,2015-07-14,66.1,70.3,47.6190476190476,40.3650658393059,41.3962917553871,69.9691666666667,"Low",6,"NoTrend"
"67",8865704,605236616,68.3,68.65,68,68.25,0.150000000000006,1509,2015-07-15,66.1,70.25,51.8072289156627,44.1791201980915,42.3239012362885,69.9558333333334,"Low",7,"NoTrend"
