"","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60"
"1",1711000,38975200,22.65,23.03,22.57,22.57,-0.100000000000001,352,2015-04-09,22.28,23.03,38.6666666666666,36.198504236139,34.4985498574735,22.342
"2",993000,22718820,22.75,23,22.75,22.87,0.300000000000001,208,2015-04-10,22.28,23.03,78.6666666666667,50.3545583796482,39.7838860315317,22.367
"3",1158000,26617690,22.96,23.05,22.91,23.05,0.18,199,2015-04-13,22.28,23.05,100,66.9030389197655,48.823603660943,22.412
"4",1355000,31095820,22.96,23.01,22.83,22.98,-0.0700000000000003,149,2015-04-14,22.28,23.05,90.9090909090909,74.9050562495406,57.5174211904755,22.454
"5",3563000,80273990,22.93,22.93,22.3,22.36,-0.620000000000001,788,2015-04-15,22.28,23.05,10.3896103896102,53.3999076295638,56.1449166701716,22.4728333333333
"6",1614000,36684640,22.49,22.83,22.49,22.83,0.469999999999999,433,2015-04-16,22.3,23.05,70.6666666666663,59.1554939752646,57.148442438536,22.501
"7",1205000,27283430,22.79,22.79,22.57,22.61,-0.219999999999999,264,2015-04-17,22.3,23.05,41.3333333333332,53.2147737612875,55.8372195461198,22.5293333333333
"8",2224000,49841810,22.5,22.62,22.27,22.53,-0.0799999999999983,389,2015-04-20,22.27,23.05,33.3333333333335,46.5876269519695,52.7540220147364,22.5528333333333
"9",737000,16602050,22.65,22.7,22.43,22.47,-0.0600000000000023,197,2015-04-21,22.27,23.05,25.6410256410255,39.6054265149882,48.3711568481536,22.5798333333333
"10",1350000,30768630,22.51,22.87,22.51,22.87,0.400000000000002,426,2015-04-22,22.27,23.05,76.923076923077,52.0446433176844,49.5956523379972,22.6126666666667
"11",8385000,197168730,22.95,23.99,22.95,23.91,1.04,1221,2015-04-23,22.27,23.99,95.3488372093024,66.4793746148904,55.2235597636283,22.6668333333333
"12",7846400,191311960,24.12,24.76,24.1,24.4,0.489999999999998,1119,2015-04-24,22.27,24.76,85.5421686746987,72.8336393014932,61.0935862762499,22.7243333333333
"13",4848000,120005460,24.7,24.9,24.53,24.78,0.380000000000003,880,2015-04-27,22.27,24.9,95.4372623574145,80.3681803201336,67.5184509575445,22.7821666666667
"14",2317000,57236600,24.78,24.9,24.49,24.6,-0.18,486,2015-04-28,22.27,24.9,88.5931558935362,83.1098388446012,72.71558025323,22.8323333333333
"15",2978600,72549880,24.62,24.78,24.13,24.21,-0.390000000000001,629,2015-04-29,22.27,24.9,73.7642585551332,79.9946454147785,75.1419353070795,22.8723333333333
"16",2784000,67113400,24.19,24.3,23.99,24.1,-0.109999999999999,437,2015-04-30,22.27,24.9,69.5817490494298,76.5236799596622,75.6025168579404,22.901
"17",1332000,31999810,24.2,24.2,23.8,24.17,0.0700000000000003,312,2015-05-04,22.43,24.9,70.4453441295548,74.4975680162931,75.2342005773913,22.931
"18",1806000,43112090,24.1,24.1,23.75,23.84,-0.330000000000002,361,2015-05-05,22.51,24.9,55.6485355648536,68.2145571991466,72.8943194513097,22.952
"19",1317000,31243800,23.65,23.98,23.52,23.88,0.0399999999999991,406,2015-05-06,22.95,24.9,47.6923076923077,61.3738073635336,69.0541487553843,22.9731666666667
"20",3414400,80118378,23.61,23.62,23.36,23.4,-0.48,628,2015-05-07,23.36,24.9,2.59740259740254,41.7816724414899,59.9633233174195,22.9935
"21",1601000,37547790,23.44,23.56,23.35,23.35,-0.0499999999999972,299,2015-05-08,23.35,24.9,0,27.8544482943266,49.2603649763886,23.016
"22",4297000,100421230,23.7,23.7,23.11,23.34,-0.0100000000000016,682,2015-05-11,23.11,24.9,12.8491620111732,22.8526861999421,40.4578053842397,23.0385
"23",2698000,62944630,23.35,23.52,23.23,23.36,0.0199999999999996,348,2015-05-12,23.11,24.78,14.9700598802395,20.2251440933746,33.7135849539514,23.0561666666667
"24",1925000,45343520,23.4,23.63,23.37,23.58,0.219999999999999,339,2015-05-13,23.11,24.3,39.4957983193276,26.6486955020256,31.3586218033094,23.0713333333333
"25",5868150,135500365,23.58,23.58,22.91,22.98,-0.599999999999998,1057,2015-05-14,22.91,24.2,5.42635658914731,19.5745825310662,27.4306087125617,23.0783333333333
"26",3791100,86723820,23.03,23.08,22.72,22.8,-0.18,614,2015-05-15,22.72,24.1,5.79710144927548,14.9820888371359,23.2811020874198,23.0861666666667
"27",1643127,37569394,22.8,22.96,22.75,22.93,0.129999999999999,338,2015-05-18,22.72,23.98,16.6666666666667,15.5436147803129,20.7019396517175,23.0975
"28",4288000,100224620,22.98,23.5,22.98,23.5,0.57,713,2015-05-19,22.72,23.7,79.591836734694,36.8930220984399,26.0989671339583,23.1203333333333
"29",2011000,47054830,23.45,23.5,23.3,23.36,-0.140000000000001,354,2015-05-20,22.72,23.7,65.3061224489796,46.3640555486198,32.8539966055121,23.1353333333333
"30",4820000,109815960,23.03,23.15,22.64,22.83,-0.530000000000001,846,2015-05-21,22.64,23.7,17.9245283018866,36.8842131330421,34.1974021146888,23.1411666666667
"31",4063000,93827160,22.83,23.2,22.83,23.07,0.240000000000002,570,2015-05-22,22.64,23.63,43.4343434343435,39.0675899001425,35.8207980431734,23.1468333333333
"32",2464000,56849400,23.07,23.2,22.82,23.1,0.0300000000000011,317,2015-05-25,22.64,23.63,46.4646464646466,41.5332754216439,37.7249571693302,23.1458333333333
"33",1992000,46563060,23.4,23.59,23.2,23.27,0.169999999999998,458,2015-05-26,22.64,23.59,66.3157894736841,49.7941134389906,41.748009259217,23.1431666666667
"34",1750000,40848300,23.1,23.45,23.1,23.39,0.120000000000001,439,2015-05-27,22.64,23.59,78.9473684210527,59.511865099678,47.6692945393707,23.1463333333333
"35",3727000,87778850,23.45,23.71,23.43,23.54,0.149999999999999,499,2015-05-28,22.64,23.71,84.1121495327101,67.7119599106887,54.3501829964767,23.1551666666667
"36",1339000,31430690,23.55,23.69,23.33,23.36,-0.18,311,2015-05-29,22.64,23.71,67.2897196261681,67.5712131491818,58.7571930473784,23.1606666666666
"37",2367000,54611720,23.36,23.38,22.9,23.07,-0.289999999999999,474,2015-06-01,22.64,23.71,40.1869158878504,58.4431140620714,58.652500052276,23.1605
"38",1241000,28457850,22.9,23.06,22.75,22.95,-0.120000000000001,314,2015-06-02,22.64,23.71,28.9719626168223,48.619396913655,55.3081323394024,23.1605
"39",2089000,47583140,22.99,23.03,22.65,22.66,-0.289999999999999,519,2015-06-03,22.65,23.71,0.94339622641524,32.7273966845751,47.7812204544599,23.154
"40",6273127,138345318,22.66,22.66,21.62,21.69,-0.969999999999999,1564,2015-06-04,21.62,23.71,3.34928229665073,22.9346918886003,39.4990442658401,23.1363333333333
"41",3071000,66360350,21.6,21.82,21.46,21.69,0,770,2015-06-05,21.46,23.71,10.2222222222222,18.6972019998076,32.5650968438292,23.1215
"42",4027000,87444510,21.69,22.06,21.35,21.85,0.16,869,2015-06-08,21.35,23.71,21.1864406779661,19.5269482258604,28.2190473045063,23.109
"43",4579000,98181730,21.79,21.79,21.24,21.3,-0.550000000000001,1027,2015-06-09,21.24,23.71,2.42914979757094,13.8276820830973,23.4219255640366,23.0823333333333
"44",2479000,53563310,21.5,21.75,21.46,21.58,0.279999999999998,646,2015-06-10,21.24,23.69,13.8775510204081,13.8443050622009,20.229385396758,23.0615
"45",1460000,31447340,21.79,21.79,21.36,21.57,-0.00999999999999801,463,2015-06-11,21.24,23.38,15.4205607476636,14.3697236240218,18.276164805846,23.0446666666667
"46",942000,20279430,21.51,21.69,21.37,21.52,-0.0500000000000007,318,2015-06-12,21.24,23.06,15.3846153846154,14.708020877553,17.086783496415,23.0256666666667
"47",1552000,33362090,21.52,21.68,21.33,21.38,-0.140000000000001,339,2015-06-15,21.24,23.03,7.82122905027935,12.4124236017951,15.5286635315417,22.9986666666667
"48",3905000,82549530,21.38,21.39,21.05,21.09,-0.289999999999999,735,2015-06-16,21.05,22.66,2.48447204968939,9.10310641775988,13.3868111602811,22.9573333333333
"49",2354000,49843670,21.2,21.29,21.06,21.22,0.129999999999999,447,2015-06-17,21.05,22.06,16.8316831683167,11.6792986679455,12.8176403295026,22.919
"50",2240000,47520110,21.25,21.34,21.09,21.27,0.0500000000000007,503,2015-06-18,21.05,22.06,21.7821782178217,15.0469251845709,13.560735281192,22.8813333333333
"51",4158000,90332570,21.4,21.82,21.4,21.77,0.5,827,2015-06-22,21.05,21.82,93.5064935064934,41.2001146252117,22.7738617291986,22.8545
"52",3333000,73423110,21.9,22.16,21.88,21.92,0.150000000000002,785,2015-06-23,21.05,22.16,78.3783783783785,53.5928692096007,33.0468642226659,22.8325
"53",1763000,38630280,21.9,21.98,21.79,21.95,0.0299999999999976,382,2015-06-24,21.05,22.16,81.081081081081,62.7556065000941,42.949778315142,22.8176666666667
"54",4851000,108812690,22.2,22.58,22.2,22.41,0.460000000000001,755,2015-06-25,21.05,22.58,88.888888888889,71.4667006296924,52.4554190866588,22.8168333333333
"55",1257000,28135210,22.41,22.49,22.33,22.41,0,300,2015-06-26,21.05,22.58,88.888888888889,77.2740967160913,60.7283116298029,22.816
"56",4001000,86690330,21.96,21.96,21.43,21.48,-0.93,930,2015-06-29,21.05,22.58,28.1045751633987,60.8842561985271,60.780293152711,22.796
"57",4427000,96104440,21.4,21.83,21.38,21.81,0.329999999999998,527,2015-06-30,21.06,22.58,49.3421052631579,57.036872553404,59.5324862862753,22.7871666666667
"58",2533000,56066340,21.75,22.35,21.75,22.27,0.460000000000001,626,2015-07-01,21.09,22.58,79.1946308724833,64.4227919930971,61.1625881885493,22.7775
"59",757000,16825910,22.2,22.38,22.13,22.25,-0.0199999999999996,224,2015-07-02,21.38,22.58,72.5000000000001,67.1151946620648,63.1467903463878,22.7661666666667
"60",1912000,42044010,22.1,22.31,21.75,22.23,-0.0199999999999996,564,2015-07-03,21.38,22.58,70.8333333333335,68.3545742191544,64.8827183039766,22.7588333333333
"61",1298000,28493900,21.92,22.23,21.76,21.84,-0.390000000000001,379,2015-07-06,21.38,22.58,38.3333333333334,58.3474939238807,62.704310177278,22.7466666666667
"62",1352000,29848070,21.95,22.24,21.88,21.95,0.109999999999999,339,2015-07-07,21.38,22.58,47.5000000000001,54.7316626159205,60.0467609901588,22.7313333333333
"63",11083000,233404140,21.75,21.75,20.55,20.69,-1.26,1844,2015-07-08,20.55,22.49,7.21649484536086,38.8932733590673,52.9955984464616,22.692
"64",6569050,131954405,20.35,20.58,19.5,20.4,-0.290000000000003,1321,2015-07-09,19.5,22.38,31.25,36.3455155727115,47.4455708218783,22.649
"65",3335000,69032200,20.84,20.86,20.5,20.82,0.420000000000002,790,2015-07-13,19.5,22.38,45.8333333333334,39.5081214929188,44.7997543788918,22.6233333333333
"66",5357000,112472640,20.99,21.23,20.82,20.83,0.00999999999999801,704,2015-07-14,19.5,22.38,46.1805555555555,41.7322661804644,43.7772583127493,22.59
"67",2662000,55963360,21.01,21.19,20.79,20.92,0.0900000000000034,460,2015-07-15,19.5,22.38,49.3055555555556,44.2566959721615,43.9370708658867,22.5618333333333
"68",3227000,68557230,21.2,21.42,21.06,21.11,0.189999999999998,557,2015-07-16,19.5,22.31,57.2953736654804,48.6029218699344,45.4923545339026,22.5381666666667
"69",1168000,24652560,21.03,21.25,21,21.1,-0.00999999999999801,278,2015-07-17,19.5,22.24,58.3941605839417,51.8666681079369,47.6171257252473,22.5153333333333
