"","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60","LowLabel","StatusCount","MartketStatus"
"1",8102050,148968872,18.51,18.51,18.3,18.47,-0.0100000000000016,1144,2015-04-09,18.3,18.64,49.9999999999995,56.7509174961283,60.5329282562694,18.675,"Low",1,"NoTrend"
"2",3543000,65100710,18.36,18.44,18.31,18.39,-0.0799999999999983,524,2015-04-10,18.3,18.64,26.4705882352941,46.6574744091835,55.9077769739074,18.6628333333333,"Low",2,"NoTrend"
"3",6004000,110103750,18.32,18.37,18.3,18.32,-0.0700000000000003,1172,2015-04-13,18.3,18.64,5.88235294117635,33.0657672531811,48.2937737336653,18.6426666666667,"Low",3,"NoTrend"
"4",10159000,186276700,18.35,18.39,18.31,18.35,0.0300000000000011,466,2015-04-14,18.3,18.64,14.7058823529414,26.9458056197679,41.1777843623662,18.6236666666667,"Low",4,"NoTrend"
"5",10104500,186920603,18.4,18.55,18.35,18.53,0.18,1001,2015-04-15,18.3,18.64,67.6470588235296,40.5128900210218,40.9561529152514,18.6138333333333,"Low",5,"NoTrend"
"6",5830030,107272988,18.5,18.5,18.36,18.37,-0.16,1171,2015-04-16,18.3,18.59,24.1379310344829,35.0545703588422,38.9889587297816,18.6005,"Low",6,"NoTrend"
"7",2872000,52980150,18.4,18.47,18.38,18.46,0.0899999999999999,332,2015-04-17,18.3,18.55,64.0000000000001,44.7030469058948,40.893654788486,18.5873333333333,"Low",7,"NoTrend"
"8",7063161,130808911,18.52,18.58,18.46,18.49,0.0299999999999976,682,2015-04-20,18.3,18.58,67.8571428571426,52.4210788896441,44.736129488872,18.5761666666667,"Low",8,"NoTrend"
"9",3126000,57832060,18.46,18.56,18.4,18.51,0.0200000000000031,483,2015-04-21,18.3,18.58,75.000000000001,59.9473859264297,49.8065483013913,18.5635,"Low",9,"NoTrend"
"10",6583000,121063560,18.5,18.5,18.35,18.37,-0.140000000000001,902,2015-04-22,18.3,18.58,25.0000000000003,48.2982572842866,49.303784629023,18.5485,"Low",10,"Bear"
"11",22241000,402721320,18.31,18.31,17.94,17.97,-0.400000000000002,4255,2015-04-23,17.94,18.58,4.68749999999964,33.7613381895243,44.1229691491901,18.5246666666667,"Low",11,"Bear"
"12",14694100,261700699,17.93,17.95,17.69,17.83,-0.140000000000001,2446,2015-04-24,17.69,18.58,15.7303370786514,27.7510044859,38.6656475947601,18.5,"Low",12,"Bear"
"13",10144000,179363850,17.77,17.77,17.64,17.65,-0.18,1904,2015-04-27,17.64,18.58,1.06382978723383,18.8552795863446,32.0621915919549,18.4755,"Low",13,"Bear"
"14",3880541,68686503,17.65,17.74,17.64,17.71,0.0600000000000023,659,2015-04-28,17.64,18.58,7.44680851063835,15.0524558944425,26.3922796927841,18.4535,"Low",14,"Bear"
"15",4159000,73991810,17.73,17.88,17.65,17.82,0.109999999999999,759,2015-04-29,17.64,18.58,19.1489361702128,16.4179493196993,23.0675029017558,18.4356666666667,"Low",15,"Bear"
"16",3416000,61049180,17.83,17.92,17.82,17.88,0.0599999999999987,713,2015-04-30,17.64,18.58,25.5319148936169,19.4559378443385,21.8636478826167,18.422,"Low",16,"Bear"
"17",3032500,54245820,17.88,17.95,17.84,17.85,-0.0299999999999976,456,2015-05-04,17.64,18.56,22.8260869565219,20.579320881733,21.4355388823221,18.4076666666667,"Low",17,"Bear"
"18",2581298,46278859,17.85,17.96,17.85,17.93,0.0799999999999983,424,2015-05-05,17.64,18.5,33.7209302325581,24.959857332008,22.6103116988841,18.3965,"Low",18,"Bear"
"19",4713161,84741880,18,18.04,17.88,17.89,-0.0399999999999991,1229,2015-05-06,17.64,18.31,37.313432835821,29.077715833279,24.7661130770157,18.3848333333333,"Low",19,"Bear"
"20",8304120,149849874,18,18.07,18,18.07,0.18,1137,2015-05-07,17.64,18.07,100,52.718477222186,34.0835677920725,18.3735,"Low",20,"Bear"
"21",4044410,73101753,18.07,18.1,18.03,18.1,0.0300000000000011,579,2015-05-08,17.64,18.1,100,68.4789848147907,45.5487067996452,18.3615,"Low",21,"Bear"
"22",9602000,173787740,18,18.23,17.98,18.14,0.0399999999999991,1111,2015-05-11,17.64,18.23,84.7457627118644,73.9012441138153,54.9995525710352,18.3501666666667,"Low",22,"Bear"
"23",5469000,99325770,18.15,18.2,18.07,18.15,0.00999999999999801,591,2015-05-12,17.65,18.23,86.2068965517239,78.0031282597848,62.6674111339517,18.3408333333333,"Low",23,"Bear"
"24",5068000,91759560,18.14,18.16,18.04,18.12,-0.0299999999999976,686,2015-05-13,17.82,18.23,73.1707317073172,76.3923294089623,67.2423838922886,18.3328333333333,"Low",24,"Bear"
"25",10163589,185965397,18.13,18.38,18.13,18.33,0.209999999999997,1403,2015-05-14,17.84,18.38,90.7407407407406,81.1751331862217,71.886633656933,18.3281666666667,"High",1,"NoTrend"
"26",8625197,158436193,18.3,18.47,18.28,18.44,0.110000000000003,1314,2015-05-15,17.85,18.47,95.161290322581,85.8371855650081,76.5368176262914,18.324,"High",2,"NoTrend"
"27",3694000,68020069,18.42,18.46,18.37,18.4,-0.0400000000000027,645,2015-05-18,17.88,18.47,88.1355932203389,86.6033214501184,79.8923189009004,18.3185,"High",3,"NoTrend"
"28",6309001,114798058,18.36,18.36,18.14,18.17,-0.229999999999997,1274,2015-05-19,17.98,18.47,38.775510204082,70.6607177014396,76.8151185010801,18.3085,"Low",1,"NoTrend"
"29",3168293,57711439,18.17,18.27,18.17,18.21,0.0399999999999991,369,2015-05-20,17.98,18.47,46.9387755102043,62.7534036376945,72.1278802132849,18.3015,"Low",2,"NoTrend"
"30",8145100,150303914,18.31,18.51,18.31,18.45,0.239999999999998,1039,2015-05-21,17.98,18.51,88.6792452830185,71.3953508528025,71.8837037597908,18.298,"High",1,"NoTrend"
"31",6489000,118945850,18.45,18.45,18.27,18.35,-0.0999999999999979,897,2015-05-22,18.04,18.51,65.9574468085108,69.5827161713719,71.1167078969845,18.2941666666667,"High",2,"NoTrend"
"32",3071134,56387658,18.4,18.45,18.3,18.36,0.00999999999999801,399,2015-05-25,18.04,18.51,68.0851063829784,69.0835129085741,70.438976234181,18.2936666666667,"High",3,"NoTrend"
"33",7062000,128995290,18.29,18.32,18.15,18.27,-0.0899999999999999,530,2015-05-26,18.13,18.51,36.8421052631578,58.3363770267686,66.4047764983769,18.2935,"Low",1,"NoTrend"
"34",4696160,85644934,18.32,18.32,18.19,18.2,-0.0700000000000003,613,2015-05-27,18.14,18.51,16.2162162162158,44.296323423251,59.0352921400016,18.2911666666667,"Low",2,"NoTrend"
"35",5017403,91114244,18.1,18.2,18.1,18.15,-0.0500000000000007,633,2015-05-28,18.1,18.51,12.1951219512188,33.5959229325736,50.5555024041923,18.2871666666667,"Low",3,"NoTrend"
"36",4496235,81598138,18.15,18.2,18.1,18.16,0.0100000000000016,747,2015-05-29,18.1,18.51,14.6341463414631,27.2753307355368,42.7954451813071,18.2831666666667,"Low",4,"NoTrend"
"37",7625109,139626286,18.19,18.36,18.19,18.32,0.16,774,2015-06-01,18.1,18.51,53.6585365853656,36.0697326854797,40.5535410160313,18.2816666666667,"High",1,"NoTrend"
"38",4568000,83874840,18.41,18.43,18.3,18.36,0.0399999999999991,557,2015-06-02,18.1,18.51,63.414634146341,45.1846998391001,42.0972606237209,18.2806666666667,"High",2,"NoTrend"
"39",6978096,128600034,18.36,18.5,18.31,18.5,0.140000000000001,1130,2015-06-03,18.1,18.5,100,63.4564665594001,49.216995935614,18.2823333333333,"High",3,"NoTrend"
"40",20773034,388279483,18.5,18.92,18.47,18.91,0.41,3450,2015-06-04,18.1,18.92,98.7804878048779,75.2311403078927,57.8883773930402,18.2896666666667,"High",4,"NoTrend"
"41",18285500,346294321,18.94,19,18.85,18.89,-0.0199999999999996,2308,2015-06-05,18.1,19,87.7777777777778,79.4133527978544,65.0633691946449,18.2951666666667,"High",5,"NoTrend"
"42",12296842,232639797,18.89,19.05,18.73,18.81,-0.0800000000000018,1713,2015-06-08,18.1,19.05,74.7368421052629,77.8545159003239,69.3270847632046,18.2988333333333,"High",6,"NoTrend"
"43",12349725,234685483,18.88,19.1,18.85,19.07,0.260000000000002,1851,2015-06-09,18.1,19.1,96.9999999999999,84.2363439335492,74.2968378199861,18.3091666666667,"High",7,"NoTrend"
"44",12173604,230329426,19,19,18.84,18.93,-0.140000000000001,1589,2015-06-10,18.1,19.1,82.9999999999998,83.8242292890328,77.472634976335,18.3168333333333,"High",8,"NoTrend"
"45",10877300,206204570,18.89,19.06,18.84,18.93,0,2300,2015-06-11,18.19,19.1,81.3186813186811,82.9890466322489,79.3114388616396,18.3235,"High",9,"NoTrend"
"46",8216150,155932133,18.95,19.06,18.9,18.98,0.0500000000000007,1524,2015-06-12,18.3,19.1,84.9999999999999,83.6593644214992,80.7607473815928,18.3311666666667,"High",10,"Bull"
"47",5394070,102497940,18.99,19.07,18.92,19.06,0.0799999999999983,835,2015-06-15,18.31,19.1,94.9367088607592,87.4184792345859,82.9799913325905,18.3423333333333,"High",11,"Bull"
"48",11646764,223343002,19.06,19.24,19.05,19.21,0.150000000000002,1666,2015-06-16,18.47,19.24,96.1038961038964,90.3136181910227,85.4245336187346,18.3593333333333,"High",12,"Bull"
"49",7082206,135773494,19.15,19.23,19.09,19.14,-0.0700000000000003,1167,2015-06-17,18.73,19.24,80.3921568627454,87.0064644149303,85.9518438841331,18.3753333333333,"High",13,"Bull"
"50",6796000,130012670,19.14,19.19,19.08,19.11,-0.0300000000000011,859,2015-06-18,18.73,19.24,74.5098039215687,82.8409109171431,84.9148662284698,18.3908333333333,"High",14,"Bull"
"51",12258300,231341220,19.03,19.03,18.83,18.85,-0.259999999999998,1716,2015-06-22,18.83,19.24,4.87804878048857,56.8532902049249,75.5610075539548,18.401,"High",15,"Bull"
"52",11046250,206985770,18.75,18.81,18.7,18.76,-0.0899999999999999,1502,2015-06-23,18.7,19.24,11.1111111111115,41.6058971736538,64.2426374271878,18.409,"High",16,"Bull"
"53",2585500,48610359,18.77,18.86,18.77,18.78,0.0199999999999996,608,2015-06-24,18.7,19.24,14.8148148148152,32.6755363873743,53.7202704139166,18.415,"High",17,"Bull"
"54",15045500,279576640,18.7,18.7,18.51,18.58,-0.200000000000003,2304,2015-06-25,18.51,19.24,9.58904109589,24.9800379568795,44.1401929282376,18.4153333333333,"High",18,"Bull"
"55",4920850,91502173,18.59,18.64,18.55,18.6,0.0200000000000031,857,2015-06-26,18.51,19.24,12.3287671232877,20.7629476790156,36.3477778451636,18.4163333333333,"High",19,"Bull"
