"","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","WeekNumber","Year","INDEX","LastWeekLastDayPrice","ThisWeekLastDayPrice"
"1",3200000,67622400,21.25,21.43,20.95,21.37,-0.16,484,2015-01-05,1,2015,1,NA,21.14
"2",6032397,123971468,20.85,20.87,20.26,20.35,-1.02,995,2015-01-06,1,2015,1,NA,21.14
"3",3956000,80867880,20.34,20.55,20.33,20.46,0.109999999999999,459,2015-01-07,1,2015,1,NA,21.14
"4",8103000,170434810,20.8,21.28,20.8,21.23,0.77,832,2015-01-08,1,2015,1,NA,21.14
"5",6233000,132363720,21.54,21.54,21.12,21.14,-0.0899999999999999,451,2015-01-09,1,2015,1,NA,21.14
"6",4150000,87048840,20.92,21.14,20.86,20.91,-0.23,280,2015-01-12,2,2015,2,21.14,20.66
"7",6636000,140158950,20.9,21.29,20.83,21.12,0.210000000000001,307,2015-01-13,2,2015,2,21.14,20.66
"8",3816000,79782210,21.15,21.16,20.78,20.85,-0.27,389,2015-01-14,2,2015,2,21.14,20.66
"9",4584000,95714420,20.94,21.06,20.7,20.9,0.0499999999999972,265,2015-01-15,2,2015,2,21.14,20.66
"10",4805000,100052270,20.9,21.2,20.54,20.66,-0.239999999999998,516,2015-01-16,2,2015,2,21.14,20.66
"11",6366000,133985420,21,21.27,20.84,20.95,0.289999999999999,461,2015-01-19,3,2015,3,20.66,22.38
"12",3691000,78352750,21.07,21.36,21.01,21.31,0.359999999999999,379,2015-01-20,3,2015,3,20.66,22.38
"13",3310000,71321680,21.4,21.63,21.4,21.59,0.280000000000001,409,2015-01-21,3,2015,3,20.66,22.38
"14",3847100,84156981,21.79,21.99,21.71,21.81,0.219999999999999,350,2015-01-22,3,2015,3,20.66,22.38
"15",3973000,89752930,24.86,24.86,22.26,22.38,0.57,471,2015-01-23,3,2015,3,20.66,22.38
"16",3143400,70167366,22.38,22.41,22.22,22.37,-0.00999999999999801,246,2015-01-26,4,2015,4,22.38,22
"17",2694500,60789605,22.7,22.75,22.44,22.58,0.209999999999997,288,2015-01-27,4,2015,4,22.38,22
"18",3695063,83401844,22.48,22.67,22.45,22.61,0.0300000000000011,284,2015-01-28,4,2015,4,22.38,22
"19",5444000,121243530,22.57,22.57,22.11,22.18,-0.43,366,2015-01-29,4,2015,4,22.38,22
"20",3793000,83898280,22.2,22.32,22,22,-0.18,272,2015-01-30,4,2015,4,22.38,22
"21",1315000,29000570,22,22.15,21.88,21.99,-0.0100000000000016,188,2015-02-02,5,2015,5,22,22.33
"22",1935000,43078360,22.12,22.4,22.06,22.3,0.310000000000002,323,2015-02-03,5,2015,5,22,22.33
"23",1917000,43489300,22.5,22.78,22.5,22.67,0.370000000000001,343,2015-02-04,5,2015,5,22,22.33
"24",912000,20529850,22.63,22.63,22.41,22.56,-0.110000000000003,208,2015-02-05,5,2015,5,22,22.33
"25",1871000,42009210,22.69,22.69,22.33,22.33,-0.23,240,2015-02-06,5,2015,5,22,22.33
"26",961800,21332219,22.3,22.3,22.11,22.25,-0.0799999999999983,136,2015-02-09,6,2015,6,22.33,22.73
"27",1587000,35174220,22.25,22.28,22.1,22.13,-0.120000000000001,205,2015-02-10,6,2015,6,22.33,22.73
"28",1439000,32262160,22.3,22.55,22.3,22.46,0.330000000000002,263,2015-02-11,6,2015,6,22.33,22.73
"29",736000,16531530,22.46,22.55,22.38,22.48,0.0199999999999996,128,2015-02-12,6,2015,6,22.33,22.73
"30",1277200,29022404,22.61,22.79,22.61,22.73,0.25,307,2015-02-13,6,2015,6,22.33,22.73
"31",1910100,44179073,22.97,23.21,22.94,23.16,0.43,272,2015-02-24,8,2015,7,22.73,23.2
"32",1503318,35137613,23.33,23.5,23.28,23.43,0.27,263,2015-02-25,8,2015,7,22.73,23.2
