"","ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PreviousPrice","NextPrice","Lable","index","valueLow1","valueLow2","valueLow3","priceLow1","priceLow2","priceLow3","indexLow1","indexLow2","indexLow3","valueHigh1","valueHigh2","valueHigh3","priceHigh1","priceHigh2","priceHigh3","indexHigh1","indexHigh2","indexHigh3","Criterion1","UpSlopeNow","DownSlopePrevious","DownSlopePPrevious","TrendPriceSlope","TrendPriceSlope2","TrendPrcieCriterion","TrendPrcieCriterion2","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Action"
"1","107/01/02",700144,20537468,29.3,29.55,29.15,29.25,0,195,2018-01-02,29.25,29.55,"High",1972,369857,63787,124450,29.25,29,28.05,1971,1968,1963,729873,527188,300100,29.75,29.2,28.5,1970,1966,1961,0,0.300000000000001,-0.5,-0.0999999999999996,0.1375,0.138888888888889,12.3875,30.0277777777778,0,0,1,1,1,1,1,0
"2","107/01/03",426134,12359349,29.55,29.55,28.75,29,-0.25,192,2018-01-03,29.55,29.3,"NO",1973,369857,63787,124450,29.25,29,28.05,1971,1968,1963,700144,729873,527188,29.55,29.75,29.2,1972,1970,1966,0,0.15,0.300000000000001,0.375,-0.0999999999999996,0.0583333333333336,12.3875,29.6083333333333,0,0,1,1,0,0,0,0
"3","107/01/04",278350,8087450,29.1,29.3,28.95,29.1,0.100000000000001,126,2018-01-04,29.55,29.8,"Low",1974,369857,63787,124450,29.25,29,28.05,1971,1968,1963,700144,729873,527188,29.55,29.75,29.2,1972,1970,1966,0,0.0166666666666669,0.300000000000001,0.375,-0.0999999999999996,0.0583333333333336,12.3875,29.6666666666667,0,0,1,0,0,0,1,0
"4","107/01/05",639202,18814216,29.2,29.8,29.2,29.55,0.449999999999999,220,2018-01-05,29.3,29.5,"High",1975,278350,369857,63787,29.3,29.25,29,1974,1971,1968,700144,729873,527188,29.55,29.75,29.2,1972,1970,1966,1,0.5,-0.125,-0.5,-0.0999999999999996,0.0583333333333336,12.3875,29.725,1,1,1,1,1,1,0,0
"5","107/01/08",1075005,31285146,29.5,29.5,28.85,29,-0.550000000000001,383,2018-01-08,29.8,29.3,"NO",1976,278350,369857,63787,29.3,29.25,29,1974,1971,1968,639202,700144,729873,29.8,29.55,29.75,1975,1972,1970,0,0.0999999999999996,0.5,0.300000000000001,0.0833333333333333,0.0100000000000001,12.3875,29.81,0,1,1,1,0,0,1,0
"6","107/01/09",404578,11783668,28.85,29.3,28.8,29.1,0.100000000000001,183,2018-01-09,29.5,29.1,"NO",1977,278350,369857,63787,29.3,29.25,29,1974,1971,1968,639202,700144,729873,29.8,29.55,29.75,1975,1972,1970,0,0,0.5,0.300000000000001,0.0833333333333333,0.0100000000000001,12.3875,29.82,0,1,1,1,0,0,1,0
"7","107/01/10",249020,7190280,29.1,29.1,28.7,28.8,-0.300000000000001,111,2018-01-10,29.3,29.2,"Low",1978,278350,369857,63787,29.3,29.25,29,1974,1971,1968,639202,700144,729873,29.8,29.55,29.75,1975,1972,1970,0,-0.0499999999999998,0.5,0.300000000000001,0.0833333333333333,0.0100000000000001,12.3875,29.83,0,1,1,0,0,0,1,0
"8","107/01/11",161250,4659237,29.15,29.2,28.7,28.7,-0.100000000000001,106,2018-01-11,29.1,29.1,"High",1979,249020,278350,369857,29.1,29.3,29.25,1978,1974,1971,639202,700144,729873,29.8,29.55,29.75,1975,1972,1970,0,0.0999999999999979,-0.233333333333333,-0.125,0.0833333333333333,0.0100000000000001,12.3875,29.84,0,0,1,0,1,1,1,0
"9","107/01/12",144000,4168300,29.05,29.1,28.85,28.9,0.199999999999999,75,2018-01-12,29.2,29.15,"Low",1980,249020,278350,369857,29.1,29.3,29.25,1978,1974,1971,161250,639202,700144,29.2,29.8,29.55,1979,1975,1972,0,0,0.0999999999999979,0.5,-0.15,-0.0500000000000002,12.3875,29.15,0,0,1,0,0,0,1,0
"10","107/01/15",157093,4572136,29.15,29.15,28.95,29.15,0.25,88,2018-01-15,29.1,29.3,"NO",1981,144000,249020,278350,29.1,29.1,29.3,1980,1978,1974,161250,639202,700144,29.2,29.8,29.55,1979,1975,1972,0,0.0499999999999972,-0.0999999999999979,-0.233333333333333,-0.15,-0.0500000000000002,12.3875,29.1,0,1,1,1,1,1,1,0
"11","107/01/16",301184,8773986,29.15,29.3,28.95,29.1,-0.0499999999999972,143,2018-01-16,29.15,29.2,"High",1982,144000,249020,278350,29.1,29.1,29.3,1980,1978,1974,161250,639202,700144,29.2,29.8,29.55,1979,1975,1972,1,0.0999999999999996,-0.0999999999999979,-0.233333333333333,-0.15,-0.0500000000000002,12.3875,29.05,1,1,1,1,1,1,0,0
"12","107/01/17",266300,7742435,29.1,29.2,28.9,29,-0.100000000000001,139,2018-01-17,29.3,29.3,"Low",1983,144000,249020,278350,29.1,29.1,29.3,1980,1978,1974,301184,161250,639202,29.3,29.2,29.8,1982,1979,1975,0,0.0333333333333326,0.0999999999999996,0.0999999999999979,0.0333333333333338,-0.0714285714285714,12.3875,29.2285714285714,0,1,1,1,0,0,1,0
"13","107/01/18",242100,7048950,29.3,29.3,29,29.05,0.0500000000000007,81,2018-01-18,29.2,28.85,"High",1984,266300,144000,249020,29.2,29.1,29.1,1983,1980,1978,301184,161250,639202,29.3,29.2,29.8,1982,1979,1975,0,0.100000000000001,-0.100000000000001,-0.0999999999999979,0.0333333333333338,-0.0714285714285714,12.3875,29.1571428571429,0,0,1,0,1,1,0,0
"14","107/01/19",432344,12321370,28.15,28.85,28.15,28.45,-0.600000000000001,243,2018-01-19,29.3,28.45,"NO",1985,266300,144000,249020,29.2,29.1,29.1,1983,1980,1978,242100,301184,161250,29.3,29.3,29.2,1984,1982,1979,0,-0.174999999999999,0.100000000000001,0.0999999999999996,0,0.0200000000000003,12.3875,29.32,0,1,1,1,0,0,1,0
"15","107/01/22",456101,12839048,28.45,28.45,28,28,-0.449999999999999,175,2018-01-22,28.85,28.4,"NO",1986,266300,144000,249020,29.2,29.1,29.1,1983,1980,1978,242100,301184,161250,29.3,29.3,29.2,1984,1982,1979,0,-0.25,0.100000000000001,0.0999999999999996,0,0.0200000000000003,12.3875,29.34,0,1,1,1,0,0,1,0
"16","107/01/23",200798,5641844,28.4,28.4,28,28,0,98,2018-01-23,28.45,28.5,"Low",1987,266300,144000,249020,29.2,29.1,29.1,1983,1980,1978,242100,301184,161250,29.3,29.3,29.2,1984,1982,1979,0,-0.2,0.100000000000001,0.0999999999999996,0,0.0200000000000003,12.3875,29.36,0,1,1,0,0,0,1,0
"17","107/01/24",183677,5202008,28.3,28.5,28.15,28.5,0.5,108,2018-01-24,28.4,28.95,"NO",1988,200798,266300,144000,28.4,29.2,29.1,1987,1983,1980,242100,301184,161250,29.3,29.3,29.2,1984,1982,1979,0,0.100000000000001,-0.300000000000001,-0.100000000000001,0,0.0200000000000003,12.3875,29.38,0,0,1,0,1,1,1,0
"18","107/01/25",280146,8031209,28.5,28.95,28.35,28.35,-0.149999999999999,131,2018-01-25,28.5,28.75,"High",1989,200798,266300,144000,28.4,29.2,29.1,1987,1983,1980,242100,301184,161250,29.3,29.3,29.2,1984,1982,1979,0,0.275,-0.300000000000001,-0.100000000000001,0,0.0200000000000003,12.3875,29.4,0,0,1,1,1,1,1,0
