"","序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤","Open","High","Low","ClosePrice","Volume","Adjusted","day"
"1",1,2016-12-26,"虹堡","5258","初上市",2016-12-20,2016-12-22,1482000,1482000,39.45,39.45,2016-12-30,"台新",1000,58464900,125958,1.17,NA,51.834602,51.991085,44.71468,51.834602,936469,50.462437,"2016-12-20"
"2",4,2016-12-21,"中櫃","2613","上市增資",2016-12-15,2016-12-19,1700000,1700000,11.5,11.5,2016-12-29,"富邦",1000,19550000,39184,4.33,NA,12.792775,12.792775,12.696589,12.696589,223524,11.718588,"2016-12-15"
"3",8,2016-12-15,"大眾控","3701","上市增資",2016-12-09,2016-12-13,5500000,5500000,7,7,2016-12-23,"福邦",1000,38500000,3407,100,NA,10.74,10.74,10.74,10.74,0,10.74,"2016-12-09"
"4",10,2016-12-13,"麗清","3346","初上市",2016-12-07,2016-12-09,1377000,1377000,30,30,2016-12-19,"元大",1000,41310000,135170,1.01,NA,38.29324,38.773129,38.019016,38.29324,574957,33.679634,"2016-12-07"
"5",12,2016-12-08,"德淵","4720","上市增資",2016-12-02,2016-12-06,638000,638000,13.4,13.4,2016-12-16,"元富",1000,8549200,17785,3.58,NA,14.65,14.7,14.55,14.7,52000,13.430101,"2016-12-02"
"6",14,2016-12-07,"振樺","8114","上市增資",2016-12-01,2016-12-05,255000,255000,173.5,173.5,2016-12-15,"群益金鼎",1000,44242500,17117,1.48,NA,178.946487,179.927002,175.514633,175.514633,280460,138.389221,"2016-12-01"
"7",22,2016-11-29,"麗臺","2465","上市增資",2016-11-23,2016-11-25,2125000,2125000,8,8,2016-12-07,"台新",1000,1.7e+07,1124,100,NA,16.52,16.52,16.200001,16.200001,196000,16.200001,"2016-11-23"
"8",27,2016-11-17,"雲品","2748","初上市",2016-11-11,2016-11-15,507000,3042000,55,50,2016-11-23,"國泰",1000,152100000,118970,2.55,NA,57.130432,57.643478,57.130432,57.130432,37030,49.570763,"2016-11-11"
"9",28,2016-11-14,"台揚","2314","上市增資",2016-11-08,2016-11-10,1105000,1105000,21,21,2016-11-22,"台新",1000,23205000,52181,2.11,NA,25.299999,25.299999,25,25.049999,490000,24.56881,"2016-11-08"
"10",35,2016-11-07,"康控-KY","4943","第一上市公司初上市",2016-11-01,2016-11-03,1842000,1842000,58.8,58.8,2016-11-11,"中國信託",1000,108309600,136732,1.34,NA,51.651466,51.93914,51.126465,51.651466,325509,48.527264,"2016-11-01"
"11",37,2016-10-31,"榮成","1909","上市增資",2016-10-25,2016-10-27,14620000,14620000,14.85,14.85,2016-11-08,"富邦",1000,217107000,8438,100,NA,15.218195,15.218195,15.018612,15.118403,1925014,12.495907,"2016-10-25"
"12",40,2016-10-25,"慧洋-KY","2637","第一上市公司現金增資",2016-10-19,2016-10-21,3400000,3400000,28,28,2016-11-02,"華南永昌",1000,95200000,7756,43.83,NA,26.657019,26.703299,26.425621,26.703299,453764,22.144016,"2016-10-19"
"13",41,2016-10-21,"台灣高鐵","2633","初上市",2016-10-17,2016-10-19,4e+06,4e+06,15.13,15.13,2016-10-27,"富邦",1000,60520000,226514,1.76,NA,19.35,19.450001,19.139999,19.35,4396210,16.679773,"2016-10-17"
"14",53,2016-10-12,"廣越","4438","初上市",2016-10-05,2016-10-07,2075000,2075000,156,156,2016-10-18,"凱基",1000,323700000,183000,1.13,NA,201,203,200.029999,201,91337,169.500061,"2016-10-05"
"15",61,2016-09-13,"智寶","2375","上市增資",2016-09-08,2016-09-10,2850000,2850000,14.69,14.69,2016-09-23,"凱基",1000,41866500,5907,48.24,NA,21.714285,21.785713,21.642857,21.785713,142800,18.842487,"2016-09-08"
"16",62,2016-09-12,"岱宇","1598","初上市",2016-09-07,2016-09-09,1859000,1859000,46.5,46.5,2016-09-20,"國泰",1000,86443500,111329,1.66,NA,51.210796,51.489952,49.391464,51.210796,36359,43.390911,"2016-09-07"
"17",63,2016-09-12,"威健","3033","上市增資",2016-09-07,2016-09-09,3400000,3400000,15,15,2016-09-22,"華南永昌",1000,5.1e+07,85452,3.97,NA,15.798535,15.889593,15.798535,15.889593,352523,12.080941,"2016-09-07"
"18",69,2016-09-02,"台玻","1802","上市增資",2016-08-29,2016-08-31,3.6e+07,3.6e+07,12.88,12.88,2016-09-10,"富邦",5000,463680000,5315,100,NA,13.2,13.2,13.05,13.1,1415000,12.272829,"2016-08-29"
"19",73,2016-09-02,"山林水","8473","初上市",2016-08-29,2016-08-31,2344000,2344000,54.2,54.2,2016-09-08,"兆豐",1000,127044800,134133,1.74,NA,63.149948,63.908867,62.401016,63.149948,526744,51.209465,"2016-08-29"
"20",77,2016-08-19,"鈺齊-KY","9802","第一上市公司現金增資",2016-08-15,2016-08-17,340000,340000,43,43,2016-08-29,"國泰",1000,14620000,143339,0.23,NA,61.177715,62.371426,61.177715,62.072998,237243,49.448524,"2016-08-15"
"21",84,2016-07-26,"京鼎","3413","上市增資",2016-07-20,2016-07-22,595000,595000,60,60,2016-08-03,"福邦",1000,35700000,160558,0.37,NA,68.662132,73.287979,68.662132,72.380951,3516975,61.383675,"2016-07-20"
"22",97,2016-07-13,"樺漢","6414","上市增資",2016-07-06,2016-07-11,383000,383000,388,388,2016-07-21,"凱基",1000,148604000,49403,0.77,NA,397.180237,401.693634,393.569489,394.923523,394380,359.075256,"2016-07-06"
"23",98,2016-07-13,"至上","8112","上市增資",2016-07-07,2016-07-11,2550000,2550000,13.5,13.5,2016-07-21,"台新",1000,34425000,114358,2.22,NA,17.4,17.549999,17.049999,17.15,6190000,11.003967,"2016-07-07"
"24",101,2016-06-22,"元晶","6443","上市增資",2016-06-16,2016-06-20,6375000,6375000,12,12,2016-06-30,"元大",1000,76500000,30017,21.23,NA,18.769436,18.911093,18.415297,18.486124,2705848,18.486124,"2016-06-16"
"25",107,2016-06-15,"安集","6477","初上市",2016-06-07,2016-06-13,643000,3858000,20,18.8,2016-06-21,"國泰",1000,72530400,105083,3.67,NA,24.689545,24.689545,24.689545,24.689545,0,21.885836,"2016-06-07"
"26",115,2016-05-25,"愛普","6531","初上市",2016-05-19,2016-05-23,1221000,1221000,92.3,92.3,2016-05-31,"永豐金",1000,112698300,94453,1.29,NA,78.10714,78.10714,78.10714,78.10714,0,69.677422,"2016-05-19"
"27",121,2016-05-13,"寒舍","2739","初上市",2016-05-09,2016-05-11,1930000,1930000,50.44,50.44,2016-05-19,"富邦",1000,97349200,144228,1.33,NA,59.27,59.490002,58.009998,59.27,428530,47.776566,"2016-05-09"
"28",123,2016-05-06,"翔耀","2438","上市增資",2016-04-29,2016-05-04,1700000,1700000,12,12,2016-05-16,"大慶",1000,20400000,27046,6.28,NA,22.303034,22.382122,22.144855,22.223944,31610,22.223944,"2016-04-29"
"29",125,2016-05-04,"弘憶","3312","上市增資",2016-04-27,2016-04-29,1890000,1890000,6,6,2016-05-12,"日盛",1000,11340000,867,100,NA,4.712529,4.886774,4.712529,4.752131,368676,4.376022,"2016-04-27"
