"公開申購公告-抽籤日程表"
"序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤",
"1","105/12/26","虹堡","5258","初上市","105/12/20","105/12/22","1,482,000","1,482,000","39.45","39.45","105/12/30","台新","1,000","58,464,900","125,958","1.17","",
"2","105/12/23","台新金戊特","2887E","上市增資","105/12/19","105/12/21","47,500,000","47,500,000","50","50","106/02/10","凱基","2,000","2,375,000,000","5,381","100","",
"3","105/12/22","宏觀","6568","初上櫃","105/12/16","105/12/20","380,000","380,000","136","136","105/12/28","兆豐","1,000","51,680,000","91,349","0.41","",
"4","105/12/21","中櫃","2613","上市增資","105/12/15","105/12/19","1,700,000","1,700,000","11.5","11.5","105/12/29","富邦","1,000","19,550,000","39,184","4.33","",
"5","105/12/16","易威","1799","上櫃增資","105/12/12","105/12/14","1,190,000","1,190,000","19.2","19.2","105/12/26","群益金鼎","1,000","22,848,000","32,771","3.63","",
"6","105/12/15","嘉鋼","2067","上櫃增資","105/12/09","105/12/13","553,000","553,000","13","13","105/12/23","華南永昌","1,000","7,189,000","19,632","2.81","",
"7","105/12/15","台興","3426","初上櫃","105/12/09","105/12/13","170,000","1,020,000","42","40","105/12/21","元大","1,000","40,800,000","126,324","0.8","",
"8","105/12/15","大眾控","3701","上市增資","105/12/09","105/12/13","5,500,000","5,500,000","7","7","105/12/23","福邦","1,000","38,500,000","3,407","100","",
"9","105/12/15","醫揚","6569","初上櫃","105/12/09","105/12/13","409,000","409,000","185","185","105/12/21","台新","1,000","75,665,000","112,623","0.36","",
"10","105/12/13","麗清","3346","初上市","105/12/07","105/12/09","1,377,000","1,377,000","30","30","105/12/19","元大","1,000","41,310,000","135,170","1.01","",
