"公開申購公告-抽籤日程表"
"序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤 ",
"1","109/12/29","聖暉","5536","上櫃增資","109/12/23","109/12/25","255,000","255,000","166","166","110/01/07","國票","1,000","42,330,000","122,249","0.2","",
"2","109/12/28","光耀","3666","上櫃增資","109/12/22","109/12/24","850,000","850,000","70","70","110/01/06","宏遠","1,000","59,500,000","110,598","0.76","",
"3","109/12/24",="09央債甲13","A091MB","中央登錄公債","109/12/16","109/12/22","212,000","212,000","98.569","98.569","109/12/29","中華郵政公司","2,000","20,896,628","0","0","",
"4","109/12/24",="09央債甲13","A091MA","中央登錄公債","109/12/16","109/12/22","108,000","108,000","98.569","98.569","109/12/29","中華郵政公司","1,000","10,645,452","0","0","",
"5","109/12/24",="09央債甲13","A091MO","中央登錄公債","109/12/16","109/12/22","1,590,000","1,590,000","98.569","98.569","109/12/29","中華郵政公司","15,000","156,724,710","0","0","",
"6","109/12/24",="09央債甲13","A091MC","中央登錄公債","109/12/16","109/12/22","530,000","530,000","98.569","98.569","109/12/29","中華郵政公司","5,000","52,241,570","0","0","",
"7","109/12/24",="09央債甲13","A091MD","中央登錄公債","109/12/16","109/12/22","1,060,000","1,060,000","98.569","98.569","109/12/29","中華郵政公司","10,000","104,483,140","0","0","",
"8","109/12/23","永固-KY","5546","第一上市公司現金增資","109/12/17","109/12/21","281,000","281,000","66","66","109/12/31","中國信託","1,000","18,546,000","160,202","0.17","",
"9","109/12/23","允強","2034","上市增資","109/12/17","109/12/21","2,550,000","2,550,000","20","20","109/12/31","永豐金","1,000","51,000,000","283,332","0.9","",
"10","109/12/22","新鼎","5209","上櫃增資","109/12/16","109/12/18","298,000","298,000","62.46","62.46","109/12/30","富邦","1,000","18,613,080","49,066","0.6","",
"11","109/12/22","立隆電","2472","上市增資","109/12/16","109/12/18","720,000","720,000","46","46","109/12/30","富邦","1,000","33,120,000","257,060","0.28","",
"12","109/12/21","上洋","6728","初上櫃","109/12/15","109/12/17","636,000","636,000","43","43","109/12/25","台新","1,000","27,348,000","164,321","0.38","",
"13","109/12/21","智聯服務","6751","初上櫃","109/12/15","109/12/17","323,000","323,000","60","60","109/12/25","福邦","1,000","19,380,000","269,621","0.11","",
"14","109/12/18","西柏","3541","上櫃增資","109/12/14","109/12/16","425,000","425,000","45","45","109/12/28","日盛","1,000","19,125,000","117,901","0.36","",
"15","109/12/18","榮成","1909","上市增資","109/12/14","109/12/16","5,400,000","5,400,000","14.8","14.8","109/12/28","第一金","1,000","79,920,000","290,815","1.85","",
"16","109/12/18","威鋒電子","6756","初上市","109/12/14","109/12/16","2,231,000","2,231,000","168","168","109/12/24","凱基","1,000","374,808,000","343,553","0.64","",
"17","109/12/17","祺驊","1593","上櫃增資","109/12/11","109/12/15","170,000","170,000","50","50","109/12/25","玉山","1,000","8,500,000","111,208","0.15","",
"18","109/12/17","逸達","6576","上櫃增資","109/12/11","109/12/15","1,275,000","1,275,000","88","88","109/12/25","元富","1,000","112,200,000","24,444","5.21","",
"19","109/12/17","上銀","2049","上市增資","109/12/11","109/12/15","1,020,000","1,020,000","195","195","109/12/25","元大","1,000","198,900,000","386,750","0.26","",
"20","109/12/16","泰福-KY","6541","上市增資","109/12/10","109/12/14","3,996,000","3,996,000","36","36","109/12/24","凱基","1,000","143,856,000","61,906","6.45","",
"21","109/12/16","旭品","3325","上櫃增資","109/12/10","109/12/14","900,000","900,000","25","25","109/12/24","台新","1,000","22,500,000","36,372","2.47","",
"22","109/12/16","同泰","3321","上市增資","109/12/10","109/12/14","2,550,000","2,550,000","11.5","11.5","109/12/24","富邦","1,000","29,325,000","161,894","1.57","",
"23","109/12/14","達亞","6762","初上櫃","109/12/08","109/12/10","726,000","726,000","267.98","267.98","109/12/18","元富","1,000","194,553,480","56,384","1.28","",
"24","109/12/14","台中銀","2812","上市增資","109/12/08","109/12/10","21,265,000","21,265,000","10.2","10.2","109/12/22","凱基","5,000","216,903,000","132,649","3.2","",
"25","109/12/11",="09央債甲09","A091IP","中央登錄公債","109/12/03","109/12/09","1,350,000","1,350,000","99.598","99.598","109/12/16","中華郵政公司","15,000","134,457,300","0","0","",
"26","109/12/11",="09央債甲09","A091IH","中央登錄公債","109/12/03","109/12/09","900,000","900,000","99.598","99.598","109/12/16","中華郵政公司","10,000","89,638,200","0","0","",
