"","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","Date","PL1_N","PH1_N","RSV","K","D","MA60","LowLabel","StatusCount","MartketStatus","股票代號","股票名稱","前日餘額_融券","賣出_融券","買進_融券","現券_融券","今日餘額_融券","限額_融券","前日餘額_借券賣出","當日賣出_借券賣出","當日還券_借券賣出","當日調整_借券賣出","當日餘額_借券賣出","次一營業日可限額_借券賣出"
"1",1711000,38975200,22.65,23.03,22.57,22.57,-0.100000000000001,352,2015-04-09,22.28,23.03,38.6666666666666,36.198504236139,34.4985498574735,22.342,"High",1,"NoTrend","00631L","元大台灣50正2","250000","10000","8000","0","252000","9521000","0","0","0","0","0","287164"
"2",993000,22718820,22.75,23,22.75,22.87,0.300000000000001,208,2015-04-10,22.28,23.03,78.6666666666667,50.3545583796482,39.7838860315317,22.367,"High",2,"NoTrend","00631L","元大台灣50正2","252000","34000","0","0","286000","9521000","0","0","0","0","0","281050"
"3",1158000,26617690,22.96,23.05,22.91,23.05,0.18,199,2015-04-13,22.28,23.05,100,66.9030389197655,48.823603660943,22.412,"High",3,"NoTrend","00631L","元大台灣50正2","286000","74000","0","0","360000","9521000","0","0","0","0","0","278748"
"4",1355000,31095820,22.96,23.01,22.83,22.98,-0.0700000000000003,149,2015-04-14,22.28,23.05,90.9090909090909,74.9050562495406,57.5174211904755,22.454,"High",4,"NoTrend","00631L","元大台灣50正2","360000","13000","5000","0","368000","9521000","0","0","0","0","0","279740"
"5",3563000,80273990,22.93,22.93,22.3,22.36,-0.620000000000001,788,2015-04-15,22.28,23.05,10.3896103896102,53.3999076295638,56.1449166701716,22.4728333333333,"Low",1,"NoTrend","00631L","元大台灣50正2","368000","1000","71000","0","298000","9521000","0","0","0","0","0","296434"
"6",1614000,36684640,22.49,22.83,22.49,22.83,0.469999999999999,433,2015-04-16,22.3,23.05,70.6666666666663,59.1554939752646,57.148442438536,22.501,"High",1,"NoTrend","00631L","元大台灣50正2","298000","115000","0","0","413000","9521000","0","0","0","0","0","299734"
"7",1205000,27283430,22.79,22.79,22.57,22.61,-0.219999999999999,264,2015-04-17,22.3,23.05,41.3333333333332,53.2147737612875,55.8372195461198,22.5293333333333,"High",2,"NoTrend","00631L","元大台灣50正2","413000","30000","55000","0","388000","9521000","0","0","0","0","0","303314"
"8",2224000,49841810,22.5,22.62,22.27,22.53,-0.0799999999999983,389,2015-04-20,22.27,23.05,33.3333333333335,46.5876269519695,52.7540220147364,22.5528333333333,"Low",1,"NoTrend","00631L","元大台灣50正2","388000","21000","55000","0","354000","9521000","0","0","0","0","0","310047"
"9",737000,16602050,22.65,22.7,22.43,22.47,-0.0600000000000023,197,2015-04-21,22.27,23.05,25.6410256410255,39.6054265149882,48.3711568481536,22.5798333333333,"Low",2,"NoTrend","00631L","元大台灣50正2","354000","54000","19000","0","389000","9521000","0","0","0","0","0","309386"
"10",1350000,30768630,22.51,22.87,22.51,22.87,0.400000000000002,426,2015-04-22,22.27,23.05,76.923076923077,52.0446433176844,49.5956523379972,22.6126666666667,"High",1,"NoTrend","00631L","元大台灣50正2","389000","46000","1000","0","434000","9521000","0","0","0","0","0","303259"
