"","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","Date","股票代號","股票名稱","前日餘額_融券","賣出_融券","買進_融券","現券_融券","今日餘額_融券","限額_融券","前日餘額_借券賣出","當日賣出_借券賣出","當日還券_借券賣出","當日調整_借券賣出","當日餘額_借券賣出","次一營業日可限額_借券賣出"
"1",26121,1355452,52,52.2,51.7,52.2,-0.3,35,2019-01-02,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","9528"
"2",20011,1042972,53.6,53.6,51.6,51.6,-0.600000000000001,29,2019-01-03,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","9388"
"3",16211,841443,52,52,51.8,52,0.399999999999999,24,2019-01-04,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","9027"
"4",11014,577044,52,52.6,52,52.6,0.600000000000001,15,2019-01-07,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","8535"
"5",35063,1865265,52.8,53.5,52.8,53.5,0.899999999999999,36,2019-01-08,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","8646"
"6",10005,535570,53.5,53.7,53.4,53.5,0,13,2019-01-09,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","8385"
"7",19022,1011570,53.8,53.8,53,53,-0.5,33,2019-01-10,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","8326"
"8",41005,2141465,52,52.5,52,52.4,-0.600000000000001,40,2019-01-11,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","8006"
"9",22009,1155777,53.2,53.2,51.9,52.4,0,25,2019-01-14,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7466"
"10",47068,2435166,52.1,52.1,51.5,52,-0.399999999999999,48,2019-01-15,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7406"
"11",84643,4408265,52.1,52.7,51.6,52,0,72,2019-01-16,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7872"
"12",18012,939324,52,52.5,52,52.3,0.299999999999997,28,2019-01-17,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7912"
"13",30009,1592077,52.5,53.6,52.5,53.4,1.1,37,2019-01-18,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7632"
"14",31021,1676834,53.6,54.5,53.4,54.1,0.700000000000003,50,2019-01-21,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7833"
"15",14004,750516,54,54,53.5,53.5,-0.600000000000001,18,2019-01-22,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7882"
"16",13010,693840,52.6,53.8,52.6,53.5,0,23,2019-01-23,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7632"
"17",16014,851256,53.5,53.6,53,53.1,-0.399999999999999,30,2019-01-24,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7520"
"18",23016,1228964,53.1,53.8,53.1,53.5,0.399999999999999,35,2019-01-25,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7310"
"19",8086,433667,53.8,53.8,53.5,53.7,0.200000000000003,42,2019-01-28,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7351"
"20",17023,902220,53.7,53.7,52.7,53.2,-0.5,35,2019-01-29,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7380"
"21",78126,4217876,53.7,54.9,53.2,54.6,1.4,69,2019-01-30,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","7872"
"22",93456,5097880,54.6,55.1,54,54.5,-0.100000000000001,188,2019-02-11,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","8616"
"23",106021,5848955,55,55.6,54.5,55.2,0.700000000000003,90,2019-02-12,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","9416"
"24",89023,5034888,57.3,57.3,55.8,56.5,1.3,82,2019-02-13,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","10186"
"25",117505,6497402,56.5,56.5,54.4,55.3,-1.2,114,2019-02-14,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","11131"
"26",88020,4787280,54.5,54.7,54,54.3,-1,77,2019-02-15,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","11761"
"27",36080,1937360,53.3,54.1,53.3,54.1,-0.199999999999996,65,2019-02-18,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","11921"
"28",34012,1835460,54.4,54.4,53.6,54.1,0,39,2019-02-19,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","12078"
"29",43099,2318270,54.4,54.4,53.5,54,-0.100000000000001,75,2019-02-20,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","12297"
"30",75025,4040550,54,54.5,53.5,53.5,-0.5,88,2019-02-21,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","12627"
"31",43078,2302212,53.7,53.8,53.1,53.5,0,114,2019-02-22,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","12796"
"32",44115,2384337,53.7,54.4,53.6,54.2,0.700000000000003,105,2019-02-25,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13037"
"33",23075,1245480,54,54.3,53.7,54.2,0,38,2019-02-26,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13106"
"34",52068,2849413,54.6,55.2,54.4,54.5,0.299999999999997,58,2019-02-27,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13517"
"35",69146,3707197,54.5,54.5,53,53.4,-1.1,181,2019-03-04,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13857"
"36",7894,422849,53.5,53.8,53.4,53.8,0.399999999999999,93,2019-03-05,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13836"
"37",17085,921715,53.9,54.2,53.7,53.9,0.100000000000001,78,2019-03-06,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13817"
"38",6050,326350,53.9,53.9,53.9,53.9,0,49,2019-03-07,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13467"
"39",15029,809311,53.5,54.2,53.5,54.2,0.300000000000004,40,2019-03-08,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13398"
"40",127125,6737237,53.7,53.7,52.5,52.8,-1.40000000000001,129,2019-03-11,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","14198"
"41",57072,3026802,53,53.4,52.8,53.3,0.5,89,2019-03-12,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","13922"
"42",112068,6075576,53.6,54.7,53.6,54.3,1,140,2019-03-13,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","14863"
"43",40022,2173288,54.3,54.5,54.2,54.2,-0.0999999999999943,51,2019-03-14,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","14963"
"44",42083,2287636,54.2,54.5,54.1,54.5,0.299999999999997,51,2019-03-15,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","15074"
"45",43227,2339838,54.5,54.5,54,54,-0.5,60,2019-03-18,"4807","日成-KY","0","0","0","0","0","9625000","0","0","0","0","0","15366"
"46",67050,3627901,54,54.3,54,54.2,0.200000000000003,94,2019-03-19,"4807","日成-KY","0","8000","0","0","8000","9625000","0","0","0","0","0","15906"
"47",65087,3523047,54.7,54.7,54,54.1,-0.100000000000001,68,2019-03-20,"4807","日成-KY","8000","6000","0","0","14000","9625000","0","0","0","0","0","16397"
"48",35037,1897598,54.1,54.4,54,54,-0.100000000000001,64,2019-03-21,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","16517"
"49",34036,1838388,54.1,54.1,53.9,53.9,-0.100000000000001,62,2019-03-22,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","16777"
"50",25043,1341551,53.6,54,53.3,54,0.100000000000001,59,2019-03-25,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","16857"
"51",17290,933601,54.2,54.2,53.9,53.9,-0.100000000000001,54,2019-03-26,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","16249"
"52",124617,6836395,54.4,55.4,54.3,55,1.1,96,2019-03-27,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","16560"
"53",87049,4827198,56,56,55,55.3,0.299999999999997,90,2019-03-28,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","16371"
"54",41043,2259094,55.3,55.3,54.9,55.3,0,74,2019-03-29,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","15891"
"55",71091,3928796,54.9,55.6,54.7,55.2,-0.0999999999999943,109,2019-04-01,"4807","日成-KY","14000","0","0","0","14000","9625000","0","0","0","0","0","15426"
