"","公司代號","Open","High","Low","ClosePrice","Volume","Adjusted","day","MA28"
"1","2801",17.700001,17.75,17.549999,17.75,4666904,17.75,"2020-12-01",17.6874998214286
"2","2809",38.299999,38.5,38.099998,38.5,1187252,38.5,"2020-12-01",38.9428572142857
"3","2812",10.95,11,10.9,10.95,2548858,10.95,"2020-12-01",10.9491405714286
"4","2820",15,15,14.85,14.85,601946,14.85,"2020-12-01",14.7875
"5","2834",9.95,9.95,9.84,9.91,9517646,9.91,"2020-12-01",9.78142857142857
"6","2836",9.853404,9.853404,9.805572,9.805572,200130,9.660524,"2020-12-01",9.73553221428569
"7","2838",10.4,10.45,10.4,10.45,1789282,10.45,"2020-12-01",10.2625
"8","2845",10.75,10.8,10.65,10.7,1801434,10.7,"2020-12-01",10.5982142857143
"9","2849",15.65,15.7,15.5,15.6,27026,15.6,"2020-12-01",15.1
"10","2897",6.6,6.62,6.59,6.62,1214930,6.62,"2020-12-01",6.52571428571429
"11","5876",39,39.900002,39,39.900002,3376646,39.900002,"2020-12-01",39.2910711428571
"12","2855",15.8,15.85,15.7,15.85,3341558,15.85,"2020-12-01",15.1946428571429
"13","6005",12,12.2,11.9,12.2,8599797,12.2,"2020-12-01",11.3660714285714
"14","6024",37.849998,37.849998,37.599998,37.700001,168880,37.700001,"2020-12-01",37.2803574285714
"15","1101",42.799999,43.150002,42.700001,43.150002,10022196,43.150002,"2020-12-01",41.8392858928572
"16","1102",43.400002,43.700001,43.299999,43.299999,3600919,43.299999,"2020-12-01",42.8660716071429
"17","1103",18.25,18.450001,18.1,18.299999,971776,18.299999,"2020-12-01",16.8571428214286
"18","1104",23,23.200001,22.799999,23.200001,2331395,23.200001,"2020-12-01",21.5821427857143
"19","1108",11.85,12,11.7,11.9,2589748,11.9,"2020-12-01",11.4392857142857
"20","1109",20.549999,20.700001,20.4,20.700001,918645,20.700001,"2020-12-01",19.6535716428572
"21","1110",17.4,17.799999,17.4,17.6,134483,17.6,"2020-12-01",17.0928572142857
"22","1201",21.65,21.9,21.4,21.65,2148414,21.65,"2020-12-01",20.6160714642857
"23","1203",36.799999,36.799999,36.650002,36.650002,31409,36.650002,"2020-12-01",35.8964286785714
"24","1210",46.549999,46.799999,46.5,46.599998,1167591,46.599998,"2020-12-01",45.9517863214286
"25","1213",8.36,8.5,8.35,8.35,13001,8.35,"2020-12-01",8.6632142857143
"26","1215",71.400002,71.5,70.599998,71.099998,557122,71.099998,"2020-12-01",70.6714283928571
"27","1216",65.199997,66.099998,65.199997,66.099998,9346794,66.099998,"2020-12-01",64.9821429285716
"28","1217",8.38,8.39,8.23,8.28,3041396,8.28,"2020-12-01",7.77428571428571
"29","1218",23.5,23.549999,23.4,23.450001,1014741,23.450001,"2020-12-01",22.6660715357142
"30","1219",19.5,19.549999,19.4,19.549999,585807,19.549999,"2020-12-01",19.0589285714285
"31","1220",12.35,12.45,12.25,12.4,1246001,12.4,"2020-12-01",12.0964285714286
"32","1225",31.950001,32.049999,31.85,32,46002,32,"2020-12-01",31.9178571785712
"33","1227",62.400002,62.400002,61.799999,62,1338221,62,"2020-12-01",62.48928575
"34","1229",41.5,41.599998,41.299999,41.549999,1207135,41.549999,"2020-12-01",40.9249998928571
"35","1231",45.25,45.75,45.150002,45.599998,535492,45.599998,"2020-12-01",43.6375002857143
