"","KSC","KBC","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60","Long","Cash","YEAR"
"1",60,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"2",60,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,404.98,"2016"
"3",60,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,2,368.41,"2016"
"4",60,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,3,350.16,"2016"
"5",60,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,4,332.8,"2016"
"6",60,30,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,311.62,"2016"
"7",60,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,313.43,"2016"
"8",60,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,6,295.29,"2016"
"9",60,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,6,301.32,"2016"
"10",60,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,284.33,"2016"
"11",60,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,287.58,"2016"
"12",65,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"13",65,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,404.98,"2016"
"14",65,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,2,368.41,"2016"
"15",65,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,3,350.16,"2016"
"16",65,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,4,332.8,"2016"
"17",65,30,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,311.62,"2016"
"18",65,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,313.62,"2016"
"19",65,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,6,295.91,"2016"
"20",65,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,6,302.84,"2016"
"21",65,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,286.66,"2016"
"22",65,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,290.75,"2016"
"23",70,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"24",70,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,404.98,"2016"
"25",70,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,2,369.69,"2016"
"26",70,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,3,351.61,"2016"
"27",70,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,4,334.89,"2016"
