"","KSC","KBC","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60","LowLabel","StatusCount","MartketStatus","Long","Cash","YEAR"
"1",60,5,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",0,398.19,"2016"
"2",60,10,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",0,379.46,"2016"
"3",60,15,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",11,185.09,"2016"
"4",60,20,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,94.07,"2016"
"5",60,25,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,87.49,"2016"
"6",60,30,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,85.1900000000001,"2016"
"7",60,35,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,82.75,"2016"
"8",60,40,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,82.35,"2016"
"9",60,45,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",15,96.68,"2016"
"10",60,50,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",15,93.93,"2016"
"11",60,55,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",15,94.16,"2016"
"12",65,5,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",0,397.76,"2016"
"13",65,10,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",4,313.05,"2016"
"14",65,15,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",14,134.77,"2016"
"15",65,20,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,91.92,"2016"
"16",65,25,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,85.33,"2016"
"17",65,30,60035688,966928758,16.13,16.16,16.06,16.11,-0.100000000000001,5365,2016-12-30,16.06,16.38,15.6250000000002,51.2502193098206,66.9413121155674,16.2756666666667,"Low",3,"NoTrend",16,83.2000000000001,"2016"
